evaluations raw_y
1 -2009.0000000000
2 -1981.0000000000
11 -1942.0000000000
20 -1938.0000000000
24 -1888.0000000000
64 -1879.0000000000
74 -1873.0000000000
97 -1866.0000000000
105 -1837.0000000000
148 -1834.0000000000
183 -1822.0000000000
213 -1820.0000000000
224 -1819.0000000000
226 -1816.0000000000
248 -1815.0000000000
256 -1812.0000000000
259 -1805.0000000000
261 -1796.0000000000
285 -1795.0000000000
287 -1793.0000000000
302 -1778.0000000000
342 -1766.0000000000
367 -1765.0000000000
384 -1764.0000000000
406 -1762.0000000000
416 -1760.0000000000
430 -1757.0000000000
431 -1756.0000000000
435 -1755.0000000000
440 -1742.0000000000
474 -1739.0000000000
478 -1736.0000000000
512 -1734.0000000000
518 -1729.0000000000
541 -1728.0000000000
546 -1726.0000000000
558 -1720.0000000000
581 -1710.0000000000
625 -1708.0000000000
630 -1707.0000000000
666 -1697.0000000000
718 -1692.0000000000
742 -1690.0000000000
745 -1688.0000000000
781 -1684.0000000000
833 -1682.0000000000
854 -1678.0000000000
861 -1677.0000000000
880 -1673.0000000000
904 -1672.0000000000
922 -1671.0000000000
930 -1667.0000000000
963 -1666.0000000000
965 -1664.0000000000
981 -1663.0000000000
983 -1662.0000000000
995 -1658.0000000000
1031 -1657.0000000000
1034 -1656.0000000000
1039 -1652.0000000000
1102 -1648.0000000000
1144 -1647.0000000000
1162 -1646.0000000000
1181 -1645.0000000000
1213 -1644.0000000000
1218 -1641.0000000000
1262 -1640.0000000000
1270 -1638.0000000000
1306 -1637.0000000000
1336 -1636.0000000000
1341 -1632.0000000000
1357 -1631.0000000000
1392 -1630.0000000000
1424 -1629.0000000000
1432 -1628.0000000000
1460 -1626.0000000000
1467 -1625.0000000000
1521 -1624.0000000000
1536 -1623.0000000000
1543 -1621.0000000000
1595 -1619.0000000000
1600 -1617.0000000000
1633 -1614.0000000000
1671 -1613.0000000000
1702 -1612.0000000000
1728 -1610.0000000000
1748 -1608.0000000000
1804 -1607.0000000000
1815 -1606.0000000000
1828 -1605.0000000000
1835 -1603.0000000000
1853 -1602.0000000000
1875 -1601.0000000000
1904 -1599.0000000000
1938 -1597.0000000000
1956 -1596.0000000000
1995 -1595.0000000000
1999 -1594.0000000000
2010 -1593.0000000000
2027 -1590.0000000000
2068 -1589.0000000000
2070 -1588.0000000000
2083 -1587.0000000000
2105 -1586.0000000000
2114 -1585.0000000000
2147 -1584.0000000000
2182 -1583.0000000000
2184 -1582.0000000000
2189 -1581.0000000000
2193 -1580.0000000000
2225 -1579.0000000000
2246 -1578.0000000000
2277 -1577.0000000000
2280 -1576.0000000000
2306 -1575.0000000000
2315 -1572.0000000000
2341 -1571.0000000000
2381 -1569.0000000000
2427 -1568.0000000000
2450 -1567.0000000000
2463 -1566.0000000000
2499 -1564.0000000000
2512 -1562.0000000000
2541 -1561.0000000000
2549 -1559.0000000000
2555 -1558.0000000000
2584 -1557.0000000000
2603 -1555.0000000000
2642 -1552.0000000000
2681 -1551.0000000000
2700 -1548.0000000000
2735 -1546.0000000000
2763 -1543.0000000000
2786 -1541.0000000000
2824 -1539.0000000000
2826 -1537.0000000000
2875 -1535.0000000000
2881 -1534.0000000000
2908 -1533.0000000000
2942 -1530.0000000000
2982 -1527.0000000000
3048 -1525.0000000000
3074 -1524.0000000000
3099 -1522.0000000000
3107 -1519.0000000000
3182 -1518.0000000000
3203 -1517.0000000000
3221 -1516.0000000000
3224 -1514.0000000000
3285 -1513.0000000000
3310 -1510.0000000000
3355 -1509.0000000000
3363 -1508.0000000000
3387 -1507.0000000000
3408 -1505.0000000000
3423 -1503.0000000000
3441 -1502.0000000000
3479 -1501.0000000000
3500 -1500.0000000000
3520 -1498.0000000000
3546 -1497.0000000000
3563 -1496.0000000000
3571 -1495.0000000000
3583 -1493.0000000000
3626 -1492.0000000000
3627 -1491.0000000000
3642 -1489.0000000000
3662 -1488.0000000000
3681 -1487.0000000000
3704 -1486.0000000000
3715 -1485.0000000000
3752 -1484.0000000000
3753 -1483.0000000000
3783 -1482.0000000000
3798 -1481.0000000000
3802 -1480.0000000000
3821 -1478.0000000000
3891 -1477.0000000000
3901 -1476.0000000000
3909 -1475.0000000000
