evaluations raw_y
1 -2144889.0000000005
2 -2126773.0000000005
9 -2098734.0000000005
23 -2088689.0000000005
62 -2073656.0000000005
101 304298.3787025686
160 305961.9009941756
168 306376.5304916061
184 307474.4555979787
202 309435.7061677822
222 309931.4406467884
269 310068.3558689302
282 310273.7547694552
298 310999.5682842992
303 311664.9914765684
323 312261.7982243139
328 312957.9188820246
332 313192.8293484655
345 314564.2708584282
370 315684.0012902796
392 315775.7216639529
399 316412.7283361478
448 318730.0370109492
490 319165.6694212307
572 321024.9527592305
591 321606.0336785038
649 322382.2727526431
686 322488.6356067681
729 322988.7603380655
744 323222.7784952205
812 323455.9331469308
818 323816.4874455186
869 323880.4580919729
881 323974.7525178680
902 324359.9926076417
918 324483.1818012270
941 324484.9689483662
977 324853.0679638466
995 324971.7819292332
1003 325014.8855559842
1021 325444.9031648893
1068 325457.5990726280
1071 325497.6837753272
1076 325873.9640045482
1111 325972.0773397677
1120 326113.9338396964
1148 326385.8468726153
1151 326763.5696742177
1182 327485.3710700898
1233 327776.9479640596
1278 327907.0822051779
1292 327915.5853305364
1319 328758.1864738310
1343 328912.1288766292
1387 329429.2423448323
1422 329935.3701503208
1481 330003.7662160547
1498 330341.5756465735
1507 331029.7373375630
1570 331067.9769124947
1580 331144.7818601398
1582 331776.5148187382
1651 331798.9223247216
1653 332104.7352556058
1682 333125.0195807320
1712 333652.8912047555
1767 334270.1170297628
1820 334660.5380359386
1831 335233.1107842267
1864 335574.7328483058
1914 335586.9103821989
1920 336053.3545307039
1923 337132.0144135766
1999 337403.1786090233
2040 337569.2320993834
2064 337939.1656090928
2091 338098.2778117320
2126 338471.6908552764
2147 339048.8551980471
2193 339300.8842254613
2222 339842.3521119264
2265 340108.1698166873
2269 340762.9578653249
2306 341180.6436504695
2342 341412.1710998105
2344 341991.2913745256
2427 342097.4718880279
2432 342149.4388487225
2441 342293.6703486867
2479 342333.8351962327
2496 342388.5846759776
2501 342750.9098959351
2517 343229.6759160442
2559 343315.7876464441
2576 343388.6488694915
2579 343729.3476112765
2621 343753.3793522975
2626 344128.1990562936
2628 344285.8883090098
2641 344706.3252752420
2675 345112.7495145820
2733 345452.8244452656
2740 345752.1849021564
2763 346039.7607070624
2788 346175.8924004160
2798 347322.5185144028
2850 348158.7708469850
2861 348168.2867086327
2911 348757.5280449259
2945 348827.4477225873
2961 348829.0501985818
2989 349324.5707854123
3034 349455.0617657547
3038 349913.1120307790
3070 350185.4391338017
3124 350300.0057417415
3147 350316.1694120487
3149 350571.5706877648
3157 351117.3702050252
3213 351144.2225389165
3214 351383.4178080048
3274 351817.8478589627
3281 351898.6131921321
3302 351934.9964739862
3312 352485.8286537352
3342 352719.8757492646
3372 352775.2162733561
3381 352920.7370607298
3401 353619.0366821116
3432 353788.8028551831
3436 353879.9855498477
3457 353922.4131988689
3498 353968.3013643697
3502 354292.6081628324
3551 354715.1739313091
3592 354730.1221551329
3595 354836.2869443526
3600 354902.9549584268
3623 354976.1543618533
3626 354997.4459271975
3643 355298.9030620868
3689 355761.7563339457
3704 356247.1065721925
3757 356282.2242067045
3789 356505.7368586303
3822 356554.5666075262
3853 356588.9566865297
3863 356868.3989965301
3960 357247.6828941679
3981 357279.4829008899
3985 357330.1865794879
4016 357642.6491431678
4052 357815.3604799705
4077 357904.4759041882
4111 358564.3456014818
4152 358709.6294294244
4211 359487.9414793944
4243 359596.6222581670
4275 359948.8449053041
4284 360001.6273027067
4287 360014.9894091066
4300 360276.8253412735
4328 360536.9200385222
4357 360843.5569932818
4376 361473.0856715624
4391 361739.2210746201
4407 361744.1845687577
4449 361755.5583366724
4454 361759.3645092103
4469 361782.2487323538
4480 362160.2882357620
4482 362479.0973929773
4524 362787.2705786976
4548 362894.8566006643
4552 362922.4896772476
4586 363052.8103124762
4602 363093.8844496374
4624 363118.1662362509
4629 363504.4581774485
4662 363715.9389294467
4742 364189.0053042077
4821 364205.3735311943
4824 364502.4075138217
4885 365609.9652157205
4957 365914.8035534616
4964 365968.6370733224
4995 366283.5146819651
4999 366745.6909540517
5023 367171.9090049171
5093 367994.3284640004
5172 368067.6649942926
5181 368182.8257136077
5187 368200.2633465083
5194 368877.4123541559
5248 368928.2884809900
5250 369159.4599980609
5253 369227.9987290843
5267 369496.9909993468
5283 369870.7472750195
5339 369895.3780467442
5341 369911.6232646886
5348 370050.2576616557
5363 370107.7976790480
5406 370527.9706002297
5483 370557.4506076915
5488 370625.6054002822
5505 371285.3056297864
5568 372000.0787297963
5608 372169.0455778781
5619 372196.3254243467
5673 372296.3032393986
5699 372693.0518615126
5731 372758.6233303334
5747 373146.0276585109
5785 373303.8709648462
5805 373615.2634191025
5861 373770.7693571799
5873 374139.5422981961
5902 374190.0678595504
5912 374205.1374803372
5919 374458.7444897234
5948 374837.3890695586
5955 375014.3717375819
5988 375238.9961554316
6008 375516.1980937849
6043 375547.7308981222
6079 376329.4756068469
6092 376823.2633625641
6227 377577.1319847106
6278 377758.6079784790
6323 378284.9336474133
6359 378625.5278353537
6450 378698.1021372046
6475 378992.8844082266
6478 379376.7796448421
6548 379445.3666310475
6549 379518.3235312203
6563 379832.4879129502
6604 381555.8775919799
6672 381738.2928756203
6674 382013.4606156643
6729 382168.4011792977
6763 382222.9584225260
6790 382354.7322177755
6834 382608.0879554459
6850 383104.4874685433
6895 383456.0473393415
6929 383466.4152010132
6955 383779.3677250821
6968 383828.4052844787
6977 383943.4149927418
6982 384365.4968130099
7034 384495.2223390545
7064 384714.9451715376
7075 384786.4265751936
7081 385042.5572863753
7107 385199.9593799030
7148 385224.1208450439
7159 385313.7071926142
7160 385405.6267865747
7190 385795.1145834512
7211 386558.3892616035
7288 386695.2140087769
7309 387013.7448325594
7338 387121.9112081879
7364 387603.0832660394
7439 388175.9783695953
7550 388262.6956882133
7591 388371.7822480239
7614 388403.1811667493
7680 388678.0010180171
7705 388717.2065322726
7730 388839.9931541826
7761 388861.0565955505
7768 389048.8316884087
7780 389302.0504859435
7816 389358.0346893375
7830 389866.7009494231
7890 390073.9448546222
7949 390305.1479531194
7995 390402.4449130207
8011 390414.8306524965
8017 390813.2292059470
8028 391020.6190117485
8061 391675.3021606565
8214 392089.3295000762
8227 392425.2911149662
8305 392706.2326500432
8341 392756.9102596197
8365 392926.4979138261
8408 393030.1765887566
8413 393046.4846548529
8430 393177.6999698824
8441 393307.3193299100
8465 393670.7729260988
8547 393735.6879560705
8586 393773.1028028439
8593 394254.6905626631
8660 394404.0756925259
8698 395209.8786419045
8764 395357.4557198292
8792 395381.3644824259
8824 396051.8088489465
8905 396105.0686789398
8937 396264.8469234017
8955 396296.7273909872
9010 396601.9811176852
9043 396991.0087744163
9095 397306.7685730000
9104 397442.6978646341
9143 397621.0440885603
9160 397630.3734674950
9185 397839.1514022768
