evaluations raw_y
1 0.8973438622
3 0.9637625289
4 1.0072522160
6 1.2487512488
13 1.6600265604
18 1.6778523490
59 1.7146776406
143 1.7730496454
188 1.8355359765
203 1.8573551263
205 2.1079258010
311 2.5150905433
1669 2.6427061311
7336 2.7352297593
15407 3.1806615776
98031 3.2467532468
125000 1.2588116818
evaluations raw_y
1 1.6778523490
5 1.8796992481
17 2.4366471735
3286 2.6427061311
6988 2.6881720430
7937 2.7352297593
13014 2.7839643653
27817 2.9411764706
31885 2.9976019185
71413 3.0562347188
125000 1.2195121951
evaluations raw_y
1 1.5451174289
4 1.5762925599
12 2.4752475248
2166 2.5150905433
2444 2.6881720430
4852 2.7352297593
16579 2.8344671202
51692 2.9976019185
56565 3.2467532468
82832 3.4626038781
125000 1.0271158587
evaluations raw_y
1 1.2388503469
2 1.2487512488
6 1.5762925599
11 1.9260400616
44 2.0000000000
53 2.4366471735
2180 2.4752475248
3988 2.5987525988
6087 2.8344671202
32287 3.4626038781
125000 1.2291052114
evaluations raw_y
1 0.6673785371
2 1.1916110582
4 1.4318442153
14 1.4863258026
35 2.0798668885
65 2.1079258010
310 2.6881720430
10515 3.1172069825
122341 3.4626038781
125000 1.1312217195
evaluations raw_y
1 0.8922198430
2 1.0548523207
4 1.1563367253
5 1.4450867052
17 1.5006002401
20 1.9025875190
44 2.0259319287
203 2.1968365554
523 2.2603978300
553 2.3277467412
1462 2.5150905433
1990 2.6427061311
8861 2.6881720430
9157 2.9411764706
13683 3.6231884058
125000 1.0841283608
evaluations raw_y
1 0.7730364873
2 0.9819324430
4 2.0000000000
7 2.1367521368
253 2.2281639929
594 2.5150905433
1473 2.5562372188
2898 2.6427061311
3402 2.7352297593
20561 2.7839643653
35930 2.9976019185
55810 3.0562347188
88276 3.3875338753
125000 0.8090614887
evaluations raw_y
1 1.2100677638
4 1.5605493134
14 1.5762925599
23 1.9025875190
79 2.0000000000
120 2.0525451560
207 2.1079258010
221 2.2935779817
835 2.4752475248
2554 2.5987525988
4707 2.6881720430
10758 2.9411764706
17993 3.5410764873
125000 1.8796992481
evaluations raw_y
1 0.9819324430
3 1.0917030568
6 1.1563367253
12 1.2588116818
16 1.3116474292
17 1.3935340022
23 1.5151515152
35 1.6778523490
69 2.1367521368
237 2.1968365554
403 2.2603978300
663 2.3992322457
2653 2.5150905433
6440 2.6427061311
9289 2.8868360277
10988 3.1806615776
125000 0.5960896519
evaluations raw_y
1 0.6124448800
2 0.6645401382
3 0.6909894970
4 1.2388503469
7 1.4318442153
10 1.6600265604
19 1.6778523490
28 1.9500780031
133 2.1079258010
637 2.1663778163
1444 2.4366471735
3432 2.5562372188
16760 2.8344671202
25871 2.9411764706
58264 2.9976019185
66407 3.2467532468
100692 3.5410764873
125000 1.0072522160
