evaluations raw_y
1 0.0000000000
3 5.0000000000
41 6.0000000000
79 7.0000000000
706 8.0000000000
1489 9.0000000000
2148 12.0000000000
10811 13.0000000000
15593 14.0000000000
74401 15.0000000000
95551 16.0000000000
111658 20.0000000000
125000 0.0000000000
evaluations raw_y
1 4.0000000000
23 11.0000000000
9940 15.0000000000
43156 18.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
53 7.0000000000
106 8.0000000000
1357 10.0000000000
1625 12.0000000000
3766 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
4 3.0000000000
33 9.0000000000
917 10.0000000000
6565 11.0000000000
6732 13.0000000000
11193 14.0000000000
46665 18.0000000000
125000 2.0000000000
evaluations raw_y
1 1.0000000000
14 5.0000000000
31 6.0000000000
46 7.0000000000
426 8.0000000000
1415 11.0000000000
2083 13.0000000000
3964 14.0000000000
20834 16.0000000000
27562 17.0000000000
86825 18.0000000000
125000 5.0000000000
evaluations raw_y
1 2.0000000000
7 3.0000000000
9 4.0000000000
16 5.0000000000
32 6.0000000000
322 9.0000000000
721 10.0000000000
4996 12.0000000000
17291 14.0000000000
25984 15.0000000000
58998 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 2.0000000000
26 6.0000000000
101 9.0000000000
2815 14.0000000000
5650 17.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
8 2.0000000000
16 7.0000000000
36 8.0000000000
108 10.0000000000
771 12.0000000000
2549 16.0000000000
125000 3.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
7 4.0000000000
65 5.0000000000
97 8.0000000000
719 11.0000000000
3188 12.0000000000
4122 13.0000000000
19876 15.0000000000
42187 19.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
8 2.0000000000
9 3.0000000000
18 4.0000000000
42 5.0000000000
49 6.0000000000
114 7.0000000000
745 8.0000000000
1164 11.0000000000
9617 13.0000000000
31081 14.0000000000
37436 15.0000000000
74888 16.0000000000
125000 4.0000000000
