evaluations raw_y
1 -2014.0000000000
5 -2005.0000000000
8 -1953.0000000000
12 -1943.0000000000
22 -1941.0000000000
39 -1939.0000000000
41 -1936.0000000000
61 -1895.0000000000
103 -1883.0000000000
141 -1866.0000000000
167 -1856.0000000000
186 -1853.0000000000
190 -1838.0000000000
228 -1804.0000000000
248 -1777.0000000000
307 -1773.0000000000
341 -1768.0000000000
368 -1764.0000000000
393 -1762.0000000000
397 -1752.0000000000
401 -1749.0000000000
421 -1745.0000000000
440 -1743.0000000000
441 -1735.0000000000
464 -1724.0000000000
507 -1717.0000000000
544 -1713.0000000000
586 -1706.0000000000
622 -1705.0000000000
624 -1704.0000000000
627 -1703.0000000000
648 -1702.0000000000
656 -1696.0000000000
662 -1691.0000000000
665 -1687.0000000000
728 -1686.0000000000
742 -1679.0000000000
784 -1677.0000000000
805 -1673.0000000000
821 -1671.0000000000
833 -1670.0000000000
842 -1663.0000000000
879 -1662.0000000000
912 -1659.0000000000
946 -1653.0000000000
1022 -1652.0000000000
1033 -1650.0000000000
1062 -1649.0000000000
1100 -1645.0000000000
1104 -1644.0000000000
1144 -1643.0000000000
1151 -1641.0000000000
1168 -1640.0000000000
1182 -1637.0000000000
1229 -1635.0000000000
1233 -1634.0000000000
1273 -1632.0000000000
1301 -1631.0000000000
1314 -1629.0000000000
1343 -1627.0000000000
1384 -1626.0000000000
1396 -1625.0000000000
1425 -1623.0000000000
1432 -1621.0000000000
1448 -1620.0000000000
1492 -1618.0000000000
1504 -1617.0000000000
1505 -1614.0000000000
1554 -1613.0000000000
1567 -1612.0000000000
1581 -1611.0000000000
1596 -1610.0000000000
1612 -1607.0000000000
1632 -1606.0000000000
1662 -1604.0000000000
1686 -1601.0000000000
1708 -1600.0000000000
1746 -1598.0000000000
1788 -1597.0000000000
1792 -1596.0000000000
1826 -1595.0000000000
1828 -1593.0000000000
1861 -1591.0000000000
1863 -1590.0000000000
1905 -1589.0000000000
1910 -1588.0000000000
1929 -1587.0000000000
1950 -1586.0000000000
1964 -1585.0000000000
1969 -1583.0000000000
1986 -1581.0000000000
2023 -1578.0000000000
2059 -1577.0000000000
2067 -1576.0000000000
2088 -1575.0000000000
2101 -1574.0000000000
2120 -1573.0000000000
2150 -1571.0000000000
2181 -1570.0000000000
2190 -1569.0000000000
2230 -1568.0000000000
2245 -1567.0000000000
2263 -1566.0000000000
2272 -1565.0000000000
2295 -1564.0000000000
2316 -1562.0000000000
2318 -1560.0000000000
2391 -1556.0000000000
2424 -1555.0000000000
2464 -1553.0000000000
2471 -1552.0000000000
2505 -1549.0000000000
2546 -1548.0000000000
2592 -1546.0000000000
2617 -1544.0000000000
2624 -1543.0000000000
2641 -1541.0000000000
2669 -1537.0000000000
2690 -1536.0000000000
2711 -1535.0000000000
2731 -1532.0000000000
2785 -1531.0000000000
2795 -1530.0000000000
2821 -1527.0000000000
2862 -1525.0000000000
2901 -1523.0000000000
2965 -1521.0000000000
2987 -1519.0000000000
3035 -1518.0000000000
3044 -1517.0000000000
3069 -1515.0000000000
3108 -1514.0000000000
3113 -1513.0000000000
3117 -1512.0000000000
3144 -1511.0000000000
3147 -1510.0000000000
3149 -1509.0000000000
3173 -1508.0000000000
3184 -1507.0000000000
3226 -1506.0000000000
3236 -1505.0000000000
3262 -1503.0000000000
3284 -1501.0000000000
3305 -1500.0000000000
3307 -1499.0000000000
3347 -1498.0000000000
3362 -1497.0000000000
3380 -1496.0000000000
3384 -1495.0000000000
3394 -1492.0000000000
3443 -1491.0000000000
3464 -1490.0000000000
3479 -1489.0000000000
3523 -1488.0000000000
3534 -1487.0000000000
3540 -1485.0000000000
3547 -1483.0000000000
3592 -1482.0000000000
3599 -1479.0000000000
3650 -1478.0000000000
3668 -1476.0000000000
3701 -1475.0000000000
3709 -1473.0000000000
3748 -1472.0000000000
3785 -1470.0000000000
3826 -1469.0000000000
3863 -1468.0000000000
3869 -1467.0000000000
3877 -1466.0000000000
3901 -1465.0000000000
3942 -1462.0000000000
3950 -1461.0000000000
4013 -1460.0000000000
4024 -1458.0000000000
4066 -1457.0000000000
4094 -1456.0000000000
4105 -1454.0000000000
4108 -1451.0000000000
4146 -1449.0000000000
4184 -1448.0000000000
4221 -1447.0000000000
4225 -1446.0000000000
4238 -1445.0000000000
4264 -1444.0000000000
4283 -1442.0000000000
4302 -1441.0000000000
4343 -1439.0000000000
4359 -1438.0000000000
4366 -1435.0000000000
4422 -1432.0000000000
4466 -1431.0000000000
4467 -1430.0000000000
4502 -1426.0000000000
4545 -1425.0000000000
4599 -1424.0000000000
4605 -1423.0000000000
4622 -1422.0000000000
4639 -1420.0000000000
4681 -1419.0000000000
4702 -1418.0000000000
4713 -1415.0000000000
4764 -1414.0000000000
4790 -1413.0000000000
4823 -1412.0000000000
4834 -1411.0000000000
4867 -1409.0000000000
4913 -1407.0000000000
4945 -1403.0000000000
4985 -1401.0000000000
5022 -1400.0000000000
5025 -1399.0000000000
5069 -1398.0000000000
5102 -1397.0000000000
5104 -1395.0000000000
5151 -1394.0000000000
5172 -1393.0000000000
5185 -1390.0000000000
5226 -1389.0000000000
5237 -1388.0000000000
5269 -1387.0000000000
5303 -1385.0000000000
5342 -1383.0000000000
5387 -1380.0000000000
5422 -1379.0000000000
5424 -1376.0000000000
5467 -1375.0000000000
5526 -1374.0000000000
5544 -1373.0000000000
5558 -1372.0000000000
5584 -1371.0000000000
5591 -1370.0000000000
5630 -1369.0000000000
5668 -1367.0000000000
5688 -1366.0000000000
5706 -1365.0000000000
5710 -1362.0000000000
5793 -1361.0000000000
5800 -1360.0000000000
5810 -1358.0000000000
5821 -1357.0000000000
5845 -1356.0000000000
5866 -1353.0000000000
5930 -1352.0000000000
5941 -1351.0000000000
5949 -1350.0000000000
5971 -1349.0000000000
5988 -1347.0000000000
6024 -1346.0000000000
6050 -1345.0000000000
6059 -1344.0000000000
6105 -1342.0000000000
6146 -1340.0000000000
6150 -1339.0000000000
6188 -1337.0000000000
6222 -1335.0000000000
6262 -1333.0000000000
6304 -1332.0000000000
6327 -1331.0000000000
6348 -1328.0000000000
6382 -1325.0000000000
6433 -1324.0000000000
6461 -1323.0000000000
6495 -1321.0000000000
6509 -1320.0000000000
6520 -1319.0000000000
6542 -1318.0000000000
6581 -1315.0000000000
6624 -1313.0000000000
6664 -1312.0000000000
6689 -1311.0000000000
6712 -1309.0000000000
6741 -1308.0000000000
6748 -1307.0000000000
6759 -1306.0000000000
6780 -1305.0000000000
6789 -1303.0000000000
6812 -1301.0000000000
6823 -1299.0000000000
6830 -1298.0000000000
6881 -1295.0000000000
6941 -1294.0000000000
6944 -1293.0000000000
6966 -1292.0000000000
7009 -1290.0000000000
7028 -1288.0000000000
7066 -1287.0000000000
7108 -1286.0000000000
7125 -1285.0000000000
7143 -1283.0000000000
7187 -1279.0000000000
7225 -1278.0000000000
7247 -1277.0000000000
7261 -1276.0000000000
7277 -1275.0000000000
7303 -1273.0000000000
7325 -1272.0000000000
7329 -1271.0000000000
7343 -1268.0000000000
7423 -1266.0000000000
7434 -1265.0000000000
7470 -1263.0000000000
7480 -1262.0000000000
7501 -1258.0000000000
7552 -1257.0000000000
7585 -1256.0000000000
7589 -1255.0000000000
7631 -1253.0000000000
7641 -1252.0000000000
7689 -1251.0000000000
7694 -1250.0000000000
7710 -1248.0000000000
7725 -1246.0000000000
7742 -1245.0000000000
7750 -1244.0000000000
7795 -1243.0000000000
7800 -1242.0000000000
7803 -1241.0000000000
7832 -1239.0000000000
7840 -1238.0000000000
7899 -1237.0000000000
7901 -1236.0000000000
7939 -1235.0000000000
7954 -1234.0000000000
7988 -1232.0000000000
8008 -1231.0000000000
8021 -1230.0000000000
8044 -1228.0000000000
8101 -1227.0000000000
8103 -1224.0000000000
8151 -1222.0000000000
8181 -1220.0000000000
8226 -1217.0000000000
8268 -1216.0000000000
8304 -1215.0000000000
8341 -1214.0000000000
8362 -1212.0000000000
8384 -1210.0000000000
8421 -1209.0000000000
8455 -1205.0000000000
8515 -1203.0000000000
8541 -1202.0000000000
8560 -1201.0000000000
8615 -1200.0000000000
8627 -1198.0000000000
8663 -1197.0000000000
8680 -1196.0000000000
8691 -1195.0000000000
8706 -1194.0000000000
8710 -1193.0000000000
8732 -1192.0000000000
8743 -1191.0000000000
8772 -1189.0000000000
8784 -1187.0000000000
8827 -1185.0000000000
8901 -1184.0000000000
8918 -1183.0000000000
8931 -1182.0000000000
8943 -1180.0000000000
8995 -1179.0000000000
9021 -1177.0000000000
9035 -1176.0000000000
9063 -1175.0000000000
9067 -1174.0000000000
9101 -1173.0000000000
9141 -1170.0000000000
9195 -1168.0000000000
9215 -1167.0000000000
9231 -1166.0000000000
9266 -1165.0000000000
9290 -1162.0000000000
9333 -1161.0000000000
9374 -1160.0000000000
9384 -1159.0000000000
9391 -1158.0000000000
9426 -1154.0000000000
9501 -1153.0000000000
9510 -1152.0000000000
9521 -1150.0000000000
9544 -1149.0000000000
9547 -1148.0000000000
9615 -1146.0000000000
9635 -1143.0000000000
9682 -1141.0000000000
9725 -1140.0000000000
9743 -1135.0000000000
9825 -1134.0000000000
9845 -1133.0000000000
9871 -1131.0000000000
9926 -1128.0000000000
9949 -1127.0000000000
9951 -1125.0000000000
10020 -1130.0000000000
evaluations raw_y
1 -1970.0000000000
19 -1944.0000000000
26 -1939.0000000000
79 -1929.0000000000
101 -1923.0000000000
117 -1897.0000000000
137 -1894.0000000000
145 -1890.0000000000
165 -1877.0000000000
174 -1872.0000000000
179 -1857.0000000000
211 -1845.0000000000
222 -1840.0000000000
229 -1823.0000000000
271 -1809.0000000000
303 -1808.0000000000
305 -1806.0000000000
312 -1803.0000000000
314 -1792.0000000000
344 -1785.0000000000
346 -1780.0000000000
351 -1778.0000000000
385 -1775.0000000000
388 -1757.0000000000
423 -1748.0000000000
436 -1747.0000000000
467 -1746.0000000000
469 -1744.0000000000
472 -1742.0000000000
474 -1726.0000000000
476 -1718.0000000000
541 -1709.0000000000
563 -1707.0000000000
575 -1702.0000000000
581 -1700.0000000000
585 -1695.0000000000
587 -1687.0000000000
631 -1686.0000000000
640 -1685.0000000000
642 -1683.0000000000
662 -1679.0000000000
670 -1678.0000000000
671 -1676.0000000000
704 -1675.0000000000
708 -1674.0000000000
718 -1670.0000000000
728 -1667.0000000000
758 -1665.0000000000
781 -1662.0000000000
791 -1656.0000000000
824 -1655.0000000000
828 -1654.0000000000
833 -1648.0000000000
879 -1646.0000000000
881 -1642.0000000000
907 -1637.0000000000
952 -1633.0000000000
982 -1629.0000000000
1003 -1627.0000000000
1037 -1626.0000000000
1040 -1621.0000000000
1064 -1620.0000000000
1104 -1617.0000000000
1112 -1615.0000000000
1146 -1613.0000000000
1179 -1610.0000000000
1186 -1609.0000000000
1206 -1606.0000000000
1221 -1605.0000000000
1232 -1604.0000000000
1241 -1602.0000000000
1264 -1601.0000000000
1266 -1600.0000000000
1295 -1599.0000000000
1301 -1598.0000000000
1331 -1597.0000000000
1341 -1596.0000000000
1346 -1592.0000000000
