evaluations raw_y
1 -278458.1000000000
2 -255231.1000000000
30 -251990.1000000000
40 -249520.1000000000
69 -239157.1000000000
108 -231754.1000000000
132 -231155.1000000000
143 -229370.1000000000
158 -229281.1000000000
163 -226003.1000000000
167 -225802.1000000000
175 -221165.1000000000
188 -218799.1000000000
204 -218300.1000000000
223 -215016.1000000000
232 -211769.1000000000
273 -211627.1000000000
275 -208230.1000000000
290 -208096.1000000000
304 -207997.1000000000
311 -207905.1000000000
315 -204119.1000000000
330 -201671.1000000000
348 -194036.1000000000
421 -193359.1000000000
424 -192519.1000000000
425 -190511.1000000000
463 -190064.1000000000
473 -185469.1000000000
508 -184948.1000000000
514 -182539.1000000000
555 -182335.1000000000
581 -180347.1000000000
620 -179330.1000000000
631 -178874.1000000000
639 -177138.1000000000
675 -176152.1000000000
707 -176100.1000000000
709 -175730.1000000000
711 -175395.1000000000
723 -174565.1000000000
743 -173867.1000000000
764 -172453.1000000000
787 -171857.1000000000
818 -170460.1000000000
847 -169510.1000000000
901 -168582.1000000000
944 -167597.1000000000
998 -167354.1000000000
1017 -166265.1000000000
1061 -165544.1000000000
1072 -165132.1000000000
1099 -164806.1000000000
1106 -164185.1000000000
1108 -163544.1000000000
1124 -163227.1000000000
1153 -161227.1000000000
1221 -160282.1000000000
1227 -160039.1000000000
1233 26946.5795089660
1252 27190.1778519895
1270 27277.4663878291
1321 27371.5017176082
1370 27521.9920257097
1401 27613.4120709406
1429 27797.8624614444
1510 27862.4166540755
1529 27886.3479621868
1566 28162.0291153166
1600 28236.9760080723
1633 28248.4515105882
1652 28358.7786329670
1671 28464.1093129825
1742 28531.4567376535
1807 28601.8342070775
2005 28652.5989947550
2024 28812.9279490864
2089 28866.2773497300
2111 29074.1372212602
2278 29076.1227813607
2447 29083.3850135993
2452 29218.2521470405
2465 29273.8120348643
2482 29336.0693955304
3137 29671.8746722012
3218 29715.8424927216
3502 29819.1768436949
3618 29834.5911748573
3715 30067.7624173338
3888 30227.0541991828
5099 30328.0847978859
5138 30330.8654558940
5233 30483.7705909398
5247 30493.8579491368
5768 30607.7736168335
7159 30783.4372722215
7454 30783.6336436470
7577 30843.2110226923
7596 30897.6190451155
7679 30913.3168742773
7717 31006.0209594711
7793 31078.8676798949
8148 31239.5560503464
8277 31417.9085171945
8353 31586.0705431721
8451 31911.1425680039
8548 31981.9537876637
8607 32015.4568907478
8643 32242.0458756183
8860 32286.5945594852
9041 32442.1405686581
9562 32475.7509575214
9629 32482.3616316822
9850 32510.2394204450
9862 32581.0200527421
9922 32613.2849408886
10020 32613.2849408886
evaluations raw_y
1 -264260.1000000000
7 -263607.1000000000
9 -256371.1000000000
13 -253588.1000000000
21 -250228.1000000000
24 -248794.1000000000
29 -244362.1000000000
65 -244349.1000000000
67 -240427.1000000000
105 -225301.1000000000
159 -222726.1000000000
202 -220892.1000000000
203 -216897.1000000000
225 -216893.1000000000
237 -214187.1000000000
264 -212170.1000000000
274 -209383.1000000000
310 -207439.1000000000
319 -206512.1000000000
342 -204039.1000000000
385 -203140.1000000000
395 -201300.1000000000
404 -201229.1000000000
422 -200240.1000000000
441 -196243.1000000000
506 -195772.1000000000
515 -194640.1000000000
522 -192934.1000000000
551 -192175.1000000000
584 -190035.1000000000
623 -189713.1000000000
644 -189425.1000000000
672 -188289.1000000000
706 -187584.1000000000
712 -185904.1000000000
734 -185163.1000000000
743 -183147.1000000000
810 -181845.1000000000
834 -179368.1000000000
867 -179187.1000000000
909 -177723.1000000000
947 -175941.1000000000
956 -175797.1000000000
1001 -175125.1000000000
1005 -174630.1000000000
1037 -173897.1000000000
1048 -172408.1000000000
1053 -172370.1000000000
1081 -171436.1000000000
1128 -171419.1000000000
1130 -171318.1000000000
1141 -170568.1000000000
1156 -170318.1000000000
1160 -169037.1000000000
1203 -168645.1000000000
1224 -166136.1000000000
1262 -164633.1000000000
1299 -164586.1000000000
1314 -164325.1000000000
1322 -164162.1000000000
1323 -162320.1000000000
1344 -161856.1000000000
1352 -161469.1000000000
1390 -161383.1000000000
1401 -161246.1000000000
1419 -160263.1000000000
1422 26921.0580967068
1464 26983.4249881784
1475 27053.9517634276
1483 27089.3269494180
1492 27277.7806784821
1509 27364.5987585699
1606 27369.4799540515
1609 27570.6133698575
1666 27720.4818456132
1710 27914.1440528496
1764 28198.3724656400
1858 28306.3625283584
1879 28500.7624390104
1918 28602.9998488098
2027 28892.4701467098
2146 29119.6778578411
2236 29291.8737061424
2253 29321.2199616783
2292 29403.5416634930
2310 29537.5335444440
2525 29647.3481935614
3089 29705.6911155240
3264 29858.9624794254
3501 29886.9403972478
3816 29979.1385753059
3841 30000.9547700414
3847 30079.4804352641
3857 30121.7588185153
3935 30183.0784900684
3950 30419.7860249937
4073 30438.8132374415
4219 30441.3838041894
4264 30897.7658853232
4346 31062.8932196079
4509 31178.3059400952
4831 31289.1362129830
5019 31489.7236877913
5527 31706.8062690842
6507 31843.3440116285
6632 31913.9963557021
6838 32048.5147942208
6853 32058.8630468976
6969 32189.1285465552
8057 32189.6163265149
8190 32337.7210330600
8582 32367.6843621774
8601 32380.3220762545
8769 32423.9397527580
8962 32748.2924757468
9928 32763.3259148562
10020 -160623.1000000000
evaluations raw_y
1 -282818.1000000000
2 -271284.1000000000
3 -266683.1000000000
8 -262141.1000000000
10 -261422.1000000000
17 -258089.1000000000
40 -248152.1000000000
68 -245916.1000000000
70 -240293.1000000000
87 -239712.1000000000
108 -233263.1000000000
118 -229823.1000000000
161 -226781.1000000000
169 -218264.1000000000
220 -217692.1000000000
222 -217421.1000000000
226 -216880.1000000000
228 -214871.1000000000
241 -213532.1000000000
262 -211684.1000000000
269 -210420.1000000000
303 -210162.1000000000
309 -209767.1000000000
311 -209519.1000000000
313 -207033.1000000000
323 -206633.1000000000
327 -204730.1000000000
341 -204110.1000000000
346 -204040.1000000000
347 -202960.1000000000
381 -202447.1000000000
394 -201696.1000000000
398 -200050.1000000000
422 -198918.1000000000
428 -198552.1000000000
462 -195945.1000000000
464 -194773.1000000000
528 -194646.1000000000
533 -189939.1000000000
579 -189217.1000000000
597 -185920.1000000000
635 -184940.1000000000
663 -184400.1000000000
676 -183607.1000000000
692 -183545.1000000000
705 -180661.1000000000
734 -179261.1000000000
762 -177889.1000000000
828 -177551.1000000000
834 -177414.1000000000
843 -176902.1000000000
850 -176753.1000000000
857 -176152.1000000000
870 -175472.1000000000
881 -175124.1000000000
884 -174936.1000000000
891 -174746.1000000000
905 -174600.1000000000
909 -173597.1000000000
914 -173524.1000000000
920 -172549.1000000000
941 -172051.1000000000
952 -171244.1000000000
981 -168273.1000000000
1055 -167939.1000000000
1077 -166278.1000000000
1081 -166073.1000000000
1083 -164255.1000000000
1105 -163925.1000000000
1148 -163898.1000000000
1154 -163825.1000000000
1157 -163586.1000000000
1164 -163565.1000000000
1168 -163115.1000000000
1174 -162389.1000000000
1187 -162028.1000000000
1195 -161851.1000000000
1218 -161812.1000000000
1221 -160977.1000000000
1238 -160539.1000000000
1246 26011.4248817178
1319 26098.6426817926
1417 26110.6915379231
1487 26430.9312673044
1489 26496.7240558529
1544 26579.7389170715
1561 26591.7268108071
1585 26703.1304187126
1597 26894.3000942599
1625 27046.0775773766
1635 27083.9076079689
1655 27329.4300097761
1693 27345.5859150726
1706 27628.6115754250
1721 27815.9677324497
1746 27890.9485793767
1836 28001.7893452453
1871 28103.2464731525
1913 28178.7927827588
1956 28225.5227127032
2058 28279.9282264325
2078 28303.2394508546
2152 28405.4245644055
2231 28526.9341646421
2241 28586.4556869967
2314 28638.0940388981
2315 28730.9227769319
2361 28751.5108032345
2369 28762.3238135710
2375 28845.0210678355
2401 28850.8866201432
2419 28939.0321042357
2431 29053.5070135543
2557 29083.2176074825
2754 29208.3754743321
2952 29251.0067847426
3062 29327.2278365348
3076 29538.4855280484
3127 29670.6675514025
3248 29813.1828876231
3342 29916.9463179530
3454 30167.6416124407
3557 30290.8642888428
3580 30301.2966766739
3642 30404.4662614687
3887 30414.6672107562
4346 30443.9882678597
4473 30549.9805964996
5287 30558.0628501529
5303 30675.7408703494
5384 30684.8155755858
6170 30951.2126609453
6580 30958.1199856630
7647 31173.8201207841
7822 31195.0286588886
8549 31195.2790344022
8720 31389.4816359599
9138 31476.7592853742
9174 31477.5359378288
9275 31757.9319423419
9325 31767.5707041823
9516 31769.3104057321
9729 31788.7143376734
9755 31936.6592392117
10020 31127.8847733832
evaluations raw_y
1 -275891.1000000000
2 -268850.1000000000
3 -259074.1000000000
8 -256227.1000000000
21 -252170.1000000000
30 -240637.1000000000
91 -239644.1000000000
95 -238313.1000000000
104 -223961.1000000000
160 -220411.1000000000
169 -218180.1000000000
189 -215137.1000000000
191 -213935.1000000000
227 -213283.1000000000
236 -212727.1000000000
254 -212469.1000000000
261 -207808.1000000000
292 -207704.1000000000
300 -205585.1000000000
311 -204893.1000000000
340 -204779.1000000000
341 -203908.1000000000
347 -203051.1000000000
363 -198782.1000000000
396 -198374.1000000000
399 -196754.1000000000
404 -194568.1000000000
466 -193882.1000000000
486 -193480.1000000000
501 -192657.1000000000
509 -192474.1000000000
512 -191127.1000000000
542 -188174.1000000000
606 -186461.1000000000
667 -186459.1000000000
676 -186094.1000000000
689 -185797.1000000000
693 -185346.1000000000
709 -183127.1000000000
782 -182756.1000000000
785 -181799.1000000000
796 -181173.1000000000
847 -180925.1000000000
859 -180202.1000000000
861 -180105.1000000000
864 -179230.1000000000
909 -178322.1000000000
925 -177884.1000000000
941 -177502.1000000000
943 -177444.1000000000
950 -176826.1000000000
974 -176803.1000000000
991 -176427.1000000000
998 -175255.1000000000
1024 -172078.1000000000
1078 -169909.1000000000
1108 -169610.1000000000
1154 -169434.1000000000
1169 -168311.1000000000
1183 -167929.1000000000
1188 -167424.1000000000
1204 -167343.1000000000
1224 -167068.1000000000
1247 -166903.1000000000
1249 -165741.1000000000
1263 -165700.1000000000
1280 -165209.1000000000
1308 -165094.1000000000
1324 -165086.1000000000
1347 -164789.1000000000
1352 -164356.1000000000
1369 -162550.1000000000
1389 -160626.1000000000
1421 26559.9772902428
1462 26908.1624274774
1525 27371.3508057100
1605 27595.8773068859
1653 27911.3335845626
1748 27917.2664653654
2430 28096.1867983777
2540 28136.4584595855
2611 28268.6693776362
2693 28378.5291648294
2801 28478.7882967817
