evaluations raw_y
1 0.0000000000
2 117.0000000000
3 189.0000000000
4 267.0000000000
5 349.0000000000
8 411.0000000000
11 460.0000000000
14 461.0000000000
32 474.0000000000
35 481.0000000000
37 511.0000000000
45 521.0000000000
83 530.0000000000
111 531.0000000000
192 532.0000000000
219 538.0000000000
300 545.0000000000
548 549.0000000000
1111 551.0000000000
1339 552.0000000000
1827 555.0000000000
1881 556.0000000000
2877 558.0000000000
3107 560.0000000000
3341 562.0000000000
10000 245.0000000000
evaluations raw_y
1 0.0000000000
2 75.0000000000
3 158.0000000000
4 237.0000000000
5 287.0000000000
6 315.0000000000
9 324.0000000000
12 367.0000000000
15 403.0000000000
25 413.0000000000
30 437.0000000000
32 463.0000000000
39 480.0000000000
40 497.0000000000
60 510.0000000000
91 513.0000000000
101 524.0000000000
157 525.0000000000
238 528.0000000000
332 532.0000000000
390 536.0000000000
925 539.0000000000
1244 540.0000000000
1997 550.0000000000
2694 551.0000000000
3537 553.0000000000
3759 556.0000000000
4613 558.0000000000
5817 559.0000000000
7582 560.0000000000
10000 433.0000000000
evaluations raw_y
1 0.0000000000
2 230.0000000000
3 384.0000000000
6 447.0000000000
23 489.0000000000
33 490.0000000000
41 511.0000000000
67 513.0000000000
82 514.0000000000
83 515.0000000000
103 527.0000000000
185 531.0000000000
253 537.0000000000
401 543.0000000000
1056 546.0000000000
1310 549.0000000000
2307 552.0000000000
3774 557.0000000000
5670 558.0000000000
5730 559.0000000000
6133 561.0000000000
8220 562.0000000000
8956 563.0000000000
9006 566.0000000000
10000 534.0000000000
evaluations raw_y
1 0.0000000000
2 78.0000000000
3 159.0000000000
4 283.0000000000
5 332.0000000000
7 432.0000000000
8 456.0000000000
9 495.0000000000
24 500.0000000000
27 506.0000000000
64 509.0000000000
78 511.0000000000
145 519.0000000000
158 522.0000000000
202 524.0000000000
214 531.0000000000
381 532.0000000000
433 533.0000000000
453 535.0000000000
705 536.0000000000
721 539.0000000000
1006 543.0000000000
1101 549.0000000000
1554 550.0000000000
2899 552.0000000000
3485 553.0000000000
4014 556.0000000000
6791 557.0000000000
7031 558.0000000000
7193 559.0000000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 224.0000000000
6 381.0000000000
7 411.0000000000
8 430.0000000000
11 460.0000000000
13 471.0000000000
15 484.0000000000
39 501.0000000000
41 520.0000000000
189 522.0000000000
273 526.0000000000
303 527.0000000000
381 529.0000000000
425 531.0000000000
573 538.0000000000
630 539.0000000000
1428 540.0000000000
1707 542.0000000000
2006 545.0000000000
2867 547.0000000000
3038 549.0000000000
3159 550.0000000000
4796 552.0000000000
5045 553.0000000000
6356 554.0000000000
6932 555.0000000000
8212 556.0000000000
8227 557.0000000000
10000 494.0000000000
evaluations raw_y
1 0.0000000000
2 209.0000000000
4 274.0000000000
5 328.0000000000
7 343.0000000000
8 384.0000000000
20 411.0000000000
22 433.0000000000
31 453.0000000000
50 487.0000000000
56 508.0000000000
84 524.0000000000
237 531.0000000000
438 532.0000000000
500 535.0000000000
652 536.0000000000
713 541.0000000000
880 545.0000000000
925 546.0000000000
1009 547.0000000000
1114 548.0000000000
1172 551.0000000000
2192 552.0000000000
3647 555.0000000000
5722 556.0000000000
6900 557.0000000000
8608 560.0000000000
9513 561.0000000000
10000 207.0000000000
evaluations raw_y
1 0.0000000000
2 247.0000000000
5 347.0000000000
15 376.0000000000
22 405.0000000000
