evaluations raw_y
1 0.0000000000
2 2.1900000000
3 24.3800000000
7 31.7600000000
10 52.1400000000
12 55.8600000000
13 71.4100000000
15 72.2600000000
16 84.8900000000
23 92.1500000000
25 123.2100000000
32 155.0700000000
49 158.5600000000
52 170.3500000000
54 171.3300000000
57 171.5700000000
62 175.8600000000
64 187.3100000000
67 210.0500000000
70 210.3100000000
82 225.4500000000
85 244.0100000000
154 244.8200000000
188 253.4400000000
253 256.5200000000
278 260.2600000000
290 363.8400000000
301 391.8400000000
309 421.4700000000
371 428.5700000000
372 446.8200000000
374 452.6500000000
382 464.7500000000
393 482.0000000000
458 487.8500000000
503 496.1300000000
579 496.2900000000
597 509.6200000000
633 514.7100000000
659 515.6800000000
676 516.1900000000
681 529.2800000000
700 551.9000000000
708 558.6600000000
715 577.1800000000
770 591.1400000000
821 630.0600000000
835 635.0100000000
888 660.1200000000
1203 661.7900000000
1812 667.4400000000
1815 678.1300000000
1868 688.6900000000
1983 691.2300000000
2027 697.0500000000
2030 700.3600000000
2055 717.1900000000
2103 721.8500000000
2354 722.2300000000
2387 732.6700000000
2392 744.0400000000
2579 744.5500000000
2692 751.5400000000
2965 754.3300000000
3297 758.3800000000
3505 774.3800000000
4875 777.1800000000
5200 788.0200000000
5211 796.2000000000
5234 815.7700000000
5247 816.4600000000
5255 827.1800000000
5394 833.9600000000
5542 842.6100000000
5546 847.9600000000
5549 863.0700000000
5668 864.6300000000
6305 869.2200000000
6319 875.2300000000
7076 875.6000000000
7119 894.5600000000
7441 897.5900000000
7456 911.8700000000
7457 913.9700000000
7519 920.0500000000
7550 920.9400000000
7657 921.6200000000
7682 923.8700000000
7702 929.6600000000
7764 941.5000000000
8563 941.5400000000
9519 942.1100000000
9530 943.9700000000
9546 964.8300000000
9703 967.5800000000
10000 751.1800000000
evaluations raw_y
1 0.0000000000
2 16.5300000000
3 38.9500000000
11 42.9400000000
14 56.5900000000
17 60.7300000000
21 89.8500000000
23 110.5600000000
24 118.7200000000
28 139.7400000000
34 151.6600000000
40 163.6400000000
50 165.8400000000
