evaluations raw_y
1 -2851.0000000000
2 -2721.8920839429
3 112.8816096261
10 3854.2915863461
15 4430.6712144876
16 6170.1981283324
24 7839.8104218073
35 9924.2651413396
37 10593.3070523764
38 12001.7502313636
51 15964.6490513285
63 16779.0914220846
65 20308.7015904189
98 21112.8265423148
105 21344.0902385550
126 21771.0255581257
128 21900.0541940677
141 21925.1066089578
183 22003.1705380468
211 22579.9575659460
226 23174.0945448284
312 23283.2538375949
318 23412.7500717565
447 23782.7088451460
448 23849.5103504435
652 24043.9583915106
665 24244.8813332067
808 24733.0461444602
828 24752.1757714481
883 25214.7455642972
910 25242.0448121365
953 25448.0430976631
1188 25509.5796352833
1601 25609.9815646197
1629 25612.6128468714
1640 25736.3022561687
2412 25859.6142436075
2503 25960.0345344866
2666 26144.9131783250
3849 26169.9709907018
5470 26228.1299647846
5517 26352.5235910722
5728 26550.7106209446
5976 26743.2919163414
8997 26846.1575553626
9437 26946.5198317333
10000 1421.2133713673
evaluations raw_y
1 -2851.0000000000
2 -2175.3823189925
3 -1966.7358818590
4 -971.1105451259
6 932.7961137324
7 1059.7878112118
9 1768.0563882829
11 2770.9280526986
14 5816.8551069454
18 7172.2995756250
22 8292.9236851597
27 8561.7800520928
34 8960.1892194399
36 10896.9849801927
37 12565.4795241331
38 13683.9680754321
48 14461.2171116056
53 15131.6832353925
56 15131.7648807711
61 15338.7626898729
69 17749.4428314131
80 17996.8261325321
91 19157.6366587100
107 19173.1672645576
108 20414.6442218685
132 20721.0849738748
136 21873.7913000233
157 22320.3494615265
210 22353.5820690251
221 22702.1634608059
421 22851.8533424965
469 22979.0294083734
478 22983.2059405124
555 23288.3458403703
850 23800.5696759808
902 23923.3432793790
1294 24324.0276546490
1642 24425.9461921087
2076 24626.2797121399
2417 24732.6648951975
3462 24786.3502240150
4042 24840.3805393765
4082 24849.4902383821
4352 24938.1195948700
4369 25171.2117252163
5528 25301.5247872342
5928 25536.3998803539
7345 25648.2092959206
7876 26005.9306627507
7988 26108.7653824104
8654 26224.8981185699
10000 -160603.1000000000
evaluations raw_y
1 -2851.0000000000
2 -1299.2686582869
5 2741.7791968873
6 3546.8351116554
8 8432.3315525773
10 10693.8706310654
13 11069.4802983356
24 11175.1490731514
37 11413.1337386477
40 12622.3855660661
41 15405.0619704160
43 19743.8935040111
46 21747.5814545077
54 22593.1625645429
57 23692.5442473312
62 24418.5194324251
86 24817.2646209623
250 25015.9535692746
1053 25021.1169494475
1355 25221.6037943509
1646 25321.8460599329
5583 25472.8685409884
5590 25583.3252449695
5693 25604.5846992666
5983 25732.0200851050
6118 26133.0051765870
6264 26474.9336496724
6403 26668.9859811113
6569 26756.6585826879
7169 26932.2214057065
7510 26977.9256169547
8583 26985.9035356785
8991 26993.8065176716
10000 4845.2536272009
evaluations raw_y
1 -2851.0000000000
2 -1022.8703802148
4 2644.4214898290
8 3904.8032158951
13 6566.6149776265
17 6772.6430791575
26 6800.9121825585
36 7275.4436909616
41 7721.4162478566
43 7970.4601487701
50 8008.4742177222
52 8627.9612939831
56 9839.6461694674
60 10906.8852456844
62 11650.7617071894
67 12954.9429969241
73 14451.8801217254
76 15655.3027083192
86 16260.1781741998
88 18158.8605669983
89 21188.3874392552
103 21811.9093156175
113 23327.1412692071
120 23856.7274058841
129 24458.6667050902
148 24557.6536905833
235 24641.4671116677
600 24792.2149477808
2045 24876.4467025234
2750 24881.6859176458
3506 24881.6902123056
3992 24981.9867136543
4381 25082.2842006488
6773 25184.7329776690
8111 25285.0268650548
10000 3752.3152885301
evaluations raw_y
1 -2851.0000000000
2 1083.9516582158
6 1819.0219471139
7 2821.1192323150
8 5355.4209430398
15 7164.5699917020
21 9033.7261105520
22 10399.3975013835
26 13657.6149646510
40 14260.7377987838
41 14558.0465989922
42 14753.0945888304
43 15329.3741054186
47 15777.9775397409
51 18591.5097283497
53 19219.9706082065
65 19497.4070293110
71 20659.8813872588
73 21609.0281073117
75 22073.9712803387
88 23297.9100605444
91 23304.2257587481
108 23358.4044089393
