evaluations raw_y
1 1.0836584309
2 1.0979358805
7 1.2141816416
9 1.2946659762
13 1.4261266400
16 1.4594279043
43 1.7818959373
59 1.8315018315
66 1.9186492709
74 1.9455252918
97 2.0210185934
98 2.0308692120
104 2.0678246485
129 2.2747952684
137 2.3299161230
140 2.4925224327
165 2.5075225677
168 2.5329280648
207 2.9446407538
215 2.9940119760
264 3.0012004802
274 3.1766200762
343 3.4674063800
427 3.5161744023
484 3.6075036075
526 3.7707390649
821 4.0518638574
842 4.3177892919
845 4.6904315197
100000 3.0674846626
evaluations raw_y
1 1.0117361392
2 1.0275380189
4 1.1307100859
6 1.1358473421
7 1.2083131948
10 1.2285012285
22 1.2370113805
23 1.4376078206
25 1.4997000600
26 1.6700066800
38 1.7717930546
46 1.7844396859
65 1.9857029388
106 2.0678246485
107 2.1349274125
128 2.1910604733
142 2.2261798753
159 2.3386342376
192 2.4154589372
194 2.5484199796
269 2.5536261491
302 2.6232948583
311 2.7442371021
325 2.7502750275
348 2.9239766082
408 2.9868578256
490 2.9940119760
756 3.0303030303
1038 3.0525030525
1091 3.1367628607
1128 3.1446540881
1310 3.2509752926
1425 3.3467202142
6170 3.3647375505
6214 3.4482758621
6494 3.6390101892
9586 3.6603221083
9672 3.7147102526
9862 4.0650406504
9888 4.1876046901
100000 4.1876046901
evaluations raw_y
1 0.8671522719
5 0.8983111750
6 1.0670081093
8 1.1579434924
12 1.4889815366
20 1.5713387806
30 1.6655562958
39 1.7818959373
41 1.8155410312
47 1.8811136193
64 1.9607843137
68 1.9888623707
101 2.0441537204
116 2.0542317173
129 2.0644095789
153 2.0678246485
159 2.2421524664
161 2.2461814915
176 2.3386342376
201 2.4925224327
222 2.8121484814
240 2.9868578256
282 3.2258064516
283 3.3921302578
385 3.4199726402
1478 3.4674063800
1689 3.4770514604
1715 3.5663338088
9311 3.6927621861
9355 3.7707390649
9516 3.8284839204
9554 3.9619651347
100000 3.9619651347
evaluations raw_y
1 0.6754931100
2 0.7624275694
6 0.8605851979
7 0.8893632159
8 0.9716284493
10 1.0343400910
12 1.1775788978
15 1.2272950417
18 1.2632642749
20 1.2946659762
23 1.3137151865
26 1.4611338399
27 1.8050541516
32 1.8288222385
33 1.9157088123
42 1.9305019305
51 2.1533161068
80 2.1645021645
107 2.1987686895
148 2.2999080037
165 2.3126734505
182 2.6288117771
185 2.7027027027
220 2.8184892897
295 3.1525851198
360 3.1766200762
464 3.2175032175
