evaluations raw_y
1 -1400.0000000000
7 -1361.0000000000
8 -1293.0000000000
12 -1254.0000000000
13 -1215.0000000000
20 -1176.0000000000
42 -1137.0000000000
48 -1098.0000000000
49 -1059.0000000000
50 -981.0000000000
54 -952.0000000000
55 -913.0000000000
57 -903.0000000000
67 -835.0000000000
70 -796.0000000000
72 -767.0000000000
75 -738.0000000000
79 -699.0000000000
94 -660.0000000000
106 -621.0000000000
108 -592.0000000000
109 -553.0000000000
120 -534.0000000000
127 -505.0000000000
128 -495.0000000000
142 -476.0000000000
163 -457.0000000000
179 -428.0000000000
183 -418.0000000000
208 -379.0000000000
216 -350.0000000000
229 -321.0000000000
240 -312.0000000000
241 -293.0000000000
247 -283.0000000000
262 -254.0000000000
273 -225.0000000000
280 -206.0000000000
285 -187.0000000000
327 -168.0000000000
328 -139.0000000000
341 -120.0000000000
355 -110.0000000000
366 -109.0000000000
377 -90.0000000000
382 -62.0000000000
393 -43.0000000000
409 -42.0000000000
418 -33.0000000000
421 -24.0000000000
426 -23.0000000000
435 -22.0000000000
460 -3.0000000000
466 6.0000000000
559 7.0000000000
717 8.0000000000
2035 9.0000000000
100000 -49.0000000000
evaluations raw_y
1 -1488.0000000000
5 -1449.0000000000
6 -1371.0000000000
7 -1332.0000000000
8 -1293.0000000000
9 -1254.0000000000
10 -1215.0000000000
12 -1176.0000000000
16 -1166.0000000000
20 -1127.0000000000
24 -1059.0000000000
27 -991.0000000000
33 -952.0000000000
37 -913.0000000000
38 -884.0000000000
39 -845.0000000000
58 -767.0000000000
66 -738.0000000000
78 -709.0000000000
80 -670.0000000000
82 -631.0000000000
83 -592.0000000000
89 -524.0000000000
94 -476.0000000000
99 -447.0000000000
103 -418.0000000000
107 -360.0000000000
116 -331.0000000000
119 -302.0000000000
125 -292.0000000000
129 -253.0000000000
130 -224.0000000000
135 -205.0000000000
144 -166.0000000000
145 -147.0000000000
154 -138.0000000000
163 -119.0000000000
167 -118.0000000000
239 -109.0000000000
266 -90.0000000000
293 -71.0000000000
304 -70.0000000000
318 -51.0000000000
326 -32.0000000000
333 -31.0000000000
384 -22.0000000000
414 -13.0000000000
591 6.0000000000
596 7.0000000000
641 8.0000000000
1002 9.0000000000
50153 10.0000000000
100000 -29.0000000000
evaluations raw_y
1 -1546.0000000000
2 -1507.0000000000
9 -1468.0000000000
14 -1429.0000000000
15 -1390.0000000000
16 -1351.0000000000
26 -1312.0000000000
30 -1283.0000000000
36 -1244.0000000000
39 -1205.0000000000
40 -1176.0000000000
48 -1137.0000000000
49 -1098.0000000000
51 -1069.0000000000
53 -1030.0000000000
61 -991.0000000000
63 -952.0000000000
70 -913.0000000000
71 -884.0000000000
73 -855.0000000000
79 -826.0000000000
80 -816.0000000000
81 -777.0000000000
90 -719.0000000000
92 -690.0000000000
103 -651.0000000000
115 -612.0000000000
130 -602.0000000000
133 -592.0000000000
135 -573.0000000000
138 -544.0000000000
163 -535.0000000000
169 -506.0000000000
181 -467.0000000000
188 -438.0000000000
195 -380.0000000000
203 -351.0000000000
209 -322.0000000000
210 -321.0000000000
216 -282.0000000000
219 -234.0000000000
225 -205.0000000000
226 -195.0000000000
256 -166.0000000000
261 -146.0000000000
274 -117.0000000000
275 -98.0000000000
281 -89.0000000000
306 -79.0000000000
323 -60.0000000000
345 -50.0000000000
393 -31.0000000000
409 -12.0000000000
461 -3.0000000000
497 -2.0000000000
499 7.0000000000
724 8.0000000000
1921 9.0000000000
17497 10.0000000000
100000 -19.0000000000
evaluations raw_y
1 -1312.0000000000
2 -1273.0000000000
7 -1234.0000000000
9 -1195.0000000000
11 -1166.0000000000
14 -1127.0000000000
25 -1088.0000000000
28 -1059.0000000000
35 -1020.0000000000
42 -981.0000000000
45 -913.0000000000
48 -874.0000000000
50 -835.0000000000
54 -815.0000000000
93 -786.0000000000
94 -757.0000000000
96 -718.0000000000
97 -679.0000000000
98 -650.0000000000
100 -640.0000000000
120 -611.0000000000
121 -572.0000000000
125 -543.0000000000
142 -524.0000000000
146 -505.0000000000
156 -495.0000000000
164 -466.0000000000
169 -437.0000000000
170 -408.0000000000
173 -389.0000000000
175 -360.0000000000
190 -331.0000000000
193 -311.0000000000
208 -272.0000000000
214 -243.0000000000
221 -224.0000000000
227 -214.0000000000
230 -205.0000000000
243 -195.0000000000
250 -176.0000000000
257 -147.0000000000
289 -137.0000000000
304 -108.0000000000
320 -89.0000000000
347 -60.0000000000
446 -51.0000000000
501 -42.0000000000
562 -32.0000000000
564 -22.0000000000
573 -14.0000000000
590 -5.0000000000
615 5.0000000000
636 6.0000000000
666 7.0000000000
715 8.0000000000
1084 9.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1819.0000000000
4 -1741.0000000000
