evaluations raw_y
1 5.8000000000
2 6.0000000000
5 6.8000000000
7 7.4000000000
10 7.6000000000
11 7.8000000000
13 8.0000000000
14 8.2000000000
18 8.4000000000
24 8.6000000000
35 8.8000000000
40 9.2000000000
44 9.6000000000
54 10.0000000000
84 10.2000000000
89 10.4000000000
93 10.6000000000
96 11.0000000000
97 11.4000000000
118 11.6000000000
121 11.8000000000
134 12.0000000000
154 12.2000000000
172 12.4000000000
176 12.6000000000
192 12.8000000000
194 13.0000000000
207 13.2000000000
215 13.4000000000
238 13.6000000000
240 13.8000000000
260 14.0000000000
290 14.2000000000
348 14.4000000000
395 14.6000000000
423 14.8000000000
499 15.0000000000
549 15.2000000000
566 15.4000000000
683 15.6000000000
776 15.8000000000
947 16.0000000000
1106 16.2000000000
100000 16.0000000000
evaluations raw_y
1 6.8000000000
3 7.0000000000
25 7.2000000000
26 7.4000000000
30 7.6000000000
34 7.8000000000
35 8.0000000000
38 8.2000000000
43 8.4000000000
44 8.6000000000
48 9.6000000000
49 10.6000000000
65 10.8000000000
72 11.2000000000
77 11.4000000000
84 11.6000000000
132 12.0000000000
148 12.2000000000
150 12.4000000000
158 12.6000000000
160 13.0000000000
167 13.2000000000
178 13.4000000000
187 13.6000000000
205 13.8000000000
225 14.0000000000
229 14.2000000000
232 14.4000000000
238 14.6000000000
252 14.8000000000
256 15.0000000000
331 15.4000000000
349 15.6000000000
352 15.8000000000
372 16.0000000000
666 16.2000000000
1473 16.4000000000
100000 16.4000000000
evaluations raw_y
1 4.8000000000
3 5.2000000000
5 5.4000000000
10 5.6000000000
13 5.8000000000
14 6.0000000000
19 6.2000000000
23 6.4000000000
31 6.6000000000
33 6.8000000000
35 7.0000000000
42 7.6000000000
45 7.8000000000
46 8.0000000000
50 8.2000000000
52 8.4000000000
56 8.8000000000
57 9.2000000000
63 9.4000000000
71 9.6000000000
74 9.8000000000
77 10.0000000000
95 10.2000000000
100 10.4000000000
109 10.6000000000
112 10.8000000000
133 11.0000000000
