evaluations raw_y
1 -0.5152023988
6 -0.5097852774
10 -0.5022473758
14 -0.4849049932
17 -0.4765502905
22 -0.4718158980
34 -0.4718075128
44 -0.4640517578
45 -0.4487372261
51 -0.4413413320
53 -0.4408612120
73 -0.4308314957
77 -0.4301906304
78 -0.4301335676
85 -0.4274794376
86 -0.4234263565
106 -0.4221607887
107 -0.4168411529
115 -0.4137194424
124 -0.4084105664
128 -0.4034565779
151 -0.3997430317
167 -0.3957168750
173 -0.3884343926
175 -0.3881103543
185 -0.3873693369
194 -0.3867994530
212 -0.3776504052
217 -0.3749962752
223 -0.3700954391
224 -0.3683845436
247 -0.3603813981
256 -0.3593723863
272 -0.3572304047
281 -0.3526042099
283 -0.3520744672
284 -0.3514578849
335 -0.3508194499
343 -0.3447835532
346 -0.3437825128
360 -0.3391520307
383 -0.3358939035
402 -0.3339136274
432 -0.3305789184
442 -0.3290938414
455 -0.3288461974
483 -0.3240924065
507 -0.3240353437
570 -0.3238284341
574 -0.3210219716
592 -0.3206740145
601 -0.3071679861
615 -0.3048076560
712 -0.3013448973
851 -0.3001524671
1116 -0.2989221770
11099 -0.2974069167
100000 -0.2974639795
evaluations raw_y
1 -0.4899605511
2 -0.4837183575
11 -0.4776468410
16 -0.4687948453
22 -0.4687377825
37 -0.4686015649
44 -0.4624606081
45 -0.4609042220
46 -0.4588026699
50 -0.4538486813
51 -0.4528396694
61 -0.4507563525
63 -0.4440660381
81 -0.4428357479
82 -0.4380242165
92 -0.4343915166
99 -0.4294906805
101 -0.4215113450
117 -0.4168808629
119 -0.4164411337
127 -0.4150261314
129 -0.4101812768
134 -0.4077904749
136 -0.4038818104
147 -0.4034109831
155 -0.3978716874
165 -0.3889828786
167 -0.3868961478
170 -0.3865666774
178 -0.3859166898
202 -0.3801294213
214 -0.3794658160
243 -0.3756753840
272 -0.3751456413
305 -0.3732181180
332 -0.3725598634
352 -0.3670347001
398 -0.3660336598
425 -0.3619683949
426 -0.3576164137
434 -0.3521696776
446 -0.3507938092
491 -0.3435424717
504 -0.3426834988
520 -0.3386304177
547 -0.3331618068
554 -0.3294403432
585 -0.3267503614
591 -0.3262702414
611 -0.3250527872
617 -0.3221670614
620 -0.3214260440
638 -0.3157235599
670 -0.3151465270
706 -0.3111138932
737 -0.3104603281
748 -0.3065356178
753 -0.3059657339
793 -0.3058467159
829 -0.3035672675
1192 -0.3029902347
3154 -0.3005778992
3444 -0.2963538547
3669 -0.2948798601
53465 -0.2942948796
53893 -0.2941704445
54128 -0.2935538622
100000 -0.2993669271
evaluations raw_y
1 -0.4820895603
4 -0.4734623543
11 -0.4713394943
12 -0.4693701531
15 -0.4566514069
18 -0.4516290246
20 -0.4457392008
22 -0.4456697456
27 -0.4412737958
28 -0.4274216906
39 -0.4201392081
55 -0.4184899050
56 -0.4180350521
59 -0.4172940348
64 -0.4167241508
69 -0.4165862484
71 -0.4165778632
72 -0.4153381424
74 -0.4151459610
94 -0.4090523930
101 -0.4080513526
112 -0.4065773581
135 -0.3954709076
136 -0.3939399312
149 -0.3931776334
157 -0.3869777407
174 -0.3855330340
193 -0.3770190116
195 -0.3767390957
197 -0.3719684843
207 -0.3696555532
212 -0.3654492086
222 -0.3650345632
241 -0.3628294488
262 -0.3516102801
297 -0.3483600593
325 -0.3432583464
340 -0.3383050839
343 -0.3375269923
363 -0.3368605159
365 -0.3324953301
377 -0.3301875797
407 -0.3295709974
455 -0.3283102014
498 -0.3273011896
592 -0.3211365278
601 -0.3199062377
616 -0.3173441625
948 -0.3172263549
1481 -0.3167755671
1538 -0.3104000253
23149 -0.3088114239
23749 -0.3086850184
23779 -0.3033653826
41012 -0.3020051850
41032 -0.3001341657
41046 -0.2970827204
41217 -0.2947749700
65567 -0.2947159642
66401 -0.2941460802
100000 -0.2941460802
evaluations raw_y
1 -0.5049355500
4 -0.5047980803
5 -0.4929295303
6 -0.4855007937
8 -0.4839792553
11 -0.4818567228
12 -0.4708278600
13 -0.4628314270
14 -0.4613574324
15 -0.4573179014
18 -0.4559595881
23 -0.4537544737
25 -0.4510880460
26 -0.4505181621
31 -0.4422687820
34 -0.4418079833
37 -0.4300158285
38 -0.4157246307
42 -0.4109130993
45 -0.4085527691
62 -0.4047623371
66 -0.4042240522
71 -0.3966861505
79 -0.3833857874
86 -0.3786123999
100 -0.3770047193
110 -0.3721848831
116 -0.3712525878
117 -0.3668112479
119 -0.3617888656
136 -0.3545086004
142 -0.3544459245
145 -0.3511112155
165 -0.3448390171
266 -0.3436465870
277 -0.3419983674
325 -0.3408060786
331 -0.3403914333
333 -0.3373984516
351 -0.3356270726
384 -0.3302587186
396 -0.3298579046
432 -0.3249828982
475 -0.3237423646
489 -0.3231257823
559 -0.3221247420
602 -0.3219972934
631 -0.3213308170
678 -0.3169788358
699 -0.3164660146
727 -0.3137721123
741 -0.3122981178
743 -0.3096070332
843 -0.3048336457
856 -0.3037675710
861 -0.3025372809
1127 -0.2988591072
1168 -0.2988507221
6963 -0.2987329146
12701 -0.2974069167
100000 -0.2974069167
evaluations raw_y
1 -0.5054813149
4 -0.5034829397
6 -0.4989203618
10 -0.4951894234
13 -0.4930374082
16 -0.4918449781
17 -0.4846853574
20 -0.4845708711
25 -0.4768916790
29 -0.4656093728
31 -0.4632452855
33 -0.4619844895
34 -0.4586793616
35 -0.4546140967
38 -0.4503647669
40 -0.4406443301
41 -0.4389334346
45 -0.4340198652
48 -0.4267994188
53 -0.4217881949
56 -0.4163710735
58 -0.4140084526
64 -0.4025276233
72 -0.4023602960
73 -0.3997918079
74 -0.3990295101
91 -0.3891083746
97 -0.3753983532
98 -0.3666304955
117 -0.3651885870
123 -0.3633644468
134 -0.3603167818
151 -0.3561104372
157 -0.3559246375
160 -0.3559162524
197 -0.3538532195
227 -0.3511990894
263 -0.3474776258
327 -0.3472260871
346 -0.3454547080
354 -0.3435836888
367 -0.3432986805
379 -0.3429671065
388 -0.3367629478
462 -0.3364219410
467 -0.3229511616
478 -0.3222975966
525 -0.3199372664
540 -0.3179610900
724 -0.3176295159
748 -0.3123098801
809 -0.3113088398
876 -0.3108287197
2416 -0.3084163843
2874 -0.3069011240
2881 -0.3012030849
5997 -0.2965538531
100000 -0.3032441675
evaluations raw_y
1 -0.5037468511
2 -0.4968056377
6 -0.4842468133
8 -0.4837666933
11 -0.4790725542
21 -0.4788064143
26 -0.4721160999
29 -0.4714578454
30 -0.4585542126
32 -0.4584708827
33 -0.4549933913
40 -0.4549850062
42 -0.4537925760
44 -0.4488610775
47 -0.4387494362
48 -0.4319321808
56 -0.4242529887
59 -0.4195629257
61 -0.4177387855
74 -0.4107420234
84 -0.4072549658
86 -0.4038835896
87 -0.3961532965
90 -0.3935912213
104 -0.3928502039
106 -0.3911393084
119 -0.3864580935
138 -0.3786204307
164 -0.3768174783
166 -0.3765058034
169 -0.3743039846
173 -0.3707110034
185 -0.3675005935
186 -0.3648838610
203 -0.3642496164
222 -0.3592956278
224 -0.3588809824
228 -0.3585940029
237 -0.3568561364
238 -0.3532799586
256 -0.3492713547
263 -0.3466828708
279 -0.3462431416
284 -0.3447216032
285 -0.3443207892
288 -0.3399556034
355 -0.3393056159
371 -0.3389740419
389 -0.3322748970
411 -0.3296071344
434 -0.3283666008
471 -0.3219910590
479 -0.3193369290
497 -0.3096164922
556 -0.3089999099
679 -0.3067204615
717 -0.3062403415
889 -0.3056704576
4728 -0.3010212258
23285 -0.2975434976
40139 -0.2974256900
40215 -0.2920664943
100000 -0.3039882902
evaluations raw_y
1 -0.5256329095
3 -0.5206796470
5 -0.5131691429
6 -0.5128574679
7 -0.5114776748
8 -0.5091982264
9 -0.5017694898
16 -0.4987905609
18 -0.4944253752
23 -0.4839366931
25 -0.4832748381
32 -0.4775094087
33 -0.4606600100
34 -0.4563080288
39 -0.4493067142
47 -0.4480451580
52 -0.4432962550
54 -0.4418507689
66 -0.4355576167
68 -0.4339523940
