evaluations raw_y
1 1.0000000000
6 3.0000000000
43 4.0000000000
266 6.0000000000
345 7.0000000000
640 9.0000000000
758 11.0000000000
921 14.0000000000
1090 18.0000000000
1269 20.0000000000
1369 21.0000000000
1379 22.0000000000
1724 26.0000000000
1798 27.0000000000
2183 28.0000000000
2405 29.0000000000
2431 30.0000000000
2498 31.0000000000
2580 34.0000000000
2600 35.0000000000
2656 40.0000000000
2825 42.0000000000
2850 48.0000000000
2869 50.0000000000
3019 53.0000000000
3087 54.0000000000
3459 56.0000000000
3671 57.0000000000
3705 61.0000000000
3729 62.0000000000
3923 63.0000000000
4132 67.0000000000
4370 68.0000000000
4440 69.0000000000
4662 70.0000000000
4862 71.0000000000
4920 72.0000000000
4929 74.0000000000
5217 75.0000000000
5327 76.0000000000
5600 77.0000000000
5872 79.0000000000
5894 80.0000000000
6395 81.0000000000
6547 83.0000000000
6903 84.0000000000
7140 92.0000000000
7560 94.0000000000
8170 96.0000000000
8452 98.0000000000
8576 99.0000000000
8739 100.0000000000
100000 80.0000000000
evaluations raw_y
1 2.0000000000
113 5.0000000000
203 6.0000000000
285 9.0000000000
398 10.0000000000
486 11.0000000000
575 12.0000000000
626 13.0000000000
671 15.0000000000
673 16.0000000000
675 17.0000000000
804 20.0000000000
825 21.0000000000
843 22.0000000000
907 23.0000000000
1000 24.0000000000
1113 25.0000000000
1430 27.0000000000
1570 29.0000000000
1616 32.0000000000
1768 34.0000000000
1825 35.0000000000
1939 40.0000000000
2067 45.0000000000
2290 49.0000000000
2423 51.0000000000
2532 52.0000000000
2842 53.0000000000
2846 58.0000000000
2971 59.0000000000
2995 61.0000000000
3081 62.0000000000
3509 64.0000000000
3627 65.0000000000
3748 67.0000000000
4127 71.0000000000
4277 72.0000000000
4444 73.0000000000
5029 75.0000000000
5478 76.0000000000
6039 80.0000000000
6864 82.0000000000
7397 85.0000000000
7498 86.0000000000
7580 90.0000000000
7732 92.0000000000
7771 93.0000000000
7946 94.0000000000
8160 95.0000000000
8455 99.0000000000
8485 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
18 1.0000000000
112 5.0000000000
124 7.0000000000
220 8.0000000000
266 9.0000000000
338 11.0000000000
645 14.0000000000
669 15.0000000000
711 16.0000000000
1107 17.0000000000
1184 18.0000000000
1356 19.0000000000
1654 22.0000000000
1701 29.0000000000
1712 37.0000000000
1819 39.0000000000
2052 40.0000000000
2635 42.0000000000
2641 46.0000000000
2672 47.0000000000
2748 49.0000000000
3394 50.0000000000
3487 51.0000000000
3629 52.0000000000
3749 57.0000000000
3750 58.0000000000
4280 59.0000000000
4364 61.0000000000
4491 63.0000000000
5092 64.0000000000
5106 70.0000000000
5630 71.0000000000
5679 72.0000000000
5821 73.0000000000
5858 77.0000000000
5908 78.0000000000
6147 80.0000000000
6365 81.0000000000
6404 85.0000000000
6446 86.0000000000
6500 88.0000000000
6880 89.0000000000
7262 90.0000000000
7503 92.0000000000
7740 95.0000000000
7927 96.0000000000
8238 97.0000000000
8534 100.0000000000
100000 45.0000000000
evaluations raw_y
1 8.0000000000
222 9.0000000000
223 10.0000000000
295 20.0000000000
406 21.0000000000
412 23.0000000000
518 24.0000000000
566 25.0000000000
643 27.0000000000
661 28.0000000000
797 30.0000000000
836 33.0000000000
1185 34.0000000000
1304 36.0000000000
1383 38.0000000000
1428 39.0000000000
1991 40.0000000000
2099 41.0000000000
2393 43.0000000000
2778 46.0000000000
3265 47.0000000000
3283 48.0000000000
3469 49.0000000000
3551 51.0000000000
3586 54.0000000000
3645 57.0000000000
3702 58.0000000000
3840 61.0000000000
3962 63.0000000000
3990 64.0000000000
4044 65.0000000000
4054 67.0000000000
4259 68.0000000000
4411 69.0000000000
4496 70.0000000000
5147 71.0000000000
5938 72.0000000000
6333 73.0000000000
6429 74.0000000000
6591 76.0000000000
6741 79.0000000000
6786 82.0000000000
8067 83.0000000000
8144 84.0000000000
8206 87.0000000000
