evaluations raw_y
1 2293.0000000000
5 2313.0000000000
10 2360.0000000000
11 2376.0000000000
16 2433.0000000000
18 2531.0000000000
25 2701.0000000000
26 2749.0000000000
27 2750.0000000000
29 2842.0000000000
35 2852.0000000000
41 2887.0000000000
44 2987.0000000000
45 3042.0000000000
52 3098.0000000000
54 3210.0000000000
56 3241.0000000000
57 3257.0000000000
68 3341.0000000000
72 3376.0000000000
74 3436.0000000000
76 3548.0000000000
78 3562.0000000000
85 3659.0000000000
88 3752.0000000000
93 3756.0000000000
98 3865.0000000000
99 3872.0000000000
100 3920.0000000000
106 3956.0000000000
113 4037.0000000000
119 4106.0000000000
128 4141.0000000000
147 4177.0000000000
162 4182.0000000000
175 4192.0000000000
185 4225.0000000000
188 4284.0000000000
202 4354.0000000000
203 4379.0000000000
205 4410.0000000000
222 4433.0000000000
228 4489.0000000000
230 4506.0000000000
252 4545.0000000000
261 4556.0000000000
273 4646.0000000000
276 4731.0000000000
278 4795.0000000000
286 4810.0000000000
298 4835.0000000000
329 4843.0000000000
337 4868.0000000000
349 4881.0000000000
373 4905.0000000000
429 4932.0000000000
498 4962.0000000000
639 4998.0000000000
673 5015.0000000000
696 5018.0000000000
718 5037.0000000000
876 5044.0000000000
1172 5050.0000000000
100000 4963.0000000000
evaluations raw_y
1 2430.0000000000
4 2511.0000000000
8 2524.0000000000
9 2541.0000000000
12 2614.0000000000
15 2642.0000000000
16 2677.0000000000
19 2718.0000000000
21 2796.0000000000
25 2970.0000000000
27 3024.0000000000
33 3077.0000000000
35 3133.0000000000
38 3161.0000000000
50 3221.0000000000
71 3295.0000000000
77 3369.0000000000
78 3574.0000000000
79 3577.0000000000
98 3621.0000000000
108 3631.0000000000
109 3638.0000000000
111 3653.0000000000
114 3654.0000000000
115 3683.0000000000
119 3689.0000000000
125 3746.0000000000
133 3769.0000000000
135 3827.0000000000
148 3832.0000000000
160 3846.0000000000
163 3922.0000000000
171 3985.0000000000
182 4012.0000000000
191 4089.0000000000
199 4184.0000000000
202 4204.0000000000
217 4213.0000000000
220 4246.0000000000
227 4285.0000000000
230 4297.0000000000
266 4322.0000000000
267 4369.0000000000
283 4381.0000000000
291 4423.0000000000
314 4436.0000000000
322 4528.0000000000
325 4578.0000000000
350 4655.0000000000
401 4662.0000000000
424 4708.0000000000
425 4771.0000000000
427 4803.0000000000
432 4821.0000000000
446 4850.0000000000
447 4869.0000000000
460 4877.0000000000
463 4946.0000000000
558 4953.0000000000
562 5014.0000000000
623 5019.0000000000
760 5021.0000000000
998 5050.0000000000
100000 5022.0000000000
evaluations raw_y
1 2741.0000000000
6 2871.0000000000
7 2910.0000000000
14 2935.0000000000
15 2997.0000000000
17 3096.0000000000
18 3312.0000000000
20 3348.0000000000
23 3358.0000000000
24 3372.0000000000
26 3403.0000000000
28 3486.0000000000
30 3588.0000000000
35 3608.0000000000
55 3678.0000000000
56 3746.0000000000
60 3828.0000000000
61 3877.0000000000
64 3885.0000000000
70 3930.0000000000
76 3993.0000000000
82 4070.0000000000
94 4108.0000000000
99 4138.0000000000
108 4157.0000000000
122 4239.0000000000
125 4288.0000000000
135 4306.0000000000
141 4318.0000000000
144 4400.0000000000
149 4424.0000000000
165 4481.0000000000
166 4546.0000000000
172 4673.0000000000
173 4682.0000000000
198 4713.0000000000
202 4714.0000000000
204 4751.0000000000
206 4756.0000000000
211 4836.0000000000
215 4897.0000000000
223 4931.0000000000
224 4932.0000000000
228 4934.0000000000
328 4980.0000000000
354 4987.0000000000
423 4988.0000000000
509 4999.0000000000
511 5011.0000000000
716 5046.0000000000
775 5050.0000000000
100000 4923.0000000000
evaluations raw_y
1 2540.0000000000
6 2634.0000000000
8 2722.0000000000
15 2779.0000000000
18 2819.0000000000
19 2872.0000000000
27 2894.0000000000
30 2924.0000000000
31 2938.0000000000
32 3020.0000000000
37 3041.0000000000
42 3124.0000000000
43 3156.0000000000
45 3179.0000000000
48 3274.0000000000
54 3392.0000000000
56 3499.0000000000
57 3527.0000000000
59 3537.0000000000
61 3624.0000000000
62 3703.0000000000
64 3704.0000000000
67 3713.0000000000
68 3825.0000000000
75 3858.0000000000
79 3872.0000000000
82 3895.0000000000
85 3951.0000000000
86 3966.0000000000
89 4034.0000000000
90 4046.0000000000
101 4066.0000000000
114 4121.0000000000
117 4124.0000000000
120 4219.0000000000
125 4303.0000000000
132 4329.0000000000
137 4356.0000000000
156 4363.0000000000
168 4365.0000000000
178 4415.0000000000
184 4454.0000000000
185 4458.0000000000
204 4501.0000000000
208 4568.0000000000
218 4603.0000000000
220 4692.0000000000
239 4739.0000000000
301 4809.0000000000
315 4824.0000000000
347 4837.0000000000
380 4888.0000000000
410 4919.0000000000
444 4948.0000000000
534 4983.0000000000
581 5047.0000000000
840 5048.0000000000
1151 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2995.0000000000
7 3148.0000000000
10 3183.0000000000
12 3206.0000000000
18 3241.0000000000
22 3268.0000000000
27 3281.0000000000
28 3337.0000000000
32 3349.0000000000
34 3421.0000000000
42 3430.0000000000
64 3474.0000000000
73 3536.0000000000
81 3549.0000000000
87 3598.0000000000
90 3626.0000000000
92 3648.0000000000
104 3658.0000000000
109 3742.0000000000
110 3818.0000000000
111 3879.0000000000
131 3978.0000000000
144 4002.0000000000
156 4004.0000000000
159 4016.0000000000
160 4092.0000000000
168 4099.0000000000
179 4118.0000000000
187 4195.0000000000
188 4237.0000000000
193 4327.0000000000
209 4355.0000000000
219 4365.0000000000
231 4394.0000000000
236 4459.0000000000
244 4465.0000000000
249 4485.0000000000
257 4541.0000000000
260 4575.0000000000
281 4639.0000000000
298 4669.0000000000
306 4739.0000000000
308 4790.0000000000
321 4817.0000000000
329 4866.0000000000
408 4897.0000000000
409 4902.0000000000
416 4975.0000000000
422 5000.0000000000
423 5006.0000000000
448 5027.0000000000
575 5028.0000000000
605 5050.0000000000
100000 4929.0000000000
evaluations raw_y
1 2192.0000000000
3 2208.0000000000
5 2258.0000000000
9 2320.0000000000
11 2410.0000000000
15 2587.0000000000
16 2666.0000000000
17 2709.0000000000
19 2801.0000000000
28 2869.0000000000
30 2915.0000000000
32 3015.0000000000
33 3021.0000000000
42 3094.0000000000
43 3170.0000000000
47 3185.0000000000
48 3282.0000000000
51 3290.0000000000
53 3408.0000000000
63 3458.0000000000
68 3561.0000000000
73 3650.0000000000
82 3678.0000000000
83 3679.0000000000
86 3689.0000000000
91 3846.0000000000
98 3891.0000000000
99 3897.0000000000
102 3970.0000000000
106 4021.0000000000
112 4093.0000000000
120 4179.0000000000
124 4193.0000000000
128 4208.0000000000
140 4249.0000000000
146 4282.0000000000
150 4285.0000000000
152 4352.0000000000
154 4381.0000000000
168 4387.0000000000
174 4421.0000000000
185 4426.0000000000
195 4458.0000000000
208 4462.0000000000
211 4501.0000000000
231 4523.0000000000
234 4576.0000000000
272 4676.0000000000
313 4717.0000000000
