evaluations raw_y
1 45.0000000000
2 57.0000000000
7 60.0000000000
33 62.0000000000
57 63.0000000000
822 67.0000000000
2439 69.0000000000
15700 70.0000000000
17060 75.0000000000
100000 51.0000000000
evaluations raw_y
1 55.0000000000
3 64.0000000000
425 69.0000000000
13133 71.0000000000
100000 54.0000000000
evaluations raw_y
1 53.0000000000
2 59.0000000000
27 61.0000000000
35 65.0000000000
1218 66.0000000000
1434 67.0000000000
6854 68.0000000000
23505 69.0000000000
46161 70.0000000000
49856 71.0000000000
100000 39.0000000000
evaluations raw_y
1 49.0000000000
2 57.0000000000
25 59.0000000000
33 61.0000000000
47 68.0000000000
28072 69.0000000000
54454 75.0000000000
100000 52.0000000000
evaluations raw_y
1 51.0000000000
4 57.0000000000
10 58.0000000000
24 59.0000000000
38 62.0000000000
156 63.0000000000
180 64.0000000000
619 66.0000000000
6150 67.0000000000
20569 68.0000000000
24767 73.0000000000
100000 55.0000000000
evaluations raw_y
1 50.0000000000
2 55.0000000000
5 60.0000000000
151 62.0000000000
526 63.0000000000
1139 70.0000000000
34131 71.0000000000
98976 73.0000000000
100000 51.0000000000
evaluations raw_y
1 54.0000000000
16 57.0000000000
29 60.0000000000
33 61.0000000000
193 66.0000000000
1858 67.0000000000
5263 70.0000000000
100000 47.0000000000
evaluations raw_y
1 54.0000000000
4 63.0000000000
243 65.0000000000
477 66.0000000000
3070 68.0000000000
9767 71.0000000000
100000 46.0000000000
evaluations raw_y
1 47.0000000000
3 49.0000000000
4 52.0000000000
6 56.0000000000
9 59.0000000000
68 62.0000000000
118 63.0000000000
281 68.0000000000
3371 69.0000000000
55309 71.0000000000
100000 42.0000000000
evaluations raw_y
1 59.0000000000
5 60.0000000000
18 65.0000000000
1660 66.0000000000
13496 67.0000000000
17723 68.0000000000
18286 70.0000000000
100000 47.0000000000
