evaluations raw_y
1 -1566.0000000000
2 -1468.0000000000
3 -1011.0000000000
57 -972.0000000000
123 -855.0000000000
134 -846.0000000000
688 -836.0000000000
3051 -728.0000000000
22848 -709.0000000000
25644 -613.0000000000
100000 -1566.0000000000
evaluations raw_y
1 -1478.0000000000
8 -1128.0000000000
9 -1040.0000000000
29 -1011.0000000000
115 -923.0000000000
728 -903.0000000000
1226 -884.0000000000
1382 -768.0000000000
1446 -601.0000000000
34030 -525.0000000000
100000 -1449.0000000000
evaluations raw_y
1 -1059.0000000000
60 -884.0000000000
696 -807.0000000000
1550 -699.0000000000
2456 -689.0000000000
71387 -632.0000000000
100000 -1420.0000000000
evaluations raw_y
1 -1332.0000000000
2 -1147.0000000000
11 -1108.0000000000
17 -933.0000000000
59 -923.0000000000
71 -825.0000000000
2124 -738.0000000000
23610 -690.0000000000
34039 -641.0000000000
100000 -1361.0000000000
evaluations raw_y
1 -1244.0000000000
2 -1225.0000000000
11 -1215.0000000000
12 -1147.0000000000
32 -981.0000000000
203 -962.0000000000
349 -856.0000000000
1087 -777.0000000000
2198 -709.0000000000
4855 -622.0000000000
12671 -573.0000000000
100000 -1390.0000000000
evaluations raw_y
1 -1293.0000000000
2 -1284.0000000000
13 -1225.0000000000
20 -1186.0000000000
39 -1050.0000000000
43 -884.0000000000
501 -816.0000000000
2151 -738.0000000000
27256 -728.0000000000
35131 -718.0000000000
44459 -710.0000000000
81080 -670.0000000000
100000 -1244.0000000000
evaluations raw_y
1 -1702.0000000000
2 -1274.0000000000
10 -1147.0000000000
13 -1020.0000000000
14 -943.0000000000
393 -874.0000000000
1898 -855.0000000000
1941 -806.0000000000
4859 -767.0000000000
8411 -709.0000000000
20178 -650.0000000000
56685 -641.0000000000
100000 -1478.0000000000
evaluations raw_y
1 -1400.0000000000
2 -1196.0000000000
5 -1128.0000000000
21 -1098.0000000000
33 -962.0000000000
286 -875.0000000000
423 -864.0000000000
999 -855.0000000000
2518 -826.0000000000
3962 -535.0000000000
100000 -1157.0000000000
evaluations raw_y
1 -1342.0000000000
5 -1341.0000000000
7 -1196.0000000000
19 -1118.0000000000
29 -1031.0000000000
32 -1020.0000000000
51 -962.0000000000
95 -904.0000000000
133 -865.0000000000
828 -846.0000000000
1130 -835.0000000000
4507 -681.0000000000
5029 -670.0000000000
100000 -1410.0000000000
evaluations raw_y
1 -1157.0000000000
9 -1040.0000000000
10 -1010.0000000000
155 -991.0000000000
169 -962.0000000000
180 -884.0000000000
434 -816.0000000000
604 -767.0000000000
741 -709.0000000000
18800 -670.0000000000
100000 -1517.0000000000
