evaluations raw_y
1 6.2000000000
2 6.6000000000
3 6.8000000000
5 7.6000000000
7 8.4000000000
19 9.4000000000
185 9.6000000000
195 9.8000000000
671 10.8000000000
7779 11.2000000000
11606 11.8000000000
22316 12.0000000000
26338 12.2000000000
100000 6.8000000000
evaluations raw_y
1 7.2000000000
3 7.4000000000
4 7.6000000000
12 7.8000000000
21 8.8000000000
75 9.4000000000
216 10.8000000000
4077 11.0000000000
14446 11.4000000000
19171 12.4000000000
100000 7.0000000000
evaluations raw_y
1 7.8000000000
5 8.8000000000
37 9.0000000000
341 9.2000000000
664 9.8000000000
1338 10.4000000000
2373 11.0000000000
15574 11.8000000000
100000 7.0000000000
evaluations raw_y
1 7.8000000000
5 8.2000000000
36 9.2000000000
122 9.4000000000
181 9.8000000000
486 10.0000000000
1447 10.2000000000
2988 10.6000000000
8081 11.2000000000
32050 11.4000000000
40706 11.8000000000
100000 6.8000000000
evaluations raw_y
1 7.0000000000
4 7.2000000000
6 7.4000000000
7 7.8000000000
26 9.2000000000
106 9.4000000000
270 10.4000000000
2846 10.6000000000
5335 10.8000000000
6287 11.0000000000
21106 12.0000000000
100000 7.2000000000
evaluations raw_y
1 4.6000000000
2 6.8000000000
3 8.4000000000
56 9.8000000000
750 10.0000000000
803 10.6000000000
9570 10.8000000000
14171 11.0000000000
91635 11.2000000000
100000 6.8000000000
evaluations raw_y
1 5.4000000000
2 7.0000000000
6 7.2000000000
15 7.4000000000
19 7.8000000000
31 8.0000000000
40 9.4000000000
160 9.6000000000
162 9.8000000000
321 10.2000000000
2117 10.4000000000
4034 11.0000000000
4071 11.4000000000
25037 12.0000000000
100000 9.8000000000
evaluations raw_y
1 4.6000000000
2 6.2000000000
3 7.0000000000
5 8.6000000000
60 8.8000000000
157 9.6000000000
294 10.0000000000
892 10.2000000000
6318 10.8000000000
13528 11.0000000000
15379 11.2000000000
25987 11.6000000000
89867 12.2000000000
100000 7.4000000000
evaluations raw_y
1 6.4000000000
2 6.6000000000
4 7.2000000000
14 7.4000000000
21 7.8000000000
29 8.2000000000
34 8.6000000000
47 8.8000000000
85 9.4000000000
410 9.6000000000
521 10.0000000000
1247 10.4000000000
2974 11.0000000000
10904 11.2000000000
62358 11.4000000000
100000 8.2000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
3 7.2000000000
4 8.6000000000
76 9.4000000000
543 10.0000000000
2425 10.2000000000
8050 10.8000000000
10615 11.6000000000
73213 12.0000000000
100000 6.6000000000
