evaluations raw_y
1 -0.5080436581
3 -0.4950767063
4 -0.4729268804
43 -0.4680500154
48 -0.4675461696
53 -0.4602866292
110 -0.4589939724
288 -0.4315712711
4512 -0.4269596936
8355 -0.4185475487
14180 -0.4134036784
17483 -0.4109688951
29084 -0.4108215502
80170 -0.4100504952
100000 -0.4800194747
evaluations raw_y
1 -0.4778092376
9 -0.4638448671
38 -0.4506912127
318 -0.4333222583
2714 -0.4276618851
3513 -0.4250892780
4115 -0.4231952657
12222 -0.4182197532
44651 -0.4168465846
48204 -0.4044222446
64574 -0.3929351729
100000 -0.5174177120
evaluations raw_y
1 -0.5217221892
3 -0.4788011046
14 -0.4752313427
19 -0.4627109499
82 -0.4486245265
149 -0.4233105873
1847 -0.4069918340
100000 -0.5016156293
evaluations raw_y
1 -0.5526912593
2 -0.5421608265
3 -0.5248875976
4 -0.5142200757
5 -0.4993604313
7 -0.4634076755
47 -0.4622830864
115 -0.4593956560
145 -0.4369779070
2655 -0.4197451220
6724 -0.4143247187
7690 -0.4095784201
52919 -0.4056358430
63371 -0.4051307456
100000 -0.5193332305
evaluations raw_y
1 -0.4904767099
11 -0.4788451250
36 -0.4531216158
107 -0.4473845799
311 -0.4355653759
1124 -0.4323537236
1611 -0.4197664203
2315 -0.4133424570
21158 -0.4116534616
66387 -0.4108386200
79798 -0.4028120606
100000 -0.5030967005
evaluations raw_y
1 -0.4796137015
3 -0.4764177074
14 -0.4668239597
22 -0.4634273563
35 -0.4631227768
81 -0.4509062167
189 -0.4475865056
211 -0.4462173652
283 -0.4164599534
38814 -0.4102768117
58145 -0.3998992486
100000 -0.4819395643
evaluations raw_y
1 -0.5127636195
7 -0.4885579840
8 -0.4496050427
41 -0.4491430995
81 -0.4415167243
262 -0.4400053434
1033 -0.4289034707
3811 -0.4184687442
40680 -0.4148791894
55980 -0.4104311938
73419 -0.3998138826
100000 -0.5239885124
evaluations raw_y
1 -0.5041632585
2 -0.4895016202
6 -0.4873320471
18 -0.4749286484
23 -0.4492976089
92 -0.4437694610
127 -0.4386467225
626 -0.4379757682
962 -0.4229325434
1016 -0.4073086322
35515 -0.3966519497
100000 -0.5021651409
evaluations raw_y
1 -0.4747584303
21 -0.4682235206
56 -0.4398121982
746 -0.4351583490
862 -0.4225530047
5176 -0.4223957836
7569 -0.4208879105
12493 -0.4185223833
21133 -0.4175052582
46662 -0.4094194841
80942 -0.4040086636
82859 -0.3990916306
100000 -0.5352721888
evaluations raw_y
1 -0.5018685736
2 -0.4593056090
40 -0.4560941487
163 -0.4555790934
194 -0.4446131585
231 -0.4370976154
428 -0.4353376335
630 -0.4325690103
2777 -0.4200425115
12261 -0.4198901146
19317 -0.4141243456
98492 -0.4085060060
100000 -0.5209653499
