evaluations raw_y
1 2780.0000000000
2 2795.0000000000
6 2799.0000000000
11 2992.0000000000
15 3331.0000000000
545 3590.0000000000
7153 3698.0000000000
100000 2710.0000000000
evaluations raw_y
1 2728.0000000000
9 2970.0000000000
15 3288.0000000000
634 3481.0000000000
4062 3598.0000000000
14842 3663.0000000000
80751 3700.0000000000
100000 2114.0000000000
evaluations raw_y
1 2065.0000000000
2 3062.0000000000
19 3146.0000000000
43 3171.0000000000
75 3368.0000000000
1389 3405.0000000000
2998 3495.0000000000
5992 3570.0000000000
8972 3583.0000000000
25824 3605.0000000000
26116 3700.0000000000
100000 2319.0000000000
evaluations raw_y
1 2482.0000000000
3 2893.0000000000
17 2970.0000000000
65 3090.0000000000
114 3119.0000000000
313 3156.0000000000
400 3242.0000000000
646 3321.0000000000
897 3375.0000000000
1573 3386.0000000000
2138 3469.0000000000
3451 3499.0000000000
7012 3511.0000000000
7941 3573.0000000000
25572 3589.0000000000
33881 3724.0000000000
61675 3842.0000000000
100000 2537.0000000000
evaluations raw_y
1 2285.0000000000
2 2899.0000000000
8 3555.0000000000
2376 3643.0000000000
46643 3672.0000000000
100000 2953.0000000000
evaluations raw_y
1 2391.0000000000
3 2574.0000000000
4 2816.0000000000
12 3058.0000000000
41 3213.0000000000
90 3382.0000000000
409 3499.0000000000
746 3610.0000000000
3816 3631.0000000000
16614 3663.0000000000
28339 3668.0000000000
29054 3694.0000000000
100000 2759.0000000000
evaluations raw_y
1 2527.0000000000
2 2881.0000000000
20 3059.0000000000
41 3194.0000000000
104 3237.0000000000
287 3324.0000000000
459 3404.0000000000
550 3420.0000000000
907 3557.0000000000
1876 3615.0000000000
39603 3743.0000000000
72264 3845.0000000000
100000 2701.0000000000
evaluations raw_y
1 2262.0000000000
2 2963.0000000000
4 3134.0000000000
91 3170.0000000000
409 3172.0000000000
530 3236.0000000000
815 3260.0000000000
835 3281.0000000000
894 3294.0000000000
934 3312.0000000000
1144 3536.0000000000
19576 3597.0000000000
30814 3650.0000000000
42852 3654.0000000000
44797 3698.0000000000
100000 2391.0000000000
evaluations raw_y
1 2228.0000000000
3 2806.0000000000
10 2945.0000000000
18 2957.0000000000
30 3033.0000000000
54 3250.0000000000
209 3302.0000000000
480 3321.0000000000
633 3391.0000000000
798 3435.0000000000
2503 3455.0000000000
4360 3679.0000000000
13174 3814.0000000000
100000 2679.0000000000
evaluations raw_y
1 2543.0000000000
2 2801.0000000000
5 2980.0000000000
23 3163.0000000000
26 3396.0000000000
685 3424.0000000000
3203 3535.0000000000
3862 3624.0000000000
6465 3663.0000000000
70456 3672.0000000000
100000 2828.0000000000
