evaluations raw_y
1 -1565.0000000000
2 -1526.0000000000
3 -1487.0000000000
5 -1448.0000000000
6 -1409.0000000000
7 -1370.0000000000
8 -1331.0000000000
9 -1302.0000000000
13 -1263.0000000000
15 -1224.0000000000
17 -1185.0000000000
20 -1146.0000000000
24 -1107.0000000000
25 -1068.0000000000
28 -1029.0000000000
31 -990.0000000000
36 -951.0000000000
37 -912.0000000000
40 -883.0000000000
45 -844.0000000000
47 -815.0000000000
48 -776.0000000000
50 -737.0000000000
51 -698.0000000000
56 -669.0000000000
58 -640.0000000000
64 -601.0000000000
65 -572.0000000000
66 -533.0000000000
68 -504.0000000000
70 -465.0000000000
76 -436.0000000000
77 -407.0000000000
84 -388.0000000000
85 -369.0000000000
87 -330.0000000000
89 -321.0000000000
90 -292.0000000000
100 -273.0000000000
101 -244.0000000000
106 -215.0000000000
112 -196.0000000000
119 -167.0000000000
122 -148.0000000000
132 -129.0000000000
135 -110.0000000000
139 -109.0000000000
147 -100.0000000000
153 -81.0000000000
164 -80.0000000000
172 -51.0000000000
174 -42.0000000000
177 -13.0000000000
181 -12.0000000000
189 -3.0000000000
201 6.0000000000
210 7.0000000000
607 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1585.0000000000
3 -1546.0000000000
4 -1507.0000000000
5 -1468.0000000000
6 -1429.0000000000
7 -1390.0000000000
8 -1351.0000000000
9 -1312.0000000000
10 -1273.0000000000
12 -1234.0000000000
13 -1195.0000000000
14 -1156.0000000000
18 -1117.0000000000
20 -1078.0000000000
21 -1049.0000000000
25 -1020.0000000000
26 -981.0000000000
32 -942.0000000000
36 -913.0000000000
37 -874.0000000000
41 -835.0000000000
43 -796.0000000000
48 -767.0000000000
53 -728.0000000000
59 -689.0000000000
61 -650.0000000000
62 -621.0000000000
65 -602.0000000000
72 -563.0000000000
74 -524.0000000000
75 -495.0000000000
80 -466.0000000000
81 -437.0000000000
82 -408.0000000000
83 -369.0000000000
86 -330.0000000000
97 -301.0000000000
109 -272.0000000000
111 -243.0000000000
115 -224.0000000000
143 -195.0000000000
147 -176.0000000000
152 -137.0000000000
160 -118.0000000000
173 -99.0000000000
185 -80.0000000000
195 -71.0000000000
197 -62.0000000000
198 -43.0000000000
207 -42.0000000000
212 -41.0000000000
237 -22.0000000000
269 -3.0000000000
305 6.0000000000
336 7.0000000000
383 8.0000000000
477 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1712.0000000000
2 -1673.0000000000
3 -1634.0000000000
4 -1595.0000000000
5 -1556.0000000000
6 -1517.0000000000
7 -1478.0000000000
8 -1439.0000000000
11 -1410.0000000000
13 -1381.0000000000
15 -1342.0000000000
22 -1303.0000000000
23 -1274.0000000000
26 -1235.0000000000
28 -1196.0000000000
29 -1157.0000000000
36 -1118.0000000000
38 -1079.0000000000
42 -1050.0000000000
43 -1021.0000000000
47 -982.0000000000
49 -943.0000000000
52 -904.0000000000
58 -865.0000000000
59 -826.0000000000
61 -797.0000000000
65 -758.0000000000
70 -719.0000000000
73 -680.0000000000
78 -651.0000000000
79 -622.0000000000
81 -593.0000000000
90 -554.0000000000
97 -515.0000000000
100 -476.0000000000
102 -437.0000000000
110 -398.0000000000
114 -369.0000000000
116 -340.0000000000
118 -301.0000000000
122 -292.0000000000
129 -253.0000000000
138 -234.0000000000
144 -205.0000000000
157 -176.0000000000
158 -147.0000000000
166 -118.0000000000
171 -99.0000000000
184 -90.0000000000
193 -61.0000000000
197 -52.0000000000
199 -33.0000000000
213 -14.0000000000
239 -13.0000000000
240 -12.0000000000
244 -11.0000000000
245 -2.0000000000
270 7.0000000000
332 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1166.0000000000
13 -1137.0000000000
14 -1098.0000000000
17 -1059.0000000000
21 -1020.0000000000
29 -991.0000000000
35 -952.0000000000
36 -913.0000000000
37 -884.0000000000
41 -845.0000000000
42 -816.0000000000
46 -787.0000000000
47 -768.0000000000
56 -739.0000000000
57 -710.0000000000
58 -671.0000000000
62 -632.0000000000
63 -593.0000000000
71 -554.0000000000
77 -515.0000000000
80 -476.0000000000
83 -437.0000000000
84 -408.0000000000
88 -369.0000000000
90 -330.0000000000
93 -301.0000000000
110 -282.0000000000
111 -253.0000000000
112 -234.0000000000
116 -205.0000000000
118 -186.0000000000
143 -157.0000000000
145 -128.0000000000
148 -127.0000000000
151 -118.0000000000
171 -89.0000000000
174 -70.0000000000
188 -61.0000000000
197 -42.0000000000
223 -41.0000000000
234 -22.0000000000
250 -21.0000000000
253 -12.0000000000
259 -3.0000000000
265 -2.0000000000
305 7.0000000000
308 8.0000000000
365 9.0000000000
100000 -30.0000000000
evaluations raw_y
1 -1732.0000000000
2 -1693.0000000000
3 -1654.0000000000
5 -1625.0000000000
7 -1586.0000000000
10 -1547.0000000000
13 -1508.0000000000
14 -1479.0000000000
16 -1450.0000000000
17 -1411.0000000000
18 -1372.0000000000
19 -1333.0000000000
20 -1294.0000000000
21 -1255.0000000000
22 -1216.0000000000
23 -1187.0000000000
24 -1148.0000000000
25 -1119.0000000000
26 -1080.0000000000
27 -1041.0000000000
29 -1002.0000000000
36 -963.0000000000
37 -924.0000000000
38 -885.0000000000
43 -866.0000000000
44 -827.0000000000
47 -798.0000000000
48 -759.0000000000
55 -720.0000000000
59 -681.0000000000
61 -642.0000000000
63 -603.0000000000
71 -564.0000000000
76 -525.0000000000
78 -486.0000000000
80 -447.0000000000
81 -418.0000000000
82 -379.0000000000
83 -350.0000000000
85 -321.0000000000
91 -292.0000000000
99 -273.0000000000
101 -244.0000000000
104 -215.0000000000
105 -206.0000000000
109 -167.0000000000
117 -138.0000000000
133 -129.0000000000
141 -110.0000000000
142 -91.0000000000
153 -90.0000000000
199 -71.0000000000
254 -52.0000000000
291 -33.0000000000
292 -32.0000000000
297 -23.0000000000
326 -22.0000000000
348 -13.0000000000
363 -12.0000000000
390 -11.0000000000
419 -2.0000000000
458 7.0000000000
462 8.0000000000
551 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1741.0000000000
2 -1702.0000000000
3 -1673.0000000000
5 -1634.0000000000
6 -1595.0000000000
9 -1556.0000000000
10 -1517.0000000000
12 -1488.0000000000
14 -1449.0000000000
15 -1410.0000000000
16 -1381.0000000000
17 -1342.0000000000
20 -1303.0000000000
23 -1264.0000000000
24 -1225.0000000000
25 -1186.0000000000
29 -1147.0000000000
30 -1108.0000000000
32 -1069.0000000000
34 -1040.0000000000
35 -1001.0000000000
38 -962.0000000000
41 -923.0000000000
44 -884.0000000000
45 -845.0000000000
47 -816.0000000000
48 -787.0000000000
49 -748.0000000000
54 -719.0000000000
57 -680.0000000000
58 -641.0000000000
61 -602.0000000000
63 -563.0000000000
69 -524.0000000000
72 -495.0000000000
75 -456.0000000000
80 -417.0000000000
87 -408.0000000000
88 -379.0000000000
90 -350.0000000000
98 -331.0000000000
100 -292.0000000000
102 -263.0000000000
104 -244.0000000000
107 -215.0000000000
116 -186.0000000000
123 -157.0000000000
141 -118.0000000000
142 -117.0000000000
157 -108.0000000000
182 -79.0000000000
183 -60.0000000000
191 -41.0000000000
207 -22.0000000000
211 -13.0000000000
216 -12.0000000000
217 -3.0000000000
223 6.0000000000
263 7.0000000000
271 8.0000000000
580 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1565.0000000000
2 -1526.0000000000
3 -1487.0000000000
4 -1448.0000000000
5 -1409.0000000000
7 -1380.0000000000
8 -1341.0000000000
9 -1302.0000000000
12 -1263.0000000000
15 -1234.0000000000
16 -1195.0000000000
32 -1156.0000000000
36 -1117.0000000000
40 -1088.0000000000
41 -1049.0000000000
44 -1020.0000000000
46 -981.0000000000
51 -942.0000000000
54 -913.0000000000
