evaluations raw_y
1 0.0000000000
117 3.0000000000
133 4.0000000000
224 6.0000000000
459 9.0000000000
470 16.0000000000
504 18.0000000000
523 20.0000000000
626 21.0000000000
637 23.0000000000
783 24.0000000000
1019 26.0000000000
1040 28.0000000000
1128 30.0000000000
1142 35.0000000000
1143 36.0000000000
1179 37.0000000000
1225 38.0000000000
1326 42.0000000000
1450 43.0000000000
1457 44.0000000000
1529 45.0000000000
1530 47.0000000000
1581 49.0000000000
1662 50.0000000000
1734 51.0000000000
1817 54.0000000000
1927 59.0000000000
1964 67.0000000000
2188 71.0000000000
2302 75.0000000000
2358 76.0000000000
2499 79.0000000000
2527 80.0000000000
2721 82.0000000000
2763 83.0000000000
2838 85.0000000000
2871 86.0000000000
2890 87.0000000000
2984 89.0000000000
2989 90.0000000000
3017 91.0000000000
3083 92.0000000000
3168 93.0000000000
3172 97.0000000000
3433 99.0000000000
3548 100.0000000000
100000 23.0000000000
evaluations raw_y
1 0.0000000000
87 2.0000000000
113 4.0000000000
340 6.0000000000
392 8.0000000000
420 9.0000000000
533 10.0000000000
641 11.0000000000
645 12.0000000000
784 14.0000000000
818 15.0000000000
921 16.0000000000
936 18.0000000000
951 19.0000000000
1088 20.0000000000
1363 22.0000000000
1394 24.0000000000
1452 25.0000000000
1516 26.0000000000
1587 27.0000000000
1678 30.0000000000
1720 31.0000000000
1875 32.0000000000
2002 35.0000000000
2380 36.0000000000
2495 37.0000000000
2636 39.0000000000
2861 40.0000000000
2908 41.0000000000
2929 42.0000000000
3046 43.0000000000
3128 44.0000000000
3138 45.0000000000
3332 46.0000000000
3351 48.0000000000
3509 51.0000000000
3669 53.0000000000
3681 56.0000000000
3794 58.0000000000
3897 65.0000000000
3901 67.0000000000
3946 71.0000000000
4089 72.0000000000
4108 73.0000000000
4117 76.0000000000
4312 81.0000000000
4650 85.0000000000
4727 86.0000000000
4750 89.0000000000
4919 91.0000000000
4920 92.0000000000
5137 93.0000000000
5161 99.0000000000
5170 100.0000000000
100000 18.0000000000
evaluations raw_y
1 0.0000000000
80 3.0000000000
182 6.0000000000
239 10.0000000000
547 11.0000000000
562 12.0000000000
575 13.0000000000
608 16.0000000000
724 17.0000000000
821 18.0000000000
991 19.0000000000
1003 20.0000000000
1037 21.0000000000
1105 23.0000000000
1416 24.0000000000
1436 26.0000000000
1461 28.0000000000
1606 30.0000000000
1629 34.0000000000
1652 35.0000000000
1915 36.0000000000
1938 37.0000000000
2013 40.0000000000
2035 46.0000000000
2483 48.0000000000
2518 49.0000000000
2763 50.0000000000
2946 55.0000000000
2988 57.0000000000
3000 59.0000000000
3025 62.0000000000
3086 64.0000000000
3310 65.0000000000
3334 66.0000000000
3399 68.0000000000
3428 71.0000000000
3440 72.0000000000
3525 73.0000000000
3673 74.0000000000
3793 76.0000000000
3797 77.0000000000
3804 78.0000000000
3870 80.0000000000
3964 81.0000000000
4020 83.0000000000
4143 86.0000000000
4247 88.0000000000
4775 92.0000000000
5037 93.0000000000
5146 94.0000000000
5183 95.0000000000
5243 96.0000000000
5386 97.0000000000
5421 98.0000000000
5461 100.0000000000
100000 48.0000000000
evaluations raw_y
1 0.0000000000
23 1.0000000000
47 4.0000000000
323 5.0000000000
331 8.0000000000
437 9.0000000000
513 11.0000000000
720 16.0000000000
834 19.0000000000
906 21.0000000000
1033 22.0000000000
1137 24.0000000000
1272 25.0000000000
1503 26.0000000000
1559 28.0000000000
1680 30.0000000000
1738 31.0000000000
1836 32.0000000000
1983 33.0000000000
2031 35.0000000000
2095 36.0000000000
2183 37.0000000000
