evaluations raw_y
1 29.0000000000
7 30.0000000000
22 33.0000000000
53 34.0000000000
66 35.0000000000
102 36.0000000000
127 38.0000000000
144 39.0000000000
199 40.0000000000
232 41.0000000000
245 42.0000000000
266 43.0000000000
326 44.0000000000
348 45.0000000000
475 46.0000000000
528 47.0000000000
587 48.0000000000
607 49.0000000000
682 50.0000000000
700 47.0000000000
evaluations raw_y
1 28.0000000000
3 29.0000000000
7 30.0000000000
13 31.0000000000
21 33.0000000000
72 35.0000000000
83 36.0000000000
86 39.0000000000
150 40.0000000000
197 41.0000000000
209 42.0000000000
259 44.0000000000
291 45.0000000000
321 47.0000000000
442 48.0000000000
508 49.0000000000
621 50.0000000000
660 49.0000000000
evaluations raw_y
1 27.0000000000
3 28.0000000000
13 31.0000000000
17 33.0000000000
35 35.0000000000
75 37.0000000000
111 39.0000000000
113 41.0000000000
165 42.0000000000
183 43.0000000000
209 44.0000000000
263 46.0000000000
306 47.0000000000
336 48.0000000000
411 49.0000000000
424 50.0000000000
460 47.0000000000
evaluations raw_y
1 25.0000000000
5 28.0000000000
8 32.0000000000
11 35.0000000000
63 36.0000000000
66 37.0000000000
83 40.0000000000
176 41.0000000000
184 43.0000000000
237 45.0000000000
290 46.0000000000
301 47.0000000000
346 49.0000000000
470 50.0000000000
500 48.0000000000
evaluations raw_y
1 22.0000000000
2 25.0000000000
3 27.0000000000
6 28.0000000000
7 29.0000000000
8 33.0000000000
64 34.0000000000
65 35.0000000000
101 37.0000000000
115 38.0000000000
157 40.0000000000
164 42.0000000000
189 43.0000000000
275 45.0000000000
325 46.0000000000
386 48.0000000000
467 49.0000000000
726 50.0000000000
740 48.0000000000
evaluations raw_y
1 22.0000000000
3 25.0000000000
8 27.0000000000
11 31.0000000000
13 33.0000000000
37 37.0000000000
70 38.0000000000
141 41.0000000000
186 42.0000000000
230 43.0000000000
271 44.0000000000
303 45.0000000000
342 46.0000000000
391 47.0000000000
508 48.0000000000
546 49.0000000000
687 50.0000000000
700 48.0000000000
evaluations raw_y
1 28.0000000000
9 30.0000000000
23 31.0000000000
58 32.0000000000
66 33.0000000000
68 34.0000000000
105 37.0000000000
147 38.0000000000
186 39.0000000000
198 40.0000000000
218 41.0000000000
244 43.0000000000
285 44.0000000000
302 45.0000000000
365 46.0000000000
394 47.0000000000
473 48.0000000000
554 49.0000000000
650 50.0000000000
660 49.0000000000
evaluations raw_y
1 25.0000000000
4 28.0000000000
24 29.0000000000
25 33.0000000000
66 34.0000000000
94 35.0000000000
99 37.0000000000
117 38.0000000000
144 40.0000000000
145 41.0000000000
184 42.0000000000
191 43.0000000000
230 45.0000000000
276 47.0000000000
321 49.0000000000
384 50.0000000000
420 49.0000000000
evaluations raw_y
1 29.0000000000
15 30.0000000000
32 33.0000000000
61 35.0000000000
104 37.0000000000
125 39.0000000000
163 44.0000000000
262 45.0000000000
323 47.0000000000
390 48.0000000000
425 49.0000000000
504 50.0000000000
540 48.0000000000
evaluations raw_y
1 15.0000000000
2 24.0000000000
5 28.0000000000
7 29.0000000000
19 30.0000000000
20 31.0000000000
36 33.0000000000
66 34.0000000000
85 36.0000000000
88 38.0000000000
102 41.0000000000
173 42.0000000000
188 43.0000000000
265 45.0000000000
315 46.0000000000
344 47.0000000000
395 48.0000000000
481 49.0000000000
541 50.0000000000
580 48.0000000000
