evaluations raw_y
1 55.0000000000
6 58.0000000000
10 60.0000000000
30 61.0000000000
54 64.0000000000
92 66.0000000000
99 70.0000000000
156 72.0000000000
211 74.0000000000
245 75.0000000000
290 76.0000000000
302 80.0000000000
351 83.0000000000
389 85.0000000000
416 87.0000000000
446 88.0000000000
518 89.0000000000
520 90.0000000000
530 92.0000000000
601 93.0000000000
613 94.0000000000
780 96.0000000000
1137 97.0000000000
1329 98.0000000000
1519 99.0000000000
1740 100.0000000000
100000 98.0000000000
evaluations raw_y
1 57.0000000000
16 58.0000000000
27 63.0000000000
61 67.0000000000
94 68.0000000000
155 70.0000000000
158 71.0000000000
215 76.0000000000
303 80.0000000000
371 81.0000000000
384 83.0000000000
437 84.0000000000
463 85.0000000000
468 86.0000000000
526 89.0000000000
555 91.0000000000
660 93.0000000000
671 94.0000000000
813 95.0000000000
850 96.0000000000
1050 97.0000000000
1137 98.0000000000
1229 99.0000000000
1416 100.0000000000
100000 99.0000000000
evaluations raw_y
1 48.0000000000
3 49.0000000000
6 53.0000000000
17 57.0000000000
23 58.0000000000
36 62.0000000000
89 63.0000000000
93 64.0000000000
99 65.0000000000
109 67.0000000000
123 71.0000000000
195 72.0000000000
218 73.0000000000
243 74.0000000000
249 78.0000000000
352 79.0000000000
356 80.0000000000
384 81.0000000000
403 82.0000000000
404 83.0000000000
441 84.0000000000
451 85.0000000000
518 87.0000000000
539 88.0000000000
578 89.0000000000
596 90.0000000000
654 92.0000000000
725 93.0000000000
800 94.0000000000
801 95.0000000000
926 97.0000000000
1033 98.0000000000
1137 99.0000000000
1183 100.0000000000
100000 98.0000000000
evaluations raw_y
1 57.0000000000
13 58.0000000000
29 60.0000000000
40 63.0000000000
62 64.0000000000
87 66.0000000000
115 68.0000000000
130 69.0000000000
145 70.0000000000
188 71.0000000000
215 73.0000000000
219 74.0000000000
262 78.0000000000
329 80.0000000000
334 83.0000000000
419 88.0000000000
459 89.0000000000
542 92.0000000000
615 93.0000000000
663 94.0000000000
685 95.0000000000
843 96.0000000000
927 97.0000000000
967 98.0000000000
1109 99.0000000000
1284 100.0000000000
100000 98.0000000000
evaluations raw_y
1 55.0000000000
10 61.0000000000
38 69.0000000000
75 72.0000000000
125 73.0000000000
200 78.0000000000
252 80.0000000000
297 81.0000000000
318 83.0000000000
359 84.0000000000
383 87.0000000000
459 90.0000000000
532 91.0000000000
577 92.0000000000
713 93.0000000000
866 94.0000000000
892 95.0000000000
962 96.0000000000
1145 97.0000000000
1217 98.0000000000
1325 99.0000000000
1443 100.0000000000
100000 98.0000000000
evaluations raw_y
1 57.0000000000
14 58.0000000000
19 61.0000000000
29 62.0000000000
65 64.0000000000
81 66.0000000000
99 68.0000000000
167 69.0000000000
179 70.0000000000
196 71.0000000000
226 73.0000000000
263 74.0000000000
271 75.0000000000
292 76.0000000000
331 77.0000000000
332 78.0000000000
370 80.0000000000
378 82.0000000000
445 85.0000000000
478 86.0000000000
513 87.0000000000
562 88.0000000000
606 89.0000000000
645 90.0000000000
674 91.0000000000
696 92.0000000000
710 94.0000000000
929 95.0000000000
986 96.0000000000
1152 97.0000000000
1312 98.0000000000
1428 99.0000000000
1812 100.0000000000
100000 100.0000000000
evaluations raw_y
1 50.0000000000
2 53.0000000000
4 57.0000000000
17 59.0000000000
48 60.0000000000
75 61.0000000000
81 65.0000000000
93 68.0000000000
159 70.0000000000
162 71.0000000000
185 72.0000000000
191 74.0000000000
218 77.0000000000
301 79.0000000000
341 80.0000000000
349 83.0000000000
404 85.0000000000
498 86.0000000000
511 89.0000000000
597 90.0000000000
727 91.0000000000
796 92.0000000000
873 93.0000000000
1085 94.0000000000
1184 95.0000000000
1309 96.0000000000
1392 97.0000000000
1455 98.0000000000
1618 99.0000000000
1759 100.0000000000
100000 100.0000000000
evaluations raw_y
1 50.0000000000
2 53.0000000000
4 55.0000000000
10 59.0000000000
45 67.0000000000
80 68.0000000000
90 69.0000000000
151 72.0000000000
182 73.0000000000
202 75.0000000000
226 76.0000000000
242 79.0000000000
304 81.0000000000
310 83.0000000000
336 85.0000000000
408 89.0000000000
539 90.0000000000
580 92.0000000000
667 93.0000000000
721 94.0000000000
726 95.0000000000
781 96.0000000000
888 97.0000000000
948 98.0000000000
1037 99.0000000000
1853 100.0000000000
100000 98.0000000000
evaluations raw_y
1 48.0000000000
7 54.0000000000
14 57.0000000000
23 62.0000000000
83 67.0000000000
117 70.0000000000
179 71.0000000000
196 72.0000000000
218 74.0000000000
263 75.0000000000
295 79.0000000000
310 80.0000000000
321 82.0000000000
427 83.0000000000
433 84.0000000000
467 85.0000000000
487 86.0000000000
513 88.0000000000
568 90.0000000000
648 91.0000000000
729 92.0000000000
763 93.0000000000
764 94.0000000000
796 95.0000000000
802 96.0000000000
913 97.0000000000
932 98.0000000000
1032 99.0000000000
1410 100.0000000000
100000 98.0000000000
evaluations raw_y
1 46.0000000000
4 53.0000000000
5 61.0000000000
73 63.0000000000
80 64.0000000000
82 65.0000000000
87 66.0000000000
156 68.0000000000
163 72.0000000000
232 73.0000000000
236 75.0000000000
306 76.0000000000
322 77.0000000000
339 79.0000000000
349 81.0000000000
437 82.0000000000
450 83.0000000000
478 86.0000000000
633 87.0000000000
637 88.0000000000
744 89.0000000000
815 90.0000000000
948 91.0000000000
994 92.0000000000
1007 93.0000000000
1066 94.0000000000
1089 96.0000000000
1321 97.0000000000
1465 98.0000000000
1607 99.0000000000
1642 100.0000000000
100000 99.0000000000
