evaluations raw_y
1 3.0000000000
12 5.0000000000
18 6.0000000000
97 14.0000000000
113 15.0000000000
203 17.0000000000
534 21.0000000000
663 22.0000000000
685 26.0000000000
830 28.0000000000
862 32.0000000000
914 33.0000000000
1049 34.0000000000
1400 35.0000000000
1844 36.0000000000
1937 38.0000000000
2155 39.0000000000
2174 41.0000000000
2266 42.0000000000
2411 43.0000000000
2543 46.0000000000
2787 48.0000000000
3087 50.0000000000
3244 51.0000000000
3337 52.0000000000
3360 53.0000000000
3497 55.0000000000
3736 56.0000000000
4068 58.0000000000
4293 59.0000000000
4303 62.0000000000
4520 63.0000000000
4546 64.0000000000
5176 65.0000000000
5177 66.0000000000
5650 71.0000000000
5800 72.0000000000
5951 73.0000000000
6031 74.0000000000
6364 76.0000000000
6573 77.0000000000
6713 79.0000000000
6765 80.0000000000
6990 81.0000000000
7420 83.0000000000
7578 85.0000000000
7619 86.0000000000
7770 88.0000000000
7980 89.0000000000
8293 90.0000000000
8412 91.0000000000
8465 92.0000000000
8928 93.0000000000
8970 95.0000000000
9000 97.0000000000
9627 100.0000000000
100000 5.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
15 4.0000000000
34 6.0000000000
59 8.0000000000
86 11.0000000000
172 13.0000000000
183 14.0000000000
233 15.0000000000
254 16.0000000000
681 19.0000000000
746 20.0000000000
753 22.0000000000
952 23.0000000000
1375 24.0000000000
1435 26.0000000000
1478 29.0000000000
1707 31.0000000000
1716 32.0000000000
1820 34.0000000000
2174 37.0000000000
2293 38.0000000000
2622 42.0000000000
3045 43.0000000000
3205 44.0000000000
3212 45.0000000000
3515 46.0000000000
3598 47.0000000000
3638 48.0000000000
3847 49.0000000000
3892 51.0000000000
4048 53.0000000000
4116 54.0000000000
4150 56.0000000000
4380 58.0000000000
4568 60.0000000000
4645 62.0000000000
4912 63.0000000000
5013 64.0000000000
5543 65.0000000000
5796 67.0000000000
5819 69.0000000000
6305 70.0000000000
6794 71.0000000000
6809 77.0000000000
7075 78.0000000000
7154 81.0000000000
7336 82.0000000000
7379 83.0000000000
9007 84.0000000000
9106 87.0000000000
9219 89.0000000000
9726 95.0000000000
9858 96.0000000000
10062 97.0000000000
10257 98.0000000000
10581 99.0000000000
10901 100.0000000000
100000 54.0000000000
evaluations raw_y
1 6.0000000000
84 8.0000000000
91 11.0000000000
132 12.0000000000
139 13.0000000000
182 14.0000000000
235 15.0000000000
252 16.0000000000
263 18.0000000000
330 19.0000000000
433 20.0000000000
664 21.0000000000
720 22.0000000000
756 23.0000000000
811 24.0000000000
818 27.0000000000
893 28.0000000000
917 29.0000000000
983 34.0000000000
1066 36.0000000000
1144 37.0000000000
1392 39.0000000000
1569 41.0000000000
1580 47.0000000000
1623 49.0000000000
1662 54.0000000000
1790 58.0000000000
2075 59.0000000000
2256 60.0000000000
2632 62.0000000000
2764 65.0000000000
3257 68.0000000000
3424 69.0000000000
3590 71.0000000000
3665 72.0000000000
4022 73.0000000000
4038 79.0000000000
4475 81.0000000000
5212 82.0000000000
5675 83.0000000000
5998 86.0000000000
6028 88.0000000000
6370 89.0000000000
6585 91.0000000000
7064 92.0000000000
7146 96.0000000000
7417 98.0000000000
8135 100.0000000000
100000 26.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
4 7.0000000000
40 9.0000000000
45 11.0000000000
65 16.0000000000
143 18.0000000000
193 20.0000000000
393 21.0000000000
627 24.0000000000
948 32.0000000000
971 33.0000000000
1101 35.0000000000
1106 37.0000000000
1468 39.0000000000
1541 40.0000000000
1558 41.0000000000
1903 44.0000000000
1943 45.0000000000
1946 46.0000000000
1972 47.0000000000
2008 48.0000000000
2165 50.0000000000
2368 51.0000000000
2425 53.0000000000
2606 55.0000000000
2879 57.0000000000
2965 59.0000000000
3749 62.0000000000
4091 64.0000000000
4168 66.0000000000
4648 67.0000000000
4663 68.0000000000
4973 69.0000000000
5917 71.0000000000
6197 72.0000000000
6435 73.0000000000
6525 74.0000000000
6552 75.0000000000
6686 76.0000000000
7003 80.0000000000
7012 81.0000000000
7482 82.0000000000
7688 83.0000000000
7736 86.0000000000
8316 87.0000000000
8343 88.0000000000
8398 93.0000000000
8448 94.0000000000
8533 99.0000000000
9968 100.0000000000
100000 18.0000000000
evaluations raw_y
1 0.0000000000
4 2.0000000000
14 4.0000000000
23 7.0000000000
57 10.0000000000
93 13.0000000000
197 14.0000000000
250 15.0000000000
281 16.0000000000
286 17.0000000000
382 18.0000000000
424 20.0000000000
455 23.0000000000
474 25.0000000000
755 28.0000000000
1247 29.0000000000
1416 30.0000000000
1433 31.0000000000
1529 33.0000000000
1555 35.0000000000
1626 36.0000000000
1780 39.0000000000
1808 44.0000000000
2534 49.0000000000
2935 52.0000000000
3244 53.0000000000
3483 54.0000000000
3618 55.0000000000
3778 58.0000000000
4045 65.0000000000
4197 69.0000000000
4782 72.0000000000
4817 75.0000000000
4881 78.0000000000
5077 80.0000000000
5119 82.0000000000
5156 84.0000000000
5544 85.0000000000
6261 86.0000000000
6536 87.0000000000
6648 88.0000000000
6687 90.0000000000
6992 91.0000000000
7353 93.0000000000
7528 95.0000000000
7630 96.0000000000
7703 97.0000000000
8378 100.0000000000
100000 74.0000000000
evaluations raw_y
1 5.0000000000
55 7.0000000000
87 9.0000000000
160 10.0000000000
179 12.0000000000
224 16.0000000000
293 17.0000000000
296 18.0000000000
483 20.0000000000
608 21.0000000000
622 22.0000000000
760 24.0000000000
799 25.0000000000
930 26.0000000000
1001 32.0000000000
1379 34.0000000000
1466 37.0000000000
1973 40.0000000000
2319 42.0000000000
2330 43.0000000000
2337 44.0000000000
2420 45.0000000000
2600 53.0000000000
2864 57.0000000000
3125 60.0000000000
3220 61.0000000000
3403 66.0000000000
3463 67.0000000000
3769 68.0000000000
