evaluations raw_y
1 -1527.0000000000
3 -1401.0000000000
7 -1342.0000000000
9 -1225.0000000000
16 -1215.0000000000
18 -1186.0000000000
20 -1128.0000000000
21 -1118.0000000000
36 -1021.0000000000
41 -982.0000000000
43 -972.0000000000
48 -914.0000000000
52 -884.0000000000
55 -816.0000000000
59 -758.0000000000
68 -690.0000000000
77 -651.0000000000
89 -642.0000000000
93 -632.0000000000
99 -593.0000000000
104 -574.0000000000
107 -564.0000000000
111 -515.0000000000
129 -476.0000000000
134 -457.0000000000
139 -428.0000000000
149 -418.0000000000
151 -408.0000000000
159 -389.0000000000
185 -369.0000000000
195 -359.0000000000
197 -340.0000000000
199 -331.0000000000
200 -321.0000000000
214 -302.0000000000
218 -282.0000000000
219 -272.0000000000
221 -263.0000000000
224 -244.0000000000
229 -234.0000000000
231 -215.0000000000
242 -205.0000000000
267 -166.0000000000
302 -137.0000000000
350 -79.0000000000
364 -70.0000000000
390 -61.0000000000
426 -52.0000000000
439 -43.0000000000
444 -42.0000000000
456 -24.0000000000
457 -23.0000000000
547 -14.0000000000
594 -5.0000000000
598 4.0000000000
626 5.0000000000
636 6.0000000000
663 7.0000000000
803 8.0000000000
45710 9.0000000000
100000 -59.0000000000
evaluations raw_y
1 -1371.0000000000
2 -933.0000000000
13 -884.0000000000
17 -757.0000000000
27 -709.0000000000
45 -670.0000000000
48 -660.0000000000
52 -631.0000000000
58 -621.0000000000
74 -602.0000000000
77 -592.0000000000
84 -563.0000000000
94 -534.0000000000
103 -495.0000000000
119 -427.0000000000
125 -398.0000000000
132 -359.0000000000
154 -320.0000000000
158 -281.0000000000
166 -262.0000000000
182 -233.0000000000
213 -214.0000000000
224 -185.0000000000
240 -156.0000000000
252 -137.0000000000
263 -98.0000000000
277 -70.0000000000
281 -61.0000000000
283 -51.0000000000
296 -42.0000000000
326 -41.0000000000
371 -22.0000000000
417 -13.0000000000
428 -4.0000000000
436 5.0000000000
460 6.0000000000
537 7.0000000000
616 8.0000000000
761 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1507.0000000000
4 -1371.0000000000
5 -1341.0000000000
8 -1156.0000000000
25 -1146.0000000000
26 -1117.0000000000
28 -1049.0000000000
41 -1000.0000000000
47 -971.0000000000
52 -951.0000000000
56 -932.0000000000
73 -922.0000000000
74 -893.0000000000
86 -854.0000000000
95 -796.0000000000
110 -767.0000000000
116 -728.0000000000
124 -689.0000000000
134 -679.0000000000
141 -660.0000000000
154 -621.0000000000
157 -582.0000000000
173 -543.0000000000
184 -504.0000000000
192 -475.0000000000
196 -417.0000000000
203 -407.0000000000
212 -397.0000000000
219 -378.0000000000
220 -368.0000000000
224 -349.0000000000
249 -320.0000000000
263 -310.0000000000
275 -300.0000000000
283 -281.0000000000
289 -252.0000000000
309 -194.0000000000
333 -185.0000000000
338 -165.0000000000
390 -146.0000000000
405 -118.0000000000
419 -98.0000000000
437 -89.0000000000
475 -70.0000000000
487 -51.0000000000
498 -32.0000000000
550 -22.0000000000
573 -13.0000000000
633 -12.0000000000
676 -3.0000000000
687 -2.0000000000
705 -1.0000000000
966 8.0000000000
22251 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1361.0000000000
2 -1215.0000000000
9 -1020.0000000000
17 -913.0000000000
22 -855.0000000000
27 -845.0000000000
38 -816.0000000000
40 -806.0000000000
41 -738.0000000000
48 -728.0000000000
51 -699.0000000000
54 -631.0000000000
56 -592.0000000000
66 -563.0000000000
76 -544.0000000000
82 -534.0000000000
83 -515.0000000000
86 -505.0000000000
96 -495.0000000000
103 -476.0000000000
112 -447.0000000000
114 -437.0000000000
120 -369.0000000000
132 -340.0000000000
143 -272.0000000000
180 -243.0000000000
182 -224.0000000000
193 -185.0000000000
197 -146.0000000000
217 -117.0000000000
223 -108.0000000000
230 -88.0000000000
237 -59.0000000000
251 -50.0000000000
276 -42.0000000000
277 -41.0000000000
397 -22.0000000000
518 -13.0000000000
585 -12.0000000000
589 6.0000000000
619 7.0000000000
722 8.0000000000
31711 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1166.0000000000
3 -1098.0000000000
5 -884.0000000000
18 -826.0000000000
23 -806.0000000000
30 -777.0000000000
45 -709.0000000000
51 -699.0000000000
53 -670.0000000000
57 -592.0000000000
65 -553.0000000000
81 -534.0000000000
99 -495.0000000000
105 -466.0000000000
124 -447.0000000000
139 -408.0000000000
147 -389.0000000000
165 -360.0000000000
169 -350.0000000000
170 -331.0000000000
184 -321.0000000000
192 -311.0000000000
194 -292.0000000000
208 -263.0000000000
232 -244.0000000000
244 -195.0000000000
252 -176.0000000000
296 -147.0000000000
327 -127.0000000000
334 -118.0000000000
336 -99.0000000000
363 -79.0000000000
365 -70.0000000000
402 -61.0000000000
417 -42.0000000000
459 -22.0000000000
466 -13.0000000000
501 -4.0000000000
509 -3.0000000000
519 -2.0000000000
534 -1.0000000000
742 0.0000000000
784 9.0000000000
91564 10.0000000000
100000 10.0000000000
evaluations raw_y
1 -1527.0000000000
2 -1196.0000000000
7 -923.0000000000
17 -875.0000000000
18 -758.0000000000
25 -651.0000000000
35 -641.0000000000
43 -583.0000000000
46 -573.0000000000
56 -534.0000000000
75 -466.0000000000
95 -437.0000000000
105 -398.0000000000
126 -379.0000000000
130 -350.0000000000
159 -311.0000000000
175 -282.0000000000
180 -273.0000000000
181 -263.0000000000
185 -244.0000000000
196 -243.0000000000
204 -224.0000000000
226 -205.0000000000
243 -185.0000000000
249 -166.0000000000
259 -147.0000000000
282 -118.0000000000
301 -89.0000000000
329 -70.0000000000
380 -51.0000000000
394 -42.0000000000
408 -33.0000000000
434 -24.0000000000
446 -15.0000000000
462 -14.0000000000
496 -13.0000000000
536 -12.0000000000
557 -3.0000000000
711 -2.0000000000
838 7.0000000000
936 8.0000000000
943 9.0000000000
24205 10.0000000000
100000 -19.0000000000
evaluations raw_y
1 -1313.0000000000
4 -1166.0000000000
6 -1079.0000000000
8 -1020.0000000000
15 -913.0000000000
22 -845.0000000000
26 -729.0000000000
33 -690.0000000000
40 -593.0000000000
47 -554.0000000000
58 -535.0000000000
59 -525.0000000000
102 -496.0000000000
122 -467.0000000000
139 -438.0000000000
145 -409.0000000000
161 -399.0000000000
166 -389.0000000000
168 -370.0000000000
175 -341.0000000000
182 -302.0000000000
200 -292.0000000000
219 -254.0000000000
229 -225.0000000000
243 -186.0000000000
249 -157.0000000000
275 -138.0000000000
308 -119.0000000000
318 -109.0000000000
327 -100.0000000000
330 -90.0000000000
345 -80.0000000000
353 -71.0000000000
366 -62.0000000000
369 -52.0000000000
508 -51.0000000000
586 -42.0000000000
592 -22.0000000000
619 -13.0000000000
687 -3.0000000000
691 6.0000000000
718 7.0000000000
747 8.0000000000
812 9.0000000000
18526 10.0000000000
100000 10.0000000000
evaluations raw_y
1 -1166.0000000000
2 -962.0000000000
9 -758.0000000000
14 -729.0000000000
16 -728.0000000000
24 -709.0000000000
26 -680.0000000000
33 -651.0000000000
34 -524.0000000000
55 -495.0000000000
57 -485.0000000000
63 -466.0000000000
66 -456.0000000000
88 -446.0000000000
97 -427.0000000000
98 -407.0000000000
101 -369.0000000000
105 -330.0000000000
123 -301.0000000000
126 -243.0000000000
137 -214.0000000000
151 -204.0000000000
162 -195.0000000000
167 -166.0000000000
184 -137.0000000000
194 -79.0000000000
221 -70.0000000000
231 -60.0000000000
253 -51.0000000000
274 -42.0000000000
304 -41.0000000000
321 -32.0000000000
324 -23.0000000000
367 -22.0000000000
401 -13.0000000000
420 -12.0000000000
449 -3.0000000000
496 -2.0000000000
580 7.0000000000
613 8.0000000000
1999 9.0000000000
100000 -39.0000000000
evaluations raw_y
1 -1391.0000000000
2 -1196.0000000000
4 -953.0000000000
16 -933.0000000000
17 -923.0000000000
30 -787.0000000000
38 -739.0000000000
53 -651.0000000000
68 -622.0000000000
71 -564.0000000000
85 -506.0000000000
96 -496.0000000000
100 -361.0000000000
112 -322.0000000000
133 -283.0000000000
136 -254.0000000000
151 -225.0000000000
198 -206.0000000000
209 -186.0000000000
219 -177.0000000000
