evaluations raw_y
1 3.0000000000
7 4.0000000000
83 5.0000000000
109 6.0000000000
137 7.0000000000
186 8.0000000000
243 9.0000000000
440 10.0000000000
667 13.0000000000
771 15.0000000000
777 21.0000000000
897 22.0000000000
913 23.0000000000
921 25.0000000000
978 27.0000000000
1138 32.0000000000
1365 33.0000000000
1398 35.0000000000
1653 40.0000000000
1924 46.0000000000
1970 47.0000000000
2044 50.0000000000
2061 51.0000000000
2189 52.0000000000
2514 53.0000000000
2540 55.0000000000
3005 58.0000000000
3037 60.0000000000
3152 61.0000000000
3414 65.0000000000
3936 66.0000000000
3952 67.0000000000
3982 68.0000000000
4300 70.0000000000
4321 71.0000000000
4560 72.0000000000
5288 74.0000000000
5518 76.0000000000
5587 77.0000000000
5637 78.0000000000
5703 79.0000000000
5975 80.0000000000
6070 84.0000000000
6103 85.0000000000
6353 86.0000000000
6753 88.0000000000
6952 96.0000000000
7455 99.0000000000
7519 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
4 3.0000000000
11 4.0000000000
14 5.0000000000
83 9.0000000000
140 11.0000000000
152 13.0000000000
216 14.0000000000
221 16.0000000000
334 18.0000000000
462 19.0000000000
521 21.0000000000
683 24.0000000000
748 28.0000000000
801 29.0000000000
877 31.0000000000
1049 33.0000000000
1546 34.0000000000
1716 38.0000000000
1722 40.0000000000
1956 43.0000000000
1969 46.0000000000
2469 47.0000000000
2536 48.0000000000
2783 49.0000000000
2803 51.0000000000
2844 54.0000000000
3017 55.0000000000
3162 56.0000000000
3231 58.0000000000
3413 61.0000000000
3519 63.0000000000
3566 64.0000000000
3616 68.0000000000
3649 69.0000000000
3955 72.0000000000
4153 73.0000000000
4519 76.0000000000
4666 77.0000000000
4719 79.0000000000
5094 80.0000000000
5152 81.0000000000
5668 83.0000000000
5822 85.0000000000
5883 86.0000000000
6046 87.0000000000
6308 88.0000000000
6334 89.0000000000
6748 90.0000000000
7087 93.0000000000
7373 94.0000000000
7765 99.0000000000
8521 100.0000000000
100000 50.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
28 6.0000000000
80 7.0000000000
92 9.0000000000
171 12.0000000000
263 13.0000000000
272 16.0000000000
283 18.0000000000
370 19.0000000000
479 20.0000000000
616 21.0000000000
625 22.0000000000
641 23.0000000000
952 29.0000000000
1402 31.0000000000
1562 32.0000000000
1565 34.0000000000
1773 35.0000000000
1915 36.0000000000
1928 41.0000000000
2039 44.0000000000
2176 46.0000000000
2209 48.0000000000
2317 54.0000000000
2338 55.0000000000
2400 57.0000000000
2515 60.0000000000
2568 63.0000000000
2595 65.0000000000
2605 67.0000000000
3542 68.0000000000
3565 69.0000000000
3798 71.0000000000
3948 75.0000000000
4349 76.0000000000
4532 77.0000000000
5246 80.0000000000
5407 81.0000000000
5453 82.0000000000
5461 88.0000000000
6295 89.0000000000
6311 92.0000000000
6551 93.0000000000
6678 94.0000000000
6810 96.0000000000
7436 97.0000000000
8032 100.0000000000
100000 9.0000000000
evaluations raw_y
1 0.0000000000
4 3.0000000000
115 4.0000000000
210 5.0000000000
382 7.0000000000
389 9.0000000000
493 11.0000000000
520 13.0000000000
546 15.0000000000
795 17.0000000000
806 18.0000000000
903 19.0000000000
928 20.0000000000
977 21.0000000000
1182 24.0000000000
1205 27.0000000000
1307 31.0000000000
1955 34.0000000000
2004 35.0000000000
2111 36.0000000000
2562 37.0000000000
2572 38.0000000000
2670 40.0000000000
2819 41.0000000000
2874 43.0000000000
2947 45.0000000000
2977 46.0000000000
3007 49.0000000000
3024 55.0000000000
3107 56.0000000000
3180 58.0000000000
3221 59.0000000000
3454 60.0000000000
3723 68.0000000000
3758 70.0000000000
3762 71.0000000000
4021 73.0000000000
4460 76.0000000000
4481 77.0000000000
4627 78.0000000000
4641 79.0000000000
4742 82.0000000000
5102 85.0000000000
5655 87.0000000000
5675 88.0000000000
5822 92.0000000000
6306 94.0000000000
6549 96.0000000000
6555 99.0000000000
6897 100.0000000000
100000 64.0000000000
evaluations raw_y
1 1.0000000000
6 2.0000000000
12 3.0000000000
188 6.0000000000
298 7.0000000000
369 8.0000000000
381 9.0000000000
385 11.0000000000
405 14.0000000000
491 15.0000000000
511 16.0000000000
589 18.0000000000
741 20.0000000000
758 21.0000000000
765 22.0000000000
1028 24.0000000000
1122 25.0000000000
1175 28.0000000000
1405 33.0000000000
1529 35.0000000000
1719 37.0000000000
1770 38.0000000000
1776 39.0000000000
2130 40.0000000000
2136 41.0000000000
2285 43.0000000000
2297 44.0000000000
2445 48.0000000000
2927 50.0000000000
3452 53.0000000000
3500 54.0000000000
3574 60.0000000000
3794 61.0000000000
3808 62.0000000000
3912 64.0000000000
4092 65.0000000000
4415 66.0000000000
4610 68.0000000000
4916 70.0000000000
5368 74.0000000000
5517 78.0000000000
5600 80.0000000000
5686 82.0000000000
6350 84.0000000000
6423 86.0000000000
6808 88.0000000000
7006 95.0000000000
7736 100.0000000000
100000 56.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
32 4.0000000000
104 6.0000000000
111 7.0000000000
269 8.0000000000
378 9.0000000000
398 15.0000000000
703 16.0000000000
770 18.0000000000
796 19.0000000000
1026 23.0000000000
1051 25.0000000000
1439 26.0000000000
1580 28.0000000000
1930 31.0000000000
2214 32.0000000000
2479 36.0000000000
2484 42.0000000000
2658 43.0000000000
3111 46.0000000000
3214 48.0000000000
3377 49.0000000000
3449 52.0000000000
3462 55.0000000000
3613 56.0000000000
3858 57.0000000000
3882 58.0000000000
3956 59.0000000000
4083 61.0000000000
4089 62.0000000000
4433 64.0000000000
4556 65.0000000000
4586 66.0000000000
4659 68.0000000000
4874 70.0000000000
4985 80.0000000000
5459 81.0000000000
5710 83.0000000000
5771 84.0000000000
5915 85.0000000000
6249 86.0000000000
6655 87.0000000000
6733 88.0000000000
6941 91.0000000000
7018 99.0000000000
7308 100.0000000000
100000 23.0000000000
evaluations raw_y
1 0.0000000000
5 2.0000000000
83 3.0000000000
176 6.0000000000
191 7.0000000000
197 9.0000000000
217 14.0000000000
345 15.0000000000
376 17.0000000000
441 19.0000000000
507 20.0000000000
540 21.0000000000
590 24.0000000000
623 25.0000000000
744 26.0000000000
746 27.0000000000
1034 28.0000000000
1043 30.0000000000
1078 31.0000000000
1143 32.0000000000
1244 33.0000000000
1458 34.0000000000
1633 36.0000000000
1866 38.0000000000
2107 42.0000000000
2333 43.0000000000
2830 44.0000000000
3022 45.0000000000
3029 49.0000000000
3112 50.0000000000
3213 54.0000000000
3222 55.0000000000
3603 57.0000000000
3817 59.0000000000
3984 60.0000000000
4106 65.0000000000
4211 67.0000000000
4233 68.0000000000
4371 69.0000000000
4941 70.0000000000
4984 71.0000000000
5062 73.0000000000
5075 80.0000000000
5118 83.0000000000
5304 85.0000000000
5388 86.0000000000
5626 88.0000000000
5703 89.0000000000
6832 93.0000000000
7882 94.0000000000
8561 96.0000000000
8597 98.0000000000
8747 100.0000000000
100000 5.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
9 5.0000000000
151 6.0000000000
250 7.0000000000
262 14.0000000000
587 16.0000000000
591 18.0000000000
768 21.0000000000
895 22.0000000000
941 24.0000000000
1128 25.0000000000
1177 32.0000000000
1209 33.0000000000
1511 34.0000000000
1705 35.0000000000
1759 36.0000000000
1774 37.0000000000
1949 38.0000000000
2047 39.0000000000
2083 41.0000000000
2236 45.0000000000
2278 47.0000000000
2334 51.0000000000
2472 52.0000000000
2655 53.0000000000
2861 56.0000000000
2955 58.0000000000
3423 60.0000000000
3598 61.0000000000
3928 62.0000000000
3947 66.0000000000
4196 67.0000000000
4343 68.0000000000
4439 71.0000000000
4446 73.0000000000
4448 75.0000000000
4466 77.0000000000
4816 78.0000000000
4949 79.0000000000
4986 80.0000000000
5246 84.0000000000
5475 85.0000000000
5630 86.0000000000
6119 88.0000000000
7174 89.0000000000
8048 92.0000000000
8095 95.0000000000
8398 96.0000000000
8448 97.0000000000
8561 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
18 3.0000000000
23 4.0000000000
25 6.0000000000
45 10.0000000000
175 12.0000000000
225 13.0000000000
324 16.0000000000
332 17.0000000000
344 18.0000000000
347 21.0000000000
350 23.0000000000
628 26.0000000000
729 27.0000000000
939 29.0000000000
1036 30.0000000000
1051 33.0000000000
1117 34.0000000000
1192 36.0000000000
1454 37.0000000000
1607 39.0000000000
1625 40.0000000000
1819 42.0000000000
1850 46.0000000000
1870 47.0000000000
1976 49.0000000000
2014 51.0000000000
2019 52.0000000000
2146 53.0000000000
2389 54.0000000000
2859 57.0000000000
3422 58.0000000000
3467 63.0000000000
3584 64.0000000000
3960 65.0000000000
4165 67.0000000000
4219 69.0000000000
4707 70.0000000000
4922 71.0000000000
4983 73.0000000000
5012 77.0000000000
5213 80.0000000000
5405 83.0000000000
5431 85.0000000000
5442 86.0000000000
5525 87.0000000000
5696 88.0000000000
5987 93.0000000000
6097 96.0000000000
6211 97.0000000000
6345 100.0000000000
100000 83.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
5 2.0000000000
12 8.0000000000
81 9.0000000000
223 10.0000000000
228 11.0000000000
236 12.0000000000
566 14.0000000000
593 15.0000000000
640 20.0000000000
729 22.0000000000
858 25.0000000000
866 28.0000000000
955 29.0000000000
1003 32.0000000000
1062 33.0000000000
1160 34.0000000000
1276 35.0000000000
1424 37.0000000000
1668 38.0000000000
1839 39.0000000000
1946 40.0000000000
2044 41.0000000000
2221 42.0000000000
2324 43.0000000000
2813 45.0000000000
2927 49.0000000000
3067 50.0000000000
3409 56.0000000000
3460 59.0000000000
3461 65.0000000000
