evaluations raw_y
1 1.1933174224
6 1.2094823416
8 1.3390465988
10 1.6160310278
15 1.6479894529
19 1.8208302986
50 1.9425019425
53 1.9577133908
56 2.0781379884
66 2.2502250225
85 2.5380710660
116 2.7746947836
134 2.7932960894
135 2.8636884307
139 2.9171528588
199 3.2010243278
275 3.2425421530
518 3.3377837116
776 3.4770514604
787 3.7147102526
927 3.8167938931
1641 3.8402457757
100000 3.8402457757
evaluations raw_y
1 1.1379153391
5 1.3713658804
7 1.4425851125
22 1.5142337977
47 1.5933715743
55 1.6160310278
62 1.6265452180
66 1.6789791807
70 1.8181818182
77 1.8532246108
83 2.0920502092
90 2.1132713440
108 2.1910604733
120 2.3430178069
127 2.3832221163
147 2.5329280648
189 3.2679738562
239 3.4387895461
288 3.4867503487
382 3.7037037037
507 3.7593984962
7557 3.8051750381
13042 3.8520801233
13202 4.1736227045
100000 2.7027027027
evaluations raw_y
1 0.8098477486
5 0.8976660682
19 1.0068465566
20 1.0734220696
25 1.1887779363
26 1.2879958784
39 1.3989927252
42 1.4662756598
43 1.5309246785
46 1.6286644951
61 1.9888623707
130 2.1720243267
150 2.1949078139
159 2.4201355276
172 2.4630541872
260 2.5278058645
357 2.5329280648
553 2.5484199796
577 2.6232948583
653 2.7382256298
719 2.7808676307
722 2.7870680045
790 2.9036004646
803 3.0376670717
926 3.1367628607
955 3.4199726402
1037 3.6927621861
1131 3.8167938931
1325 3.8284839204
20964 3.8759689922
80265 3.9001560062
100000 2.5227043391
evaluations raw_y
1 0.7514277127
2 0.7790588969
4 0.8041170794
8 0.8471704507
10 0.9394964299
12 1.0117361392
15 1.1246063878
20 1.2177301510
26 1.3234515617
37 1.4889815366
40 1.6655562958
42 1.6767270288
46 1.7543859649
66 1.8504811251
67 1.8642803878
83 1.8670649739
84 1.9607843137
86 2.0145044319
93 2.2665457842
110 2.3299161230
139 2.4154589372
192 2.5799793602
206 2.5960539979
216 2.6014568158
219 2.6852846402
422 2.8636884307
452 2.9239766082
814 3.0303030303
853 3.1289111389
1789 3.2851511170
30932 3.3288948069
30962 3.4293552812
30988 3.5360678925
31078 3.6284470247
31152 3.8639876352
31318 3.8759689922
31342 3.9872408293
31471 4.0000000000
100000 4.0000000000
evaluations raw_y
1 1.0893246187
4 1.1831519167
6 1.2212994626
9 1.2722646310
11 1.3912075682
14 1.5253203173
19 1.6181229773
25 1.7373175817
34 1.7946877243
40 1.8181818182
42 1.9577133908
43 2.1459227468
81 2.2026431718
159 2.3923444976
165 2.3969319271
167 2.4390243902
191 2.4630541872
211 2.9308323564
251 3.1133250311
615 3.2851511170
5623 3.3377837116
5789 3.4770514604
13400 3.8880248834
13459 3.9246467818
100000 3.9246467818
evaluations raw_y
1 0.8944543828
3 1.0403662089
4 1.2543903663
5 1.2683916794
7 1.3150973172
9 1.3535462913
15 1.4132278123
16 1.5422578655
18 1.5634771732
20 1.7111567420
27 1.7494751575
29 1.7618040874
36 2.0374898126
51 2.1240441801
98 2.1276595745
151 2.2706630336
204 2.3651844844
213 2.4826216485
290 2.4875621891
292 2.5025025025
313 2.6795284030
327 2.7085590466
331 2.7870680045
342 2.7995520717
392 2.8184892897
403 3.1210986267
408 3.1289111389
475 3.3738191633
479 3.4013605442
491 3.4867503487
593 3.5360678925
840 3.5460992908
1066 3.5765379113
3078 3.6390101892
100000 3.6390101892
evaluations raw_y
1 0.8242664029
3 1.0588733587
6 1.0780508840
9 1.1348161598
19 1.1876484561
20 1.2165450122
21 1.3958682300
38 1.5812776724
40 1.7135023989
41 1.7946877243
43 2.0576131687
48 2.2065313327
210 2.3255813953
211 2.3923444976
234 2.4582104228
264 2.4826216485
310 2.6123301985
342 2.6455026455
359 2.6737967914
