evaluations raw_y
1 0.8454514711
2 0.9823182711
3 1.2357884330
6 1.2394645513
8 1.2632642749
10 1.2774655084
19 1.6789791807
246 1.7692852088
253 2.1834061135
345 2.2542831380
355 2.3041474654
389 2.3255813953
398 2.3474178404
410 2.3877745941
432 2.3969319271
458 2.4875621891
469 2.4925224327
541 2.5380710660
578 2.8968713789
668 3.0156815440
913 3.0525030525
973 3.3288948069
1137 3.4867503487
1320 3.5360678925
1479 3.7593984962
1572 3.9370078740
1940 4.0257648953
2753 4.0387722132
3100 4.1322314050
29882 4.1876046901
30073 4.2016806723
100000 4.2016806723
evaluations raw_y
1 0.9451795841
3 1.0109179135
5 1.0544074230
8 1.1008366358
11 1.1235955056
18 1.5328019620
128 1.5479876161
133 1.6611295681
181 1.7349063151
199 1.7421602787
245 2.3126734505
363 2.4533856722
381 3.0525030525
506 3.1367628607
616 3.2092426187
694 3.2509752926
772 3.2765399738
910 3.3377837116
2330 3.3921302578
2349 3.5460992908
2566 3.7037037037
2832 3.7369207773
2952 4.0257648953
100000 4.0257648953
evaluations raw_y
1 1.0421008754
2 1.2071463061
7 1.2735608762
10 1.4409221902
12 1.5051173992
29 1.7229496899
192 1.8050541516
197 1.9098548510
270 2.0990764064
360 2.2143489814
366 2.2542831380
424 2.2665457842
439 2.2747952684
480 2.2956841139
494 2.3255813953
496 2.4582104228
595 2.4826216485
662 2.4975024975
764 2.6288117771
806 2.7203482046
865 2.7995520717
924 2.8506271380
947 2.9655990510
1081 2.9868578256
1100 3.0978934325
1330 3.1210986267
1711 3.1289111389
1721 3.1605562579
2031 3.2175032175
2217 3.2258064516
2297 3.2679738562
2416 3.4199726402
2875 3.4674063800
3102 3.5360678925
10200 3.5971223022
25832 3.6603221083
26065 3.7593984962
26926 3.8284839204
27005 4.0518638574
27015 4.0916530278
46499 4.1459369818
100000 3.1210986267
evaluations raw_y
1 0.6535947712
2 1.6244314490
74 1.7229496899
281 1.8129079043
287 1.8896447468
316 1.9485580670
378 1.9700551615
385 2.0308692120
386 2.0678246485
408 2.0850708924
429 2.1168501270
453 2.1422450728
461 2.1949078139
480 2.2143489814
485 2.3969319271
531 2.4108003857
602 2.4390243902
628 2.5025025025
688 2.6014568158
816 2.9515938607
900 3.0826140567
934 3.1367628607
968 3.1446540881
1120 3.2341526520
1240 3.2425421530
1298 3.2509752926
1309 3.2765399738
1520 3.3738191633
2064 3.4965034965
2306 3.5663338088
2386 3.6390101892
2484 3.7369207773
2855 4.0916530278
3325 4.2735042735
3481 4.2881646655
3551 4.3478260870
100000 4.1322314050
evaluations raw_y
1 0.9242144177
2 1.2827090816
21 1.5772870662
135 1.9425019425
280 2.0508613618
299 2.0920502092
337 2.2999080037
381 2.3169601483
434 2.3299161230
456 2.4485798237
464 2.4533856722
468 2.5746652935
584 2.6123301985
647 2.7563395810
726 2.8901734104
762 2.9036004646
763 2.9239766082
839 2.9868578256
937 3.1928480204
1036 3.3467202142
1421 3.3738191633
9033 3.4106412005
9439 3.5561877667
9496 3.5663338088
9957 3.6390101892
11002 3.7147102526
11562 3.7936267071
24579 3.8167938931
24848 4.0783034258
100000 2.8636884307
evaluations raw_y
1 1.0780508840
5 1.2201073694
6 1.4392630973
76 1.5033072760
79 1.6611295681
156 1.7158544955
255 1.7421602787
281 1.7717930546
371 1.7844396859
375 1.8587360595
394 1.8670649739
397 1.8726591760
413 1.9669551534
456 2.1097046414
519 2.1872265967
539 2.3255813953
661 2.4295432459
745 2.4679170780
779 2.5641025641
808 2.6737967914
839 2.7144408252
902 2.7685492802
980 2.8248587571
1010 2.8312570781
1066 2.8702640643
1073 2.9103608847
1107 3.0599755202
1164 3.2425421530
1344 3.2509752926
1423 3.3738191633
1452 3.4965034965
1562 3.5260930889
1756 3.7257824143
63170 3.7707390649
68331 3.9619651347
68392 3.9745627981
68474 3.9872408293
68494 4.1322314050
100000 4.1322314050
evaluations raw_y
1 1.3390465988
2 1.4714537964
36 1.5954052329
114 1.5994881638
199 2.1349274125
298 2.1795989538
340 2.1987686895
378 2.2222222222
391 2.2421524664
395 2.3562676720
454 2.4201355276
479 2.4630541872
480 2.5176233635
530 2.6014568158
585 2.6288117771
589 2.7262813522
638 2.7870680045
677 2.9377203290
696 2.9446407538
1383 3.0084235860
1933 3.2175032175
4154 3.2341526520
4367 3.2765399738
4728 3.3557046980
5166 3.3829499323
5220 3.7147102526
5760 3.7257824143
5950 3.7369207773
6933 3.7481259370
6982 3.7821482602
7407 4.1186161450
100000 2.2502250225
evaluations raw_y
1 1.3095861708
8 1.4084507042
12 1.6035920462
58 1.6545334216
188 1.7205781142
216 1.9888623707
382 2.0210185934
399 2.0308692120
466 2.0576131687
482 2.1459227468
582 2.1496130696
585 2.3255813953
644 2.5176233635
678 2.5693730730
807 2.5746652935
871 2.6455026455
880 2.6910656620
886 2.7746947836
899 2.8312570781
986 2.8441410694
1083 2.8506271380
1134 2.9171528588
1231 2.9239766082
1251 2.9308323564
1319 2.9797377831
1488 3.1055900621
1586 3.1133250311
1598 3.3467202142
1862 3.5260930889
2195 3.5971223022
2218 3.6179450072
2244 4.0000000000
2431 4.0916530278
100000 4.0916530278
evaluations raw_y
1 1.2036591237
4 1.3054830287
8 1.3623978202
21 1.4068655037
22 1.6903313049
48 1.9186492709
177 2.1795989538
311 2.2261798753
328 2.3084025854
433 2.3518344309
441 2.4295432459
465 2.5329280648
524 2.6123301985
581 2.6178010471
793 2.7502750275
834 2.7995520717
836 3.0084235860
1102 3.0599755202
2950 3.1210986267
3199 3.1446540881
3408 3.2509752926
3533 3.3647375505
3615 3.4106412005
3754 3.4199726402
3853 3.6390101892
4120 3.8051750381
4253 3.8402457757
100000 3.8402457757
evaluations raw_y
1 1.1389521640
2 1.2594458438
20 1.4679976512
27 1.5365703749
52 1.6949152542
200 1.9275250578
244 2.1496130696
378 2.2301516503
411 2.4975024975
434 2.6624068158
458 2.7442371021
462 2.8968713789
489 3.0303030303
690 3.0525030525
783 3.0978934325
865 3.1055900621
1267 3.1289111389
1374 3.1847133758
2370 3.1928480204
2410 3.3738191633
11627 3.4482758621
12204 3.5360678925
100000 2.0275750203
