evaluations raw_y
1 -1440.0000000000
3 -1322.0000000000
10 -1040.0000000000
36 -952.0000000000
68 -893.0000000000
75 -885.0000000000
128 -855.0000000000
170 -690.0000000000
227 -641.0000000000
231 -631.0000000000
250 -563.0000000000
255 -554.0000000000
285 -544.0000000000
290 -515.0000000000
320 -486.0000000000
353 -428.0000000000
362 -350.0000000000
409 -291.0000000000
447 -234.0000000000
511 -215.0000000000
522 -214.0000000000
539 -196.0000000000
560 -147.0000000000
661 -139.0000000000
673 -138.0000000000
686 -110.0000000000
707 -99.0000000000
797 -80.0000000000
815 -70.0000000000
882 -50.0000000000
927 -41.0000000000
943 -22.0000000000
988 -3.0000000000
1136 6.0000000000
1276 7.0000000000
60947 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1556.0000000000
4 -1508.0000000000
5 -1196.0000000000
12 -874.0000000000
18 -865.0000000000
62 -738.0000000000
153 -690.0000000000
167 -622.0000000000
195 -612.0000000000
213 -486.0000000000
276 -476.0000000000
284 -419.0000000000
331 -349.0000000000
356 -302.0000000000
369 -292.0000000000
385 -282.0000000000
414 -244.0000000000
438 -176.0000000000
463 -167.0000000000
508 -156.0000000000
540 -146.0000000000
544 -108.0000000000
564 -99.0000000000
589 -89.0000000000
655 -80.0000000000
703 -71.0000000000
719 -62.0000000000
743 -61.0000000000
754 -51.0000000000
780 -41.0000000000
797 -32.0000000000
821 -23.0000000000
874 -13.0000000000
888 -4.0000000000
947 5.0000000000
1028 6.0000000000
1124 7.0000000000
1741 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1507.0000000000
2 -1430.0000000000
5 -1381.0000000000
6 -1342.0000000000
9 -1147.0000000000
17 -1108.0000000000
29 -1030.0000000000
43 -1020.0000000000
64 -1011.0000000000
75 -923.0000000000
88 -796.0000000000
110 -777.0000000000
114 -660.0000000000
186 -631.0000000000
195 -582.0000000000
213 -514.0000000000
278 -475.0000000000
308 -465.0000000000
309 -447.0000000000
323 -446.0000000000
335 -426.0000000000
361 -407.0000000000
384 -290.0000000000
426 -271.0000000000
439 -232.0000000000
452 -222.0000000000
476 -203.0000000000
484 -193.0000000000
486 -155.0000000000
563 -145.0000000000
567 -136.0000000000
609 -116.0000000000
631 -97.0000000000
711 -96.0000000000
720 -88.0000000000
739 -58.0000000000
793 -39.0000000000
826 -2.0000000000
938 -1.0000000000
1187 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1653.0000000000
2 -1614.0000000000
4 -1361.0000000000
7 -1303.0000000000
8 -1225.0000000000
15 -1108.0000000000
24 -991.0000000000
37 -797.0000000000
91 -631.0000000000
186 -622.0000000000
215 -505.0000000000
252 -486.0000000000
273 -485.0000000000
290 -475.0000000000
292 -427.0000000000
319 -418.0000000000
322 -399.0000000000
345 -369.0000000000
364 -331.0000000000
392 -302.0000000000
433 -195.0000000000
489 -186.0000000000
526 -158.0000000000
563 -138.0000000000
576 -129.0000000000
611 -109.0000000000
623 -108.0000000000
670 -90.0000000000
761 -52.0000000000
867 -51.0000000000
929 -50.0000000000
972 -43.0000000000
978 -42.0000000000
1012 -13.0000000000
1138 -4.0000000000
1157 -3.0000000000
1228 -2.0000000000
1357 7.0000000000
1518 8.0000000000
100000 -69.0000000000
evaluations raw_y
1 -1390.0000000000
2 -1284.0000000000
5 -1206.0000000000
23 -1147.0000000000
37 -1010.0000000000
47 -894.0000000000
69 -875.0000000000
71 -806.0000000000
114 -700.0000000000
160 -544.0000000000
219 -485.0000000000
272 -477.0000000000
274 -466.0000000000
278 -427.0000000000
284 -389.0000000000
301 -369.0000000000
318 -349.0000000000
320 -321.0000000000
349 -292.0000000000
365 -244.0000000000
403 -157.0000000000
498 -148.0000000000
502 -119.0000000000
506 -90.0000000000
544 -80.0000000000
570 -72.0000000000
613 -33.0000000000
763 -14.0000000000
798 -13.0000000000
886 -12.0000000000
1047 -3.0000000000
1071 6.0000000000
1437 7.0000000000
1668 8.0000000000
1893 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1157.0000000000
2 -1040.0000000000
13 -816.0000000000
66 -729.0000000000
154 -728.0000000000
163 -602.0000000000
169 -583.0000000000
203 -574.0000000000
231 -515.0000000000
250 -496.0000000000
257 -487.0000000000
263 -427.0000000000
287 -196.0000000000
