evaluations raw_y
1 -0.5205880689
2 -0.4908676900
5 -0.4578543377
33 -0.4458128860
51 -0.4388425083
75 -0.4366133846
101 -0.4333857301
118 -0.4213937887
134 -0.4012964954
187 -0.3963107133
199 -0.3878926123
229 -0.3834134813
242 -0.3736986853
286 -0.3596467906
359 -0.3593150708
372 -0.3520394406
427 -0.3499897305
438 -0.3468358174
449 -0.3466076610
494 -0.3405702477
539 -0.3400522193
549 -0.3395612359
559 -0.3363642467
568 -0.3342847102
581 -0.3315648029
641 -0.3276729786
706 -0.3270057959
751 -0.3266639668
757 -0.3225807473
787 -0.3191011928
911 -0.3178709026
987 -0.3160679502
1107 -0.3145939557
1125 -0.3137601998
1244 -0.3122862052
1420 -0.3116269940
1440 -0.3112851648
1593 -0.3110782553
1706 -0.3105441475
1726 -0.3103372379
1734 -0.3084251857
1753 -0.3053757711
1804 -0.3049765829
1824 -0.3046347537
2560 -0.3042201084
5559 -0.3027960688
5653 -0.3023814234
11884 -0.3022636159
46586 -0.2999783178
46659 -0.2987858876
84846 -0.2974256900
84897 -0.2943244242
84929 -0.2920664943
100000 -0.2920664943
evaluations raw_y
1 -0.5346039881
2 -0.5027565245
4 -0.4750798388
32 -0.4700258985
73 -0.4541728315
77 -0.4453540744
87 -0.4410167395
151 -0.4326240792
183 -0.4274410518
209 -0.4270727756
219 -0.4243801937
234 -0.4234031250
239 -0.4213396552
242 -0.4062970208
266 -0.3992738882
289 -0.3955446453
298 -0.3883143681
337 -0.3818423607
338 -0.3803466427
370 -0.3792771118
377 -0.3789182683
402 -0.3702333905
406 -0.3602544756
481 -0.3571232909
537 -0.3532499942
558 -0.3523131752
572 -0.3518745981
629 -0.3500728987
640 -0.3492204681
651 -0.3486505841
670 -0.3477464735
734 -0.3472663535
764 -0.3471765896
773 -0.3470054561
782 -0.3467685552
787 -0.3445140396
827 -0.3441645587
833 -0.3440339196
857 -0.3426430203
906 -0.3420731364
909 -0.3384414367
1000 -0.3378248545
1020 -0.3377677917
1031 -0.3340762510
1071 -0.3334596688
1100 -0.3328459608
1116 -0.3327094986
1140 -0.3263970589
1150 -0.3257804766
1183 -0.3245501865
1244 -0.3226179710
1308 -0.3221378510
1375 -0.3213968336
1423 -0.3200073380
1436 -0.3182427643
1464 -0.3164398119
1509 -0.3156987946
1526 -0.3151289106
1576 -0.3149059618
1646 -0.3141278702
1704 -0.3133417111
1712 -0.3124296388
1721 -0.3106875811
1763 -0.3094267850
2243 -0.3093697222
3097 -0.3054916497
14076 -0.3025433926
36663 -0.3019145028
37236 -0.3005885049
57891 -0.2989999035
58290 -0.2988734981
58590 -0.2935538622
100000 -0.3127024638
evaluations raw_y
1 -0.4974929386
2 -0.4919101108
3 -0.4857727393
12 -0.4754009870
15 -0.4657815992
17 -0.4488108315
84 -0.4294488446
103 -0.4054851017
141 -0.3994765725
181 -0.3968046881
220 -0.3843919728
222 -0.3785654764
287 -0.3659083375
389 -0.3647642430
392 -0.3612554781
394 -0.3571938041
431 -0.3562329343
453 -0.3549674578
455 -0.3543468564
463 -0.3498752779
499 -0.3404675079
541 -0.3391295173
551 -0.3377562738
573 -0.3377241392
582 -0.3367789642
591 -0.3363894464
606 -0.3334552276
609 -0.3318867577
627 -0.3284521382
683 -0.3276502972
706 -0.3245818311
736 -0.3232342192
744 -0.3227624843
814 -0.3227540992
833 -0.3197786848
839 -0.3189768438
896 -0.3189684587
940 -0.3180488489
995 -0.3168564188
1072 -0.3168480336
1109 -0.3156801336
1112 -0.3145533975
1116 -0.3137515565
1140 -0.3130392464
1156 -0.3125591264
1157 -0.3125507412
1205 -0.3115093229
1229 -0.3080484295
1279 -0.3076465292
1289 -0.3067546094
1307 -0.3049516570
1331 -0.3048707753
1416 -0.3027287936
1417 -0.3025913268
1479 -0.3004493452
1591 -0.3001177712
1687 -0.2997532944
1712 -0.2994217204
1760 -0.2979001820
1863 -0.2972835997
3915 -0.2957683394
10559 -0.2928200823
100000 -0.2951278327
evaluations raw_y
1 -0.5540478414
2 -0.5079368586
4 -0.4867271643
5 -0.4559142043
30 -0.4551035438
52 -0.4491695468
73 -0.4334676240
164 -0.4330575973
167 -0.4284690570
181 -0.4267453608
194 -0.4000611104
269 -0.3999650832
283 -0.3984975723
296 -0.3825450657
375 -0.3733350449
398 -0.3620257063
479 -0.3616446696
487 -0.3600555173
511 -0.3508705839
598 -0.3507441784
626 -0.3502691551
662 -0.3428486741
699 -0.3393563430
763 -0.3391270152
794 -0.3386519919
819 -0.3365794530
873 -0.3363725435
917 -0.3337840596
920 -0.3331391639
939 -0.3273996375
1072 -0.3271927280
1101 -0.3271843428
1138 -0.3264517106
1149 -0.3264433255
1161 -0.3261833025
1201 -0.3204943647
1230 -0.3204859796
1282 -0.3194849392
1377 -0.3187439219
1396 -0.3173429576
1412 -0.3168964553
1483 -0.3150144967
1495 -0.3147544737
1510 -0.3111939712
1574 -0.3104529538
1839 -0.3103265483
1877 -0.3076724183
1971 -0.3057930717
2007 -0.3023527825
2416 -0.3016567317
3050 -0.2995147501
3212 -0.2988981678
8792 -0.2970594829
10229 -0.2935817546
27855 -0.2920664943
100000 -0.2993489768
evaluations raw_y
1 -0.5284247394
2 -0.5209517937
3 -0.5145436198
