evaluations raw_y
1 1.4132278123
24 1.4180374362
28 1.8076644975
60 1.8208302986
61 1.8670649739
63 1.9700551615
67 2.0112630732
74 2.1385799829
78 2.1496130696
80 2.1682567216
83 2.2026431718
104 2.2789425706
144 2.2831050228
178 2.3562676720
211 2.3607176582
251 2.6455026455
287 2.6511134677
326 3.1367628607
18722 3.2509752926
45407 3.3377837116
45516 3.3829499323
45601 3.4293552812
45654 3.4578146611
45662 3.4867503487
45843 3.5561877667
45943 3.7147102526
46069 3.7593984962
46070 3.8402457757
46334 3.9001560062
46886 3.9872408293
100000 2.9103608847
evaluations raw_y
1 0.9574875527
2 1.4526438117
26 1.7349063151
42 1.8726591760
52 1.9069412662
72 1.9334880124
86 1.9731649566
87 2.0955574183
91 2.0990764064
113 2.2956841139
135 2.2999080037
152 2.3041474654
168 2.3299161230
173 2.3386342376
182 2.4342745862
183 2.5484199796
215 2.6511134677
228 2.6795284030
250 2.8968713789
253 3.0303030303
366 3.0376670717
472 3.1055900621
10312 3.3467202142
18496 3.3829499323
28762 3.4199726402
28930 3.5063113604
29013 3.5765379113
100000 2.9446407538
evaluations raw_y
1 1.4376078206
15 1.4731879788
16 1.4907573047
27 1.5634771732
31 1.7158544955
70 1.7373175817
75 1.7470300489
102 1.8477457502
105 1.8642803878
108 2.0048115477
120 2.0145044319
135 2.0475020475
146 2.3969319271
164 2.4390243902
179 2.5227043391
193 2.5799793602
224 2.7563395810
251 2.8506271380
295 2.9515938607
314 3.1055900621
430 3.2765399738
515 3.4106412005
805 3.6390101892
854 3.8051750381
1039 3.8167938931
1048 3.8402457757
1126 3.8520801233
1520 3.8639876352
1669 4.0000000000
1726 4.0650406504
2102 4.1050903120
2412 4.3478260870
100000 3.3738191633
evaluations raw_y
1 1.0275380189
2 1.8261504748
42 1.8368846436
45 1.8982536067
52 2.0920502092
53 2.1910604733
69 2.2956841139
86 2.3430178069
91 2.3741690408
93 2.5278058645
108 2.9308323564
125 3.1133250311
158 3.2175032175
239 3.3288948069
318 3.4293552812
40754 3.6710719530
55669 3.6818851252
100000 3.6818851252
evaluations raw_y
1 0.8098477486
2 0.9784735812
5 0.9980039920
9 1.2933264356
13 1.4509576320
26 1.5015015015
50 1.5479876161
60 1.7135023989
63 1.7844396859
96 1.8341892883
124 1.8504811251
125 1.8642803878
128 1.8867924528
132 1.9011406844
137 2.0016012810
186 2.0920502092
225 2.1026072330
241 2.1132713440
257 2.2026431718
263 2.3923444976
270 2.4154589372
286 2.4295432459
288 2.6399155227
372 2.8121484814
440 2.9103608847
502 2.9171528588
599 3.2258064516
700 3.2851511170
827 3.2938076416
1061 3.3025099075
1074 3.6390101892
1305 3.7593984962
1446 3.8402457757
1475 3.8759689922
100000 3.8759689922
evaluations raw_y
1 1.1096316023
2 1.3347570742
11 1.4459224986
14 1.6329196604
17 1.6523463318
23 1.6789791807
39 1.6949152542
45 1.7470300489
56 1.8670649739
66 1.8811136193
76 1.8982536067
86 1.9334880124
88 2.1312872975
107 2.2999080037
137 2.3169601483
144 2.4485798237
152 2.4533856722
187 2.4826216485
190 2.7144408252
193 2.7870680045
211 2.9655990510
283 2.9726516052
352 3.0376670717
361 3.1210986267
394 3.2092426187
428 3.2258064516
442 3.2341526520
740 3.2425421530
960 3.3377837116
1021 3.5765379113
7693 3.6496350365
8112 3.7037037037
12056 3.7707390649
12189 3.7821482602
100000 2.8248587571
evaluations raw_y
1 0.9221689414
2 0.9701202949
3 1.0535187526
4 1.1286681716
7 1.3262599469
9 1.3419216318
11 1.3491635186
13 1.5752993069
28 1.6371971185
33 1.8726591760
48 1.9638648861
70 2.1496130696
78 2.3832221163
113 2.4925224327
145 2.5278058645
154 2.5746652935
245 2.6343519494
320 2.6511134677
383 2.6795284030
432 2.8571428571
533 3.1367628607
592 3.1446540881
714 3.2175032175
997 3.2258064516
1038 3.2509752926
1072 3.3288948069
1167 3.4293552812
1196 3.6390101892
17128 3.7147102526
17140 3.9370078740
17298 4.0257648953
100000 3.2258064516
evaluations raw_y
1 1.1956001913
2 1.2141816416
7 1.7229496899
40 1.8559762435
62 1.8867924528
87 2.0308692120
93 2.0475020475
110 2.1132713440
128 2.1987686895
138 2.2583559169
146 2.3474178404
166 2.4342745862
250 2.5278058645
279 2.6068821689
305 2.7502750275
318 2.8058361392
363 2.8121484814
366 2.9308323564
401 3.0376670717
450 3.0599755202
495 3.1928480204
506 3.3738191633
797 3.4578146611
4110 3.4965034965
5385 3.6710719530
5878 3.8880248834
6355 3.9246467818
23237 4.0257648953
100000 2.7203482046
evaluations raw_y
1 1.0429703796
2 1.0482180294
7 1.2309207287
14 1.5422578655
45 1.6479894529
61 1.6949152542
65 1.8155410312
69 1.8288222385
102 1.8642803878
126 1.8953752843
144 1.9098548510
154 2.0408163265
210 2.0508613618
219 2.2065313327
223 2.3651844844
230 2.4437927664
261 2.4777006938
292 2.5025025025
322 2.8376844495
526 3.1367628607
1570 3.1525851198
1597 3.3112582781
1718 3.6075036075
1939 3.6927621861
1942 3.7037037037
2380 4.0518638574
2624 4.3177892919
17786 4.4404973357
18412 4.4563279857
18497 4.4722719141
22343 4.5372050817
56413 4.5703839122
100000 4.5703839122
evaluations raw_y
1 0.5667649059
2 1.2118274358
10 1.2236906510
19 1.3774104683
32 1.5499070056
40 1.6789791807
51 1.6926201760
58 1.7494751575
63 1.8726591760
95 2.0145044319
109 2.0177562550
110 2.0781379884
115 2.0815986678
117 2.1240441801
119 2.1910604733
123 2.2999080037
197 2.5588536336
240 2.5853154085
256 2.6680896478
272 2.8312570781
566 2.9585798817
987 3.2258064516
1065 3.2851511170
1093 3.4965034965
11950 3.6179450072
100000 3.6179450072
