evaluations raw_y
1 -0.5118795512
5 -0.4984456985
11 -0.4879217932
18 -0.4813218977
21 -0.4708606474
37 -0.4703606161
38 -0.4619727562
44 -0.4558998873
55 -0.4401715937
63 -0.4363652976
70 -0.4336381906
72 -0.4246274686
81 -0.4238256276
86 -0.4171353132
101 -0.4162073183
102 -0.4142773193
120 -0.4130100584
128 -0.4109470255
134 -0.4083849503
145 -0.4035734188
157 -0.4026454239
180 -0.3958036406
200 -0.3919242115
211 -0.3889643491
217 -0.3831648297
226 -0.3778870936
228 -0.3732465311
249 -0.3726299489
280 -0.3702676023
293 -0.3696510200
303 -0.3663163110
309 -0.3608798776
310 -0.3591218134
319 -0.3574395884
321 -0.3528938303
329 -0.3486095764
338 -0.3479929942
430 -0.3464620177
436 -0.3444851855
441 -0.3410448963
452 -0.3404750124
480 -0.3357386190
483 -0.3356000061
484 -0.3344160761
486 -0.3326621945
488 -0.3302286016
493 -0.3267646175
528 -0.3255721874
548 -0.3247703464
561 -0.3210582998
582 -0.3195899824
599 -0.3162552734
687 -0.3159312351
797 -0.3149222233
891 -0.3111581303
965 -0.3099278401
1707 -0.3098372330
1717 -0.3095131948
2399 -0.3087508970
4736 -0.3086330895
10987 -0.3065728206
16586 -0.3047341357
23354 -0.3017858785
57999 -0.3004256809
58094 -0.2950664852
100000 -0.2953980592
evaluations raw_y
1 -0.4878280678
3 -0.4875101212
8 -0.4834629687
9 -0.4697460134
23 -0.4624906773
32 -0.4349556060
36 -0.4328063489
43 -0.4319446124
50 -0.4296176349
52 -0.4194731835
57 -0.4181145867
63 -0.4179843222
64 -0.4176395634
65 -0.4130073638
82 -0.4070387872
96 -0.4014008576
104 -0.3999589491
120 -0.3992660978
125 -0.3901755999
128 -0.3856617123
132 -0.3822027848
141 -0.3807608762
144 -0.3783824261
156 -0.3781134391
161 -0.3766715306
172 -0.3766144678
183 -0.3738294645
205 -0.3738210794
219 -0.3707997874
222 -0.3679648260
225 -0.3632988015
241 -0.3609384714
243 -0.3548736058
293 -0.3544510995
312 -0.3532105659
323 -0.3436906150
330 -0.3414311555
332 -0.3383817391
371 -0.3318564688
385 -0.3306261787
409 -0.3283667191
419 -0.3244739075
431 -0.3200912979
476 -0.3180979782
527 -0.3178318383
554 -0.3124036507
569 -0.3116626333
573 -0.3083383858
587 -0.3075973684
660 -0.3057263492
882 -0.3053922540
886 -0.3035212347
1018 -0.3028676697
23608 -0.3015416718
28137 -0.2985934146
37555 -0.2950691225
65961 -0.2935538622
100000 -0.2935538622
evaluations raw_y
1 -0.5147865431
2 -0.5041738257
4 -0.4836776372
5 -0.4478879419
24 -0.4451229998
26 -0.4369718299
30 -0.4291524980
40 -0.4237014259
50 -0.4143921337
64 -0.4125891813
65 -0.4090596079
68 -0.4085239164
73 -0.4067726129
87 -0.4041410825
88 -0.4018717768
94 -0.3969479706
103 -0.3946685222
118 -0.3882168909
138 -0.3777549582
147 -0.3726054805
153 -0.3656659669
168 -0.3595692199
173 -0.3591713938
179 -0.3533693272
186 -0.3516584317
196 -0.3475752123
209 -0.3443170851
224 -0.3441906796
232 -0.3420093346
248 -0.3403613908
253 -0.3382298663
267 -0.3347471898
271 -0.3338028714
344 -0.3303401127
351 -0.3290793167
411 -0.3288724072
474 -0.3274678417
480 -0.3240275525
509 -0.3219743550
510 -0.3202634595
549 -0.3153019927
584 -0.3145609754
714 -0.3135599350
742 -0.3134335295
765 -0.3081138937
827 -0.3076337737
850 -0.3068836035
852 -0.3064034835
7826 -0.3048882232
8900 -0.3035280256
9001 -0.2981688299
9143 -0.2962978106
11597 -0.2928200823
100000 -0.2928200823
evaluations raw_y
1 -0.5495082870
2 -0.4931763252
3 -0.4832099324
7 -0.4622899008
19 -0.4536823886
20 -0.4516023187
24 -0.4468925042
32 -0.4421098225
38 -0.4286274506
51 -0.4139977015
63 -0.4133883885
69 -0.4115869348
82 -0.3948565968
109 -0.3922250664
132 -0.3871625392
147 -0.3794833470
154 -0.3789134631
163 -0.3769680719
179 -0.3730207646
193 -0.3724910219
199 -0.3702206933
205 -0.3697692806
211 -0.3690282632
231 -0.3677877296
242 -0.3603948290
277 -0.3599550998
278 -0.3580322081
279 -0.3517739567
286 -0.3510935608
294 -0.3494113358
309 -0.3470510056
342 -0.3432869127
354 -0.3429628744
367 -0.3429058116
392 -0.3383919240
412 -0.3362499424
446 -0.3359600040
460 -0.3351977063
483 -0.3339571726
485 -0.3326092224
507 -0.3318890881
536 -0.3304150936
592 -0.3271648727
609 -0.3248571223
612 -0.3245107427
613 -0.3222029923
713 -0.3133237979
767 -0.3131915371
796 -0.3124954863
833 -0.3091701289
1363 -0.3086900089
1641 -0.3074494752
1823 -0.3068328930
3440 -0.3033551647
7203 -0.3027146580
7230 -0.3004069076
100000 -0.3004069076
evaluations raw_y
1 -0.5331225394
3 -0.4914575438
7 -0.4732077113
14 -0.4601341408
27 -0.4468419704
34 -0.4393051402
41 -0.4344459578
46 -0.4282417991
50 -0.4254809881
54 -0.4225332958
56 -0.4193547554
58 -0.4160793834
72 -0.4135717405
75 -0.4057575614
103 -0.4042360230
107 -0.4039861824
109 -0.4003293738
113 -0.3988078354
114 -0.3967150493
115 -0.3940360841
121 -0.3893007478
128 -0.3881989851
129 -0.3852680332
150 -0.3829054123
177 -0.3766173600
185 -0.3744237839
189 -0.3720611631
211 -0.3631819687
225 -0.3597416795
252 -0.3592816676
257 -0.3589398385
288 -0.3547663187
299 -0.3506830993
302 -0.3483753488
307 -0.3475498613
310 -0.3418500786
331 -0.3399277262
369 -0.3332293629
394 -0.3291955953
400 -0.3287154753
431 -0.3286133728
438 -0.3253552456
470 -0.3235838666
743 -0.3181693551
752 -0.3169411894
759 -0.3117917117
763 -0.3108168875
770 -0.3095865973
1179 -0.3088006749
1516 -0.3075601413
2693 -0.3069435590
15459 -0.3054282987
23959 -0.3040681011
24419 -0.2987089054
29295 -0.2968702205
45958 -0.2933924922
62526 -0.2920664943
100000 -0.3032122832
evaluations raw_y
1 -0.5195555274
3 -0.5173713326
5 -0.5147329011
7 -0.4853949689
9 -0.4697226967
14 -0.4431768539
19 -0.4197023004
31 -0.4184266724
37 -0.4084844126
42 -0.4064548413
44 -0.4040451988
49 -0.3849897683
84 -0.3842937175
85 -0.3837973382
95 -0.3823356383
101 -0.3811432081
110 -0.3762117096
123 -0.3714451109
158 -0.3701705923
162 -0.3694379600
164 -0.3664148844
169 -0.3651762091
177 -0.3636546708
190 -0.3587743454
238 -0.3569381062
255 -0.3552272107
279 -0.3551701479
292 -0.3528631234
298 -0.3521670725
303 -0.3469932582
312 -0.3445721081
322 -0.3423669936
384 -0.3363214640
430 -0.3314206279
466 -0.3258752986
486 -0.3246347650
573 -0.3240181828
598 -0.3232771654
603 -0.3213548072
610 -0.3190953476
656 -0.3183543302
661 -0.3120893479
820 -0.3106153533
910 -0.3097870417
1003 -0.3090460244
1068 -0.3071750051
1749 -0.3044746151
1761 -0.3038580328
1766 -0.3032044677
1782 -0.2997267394
2117 -0.2997183543
7988 -0.2970240102
29078 -0.2963951205
31954 -0.2950691225
90562 -0.2935538622
100000 -0.2958616127
evaluations raw_y
1 -0.5162439004
2 -0.4988606725
4 -0.4933535441
5 -0.4820853886
12 -0.4767072565
22 -0.4531409255
37 -0.4476012607
50 -0.4472004467
58 -0.4465297970
61 -0.4461197065
66 -0.4438869287
68 -0.4420159094
70 -0.4411250054
72 -0.4360412338
75 -0.4340085962
79 -0.4132484934
84 -0.4132061841
86 -0.4116760960
94 -0.4105633157
100 -0.4068832841
103 -0.4020559401
124 -0.4019367253
126 -0.4017243661
134 -0.3966569982
136 -0.3963597009
139 -0.3961711321
142 -0.3877395245
143 -0.3849904069
164 -0.3842493896
185 -0.3806534000
186 -0.3791888094
195 -0.3787361363
201 -0.3763640986
210 -0.3688431250
216 -0.3591226881
242 -0.3568432397
245 -0.3514442978
262 -0.3495732785
268 -0.3461105198
286 -0.3453198236
291 -0.3435484446
304 -0.3400837413
317 -0.3397521673
