evaluations raw_y
1 -0.4835816192
6 -0.4776032145
10 -0.4736075948
12 -0.4685959672
15 -0.4647323594
20 -0.4577188363
23 -0.4514301378
24 -0.4477435791
28 -0.4471864283
30 -0.4455243241
31 -0.4443750756
34 -0.4409477910
39 -0.4395058825
53 -0.4338982975
66 -0.4305286746
70 -0.4299694161
71 -0.4269217512
73 -0.4230581434
75 -0.4226434980
79 -0.4164788362
86 -0.4117851696
91 -0.4064805629
106 -0.4050386544
114 -0.4043426036
126 -0.4001362590
134 -0.3885114315
139 -0.3817863944
146 -0.3805656025
164 -0.3750202732
174 -0.3692330047
175 -0.3657462044
178 -0.3653830571
182 -0.3554555036
206 -0.3550750142
220 -0.3516477296
250 -0.3471338420
276 -0.3464755874
295 -0.3464672023
309 -0.3460913670
311 -0.3443804715
315 -0.3442131442
330 -0.3428889404
339 -0.3418879001
362 -0.3356837414
433 -0.3349497472
477 -0.3344696272
484 -0.3314465516
491 -0.3308201192
537 -0.3254569697
597 -0.3208296883
607 -0.3172513950
631 -0.3165103777
664 -0.3160353543
699 -0.3153817892
776 -0.3127933054
783 -0.3104329752
786 -0.3077788452
826 -0.3074472711
1058 -0.3073902083
4510 -0.3055515234
17054 -0.3054337159
17224 -0.3000745201
34729 -0.2987485222
36638 -0.2958002651
100000 -0.3037301773
evaluations raw_y
1 -0.5091445446
3 -0.5085073470
8 -0.5038811522
9 -0.4922238756
11 -0.4914457840
12 -0.4832024816
15 -0.4760968141
16 -0.4691556007
20 -0.4684595499
22 -0.4662080319
23 -0.4532379577
29 -0.4525714813
38 -0.4502073940
42 -0.4483024065
45 -0.4400530264
46 -0.4366957065
51 -0.4354551729
52 -0.4300535327
55 -0.4294369505
57 -0.4204946052
66 -0.4156979220
75 -0.4127974732
88 -0.4098416397
90 -0.4033886028
92 -0.4029877887
94 -0.3966185306
95 -0.3931556055
103 -0.3895773122
109 -0.3876213593
115 -0.3861473647
117 -0.3846258263
133 -0.3753045070
150 -0.3744419960
157 -0.3720793751
168 -0.3698742607
185 -0.3698658756
193 -0.3650210209
208 -0.3592080776
210 -0.3530518010
215 -0.3492720539
238 -0.3489302248
239 -0.3448649599
241 -0.3436346698
244 -0.3373466175
280 -0.3373382323
314 -0.3363200223
315 -0.3360193361
385 -0.3348957691
424 -0.3336552354
446 -0.3324021319
461 -0.3297616059
527 -0.3285691758
553 -0.3279525935
672 -0.3267223034
777 -0.3265792841
790 -0.3261646387
920 -0.3260801505
1072 -0.3255418656
1329 -0.3238309701
1376 -0.3233100497
1418 -0.3228299297
2747 -0.3214697321
4287 -0.3190573966
4600 -0.3133593576
4654 -0.3117707561
4760 -0.3116443507
5206 -0.3063247149
23481 -0.3062069073
23784 -0.3033452627
23844 -0.3021149725
24699 -0.3008477116
33199 -0.2999307757
33489 -0.2997322513
33493 -0.2997238661
33681 -0.2940213820
34493 -0.2939623761
34660 -0.2933924922
67478 -0.2920664943
100000 -0.3009456886
evaluations raw_y
1 -0.5616896867
5 -0.5488834057
7 -0.5437250270
8 -0.5337249561
9 -0.5296570324
12 -0.5236159152
22 -0.5127982150
29 -0.5124462455
30 -0.5094532638
35 -0.5069456209
36 -0.5027392763
37 -0.4963616330
39 -0.4863152478
41 -0.4837702484
48 -0.4783472061
54 -0.4505989647
55 -0.4505905796
60 -0.4472854732
62 -0.4449251430
63 -0.4400013369
69 -0.4329005909
72 -0.4286670756
74 -0.4227399607
81 -0.4191418902
83 -0.4164877601
100 -0.4118615654
103 -0.4114218361
107 -0.4107257853
126 -0.4029627560
143 -0.4017019600
158 -0.3989992047
168 -0.3963092229
169 -0.3883203473
186 -0.3821161886
190 -0.3820205761
194 -0.3818941706
200 -0.3769933345
207 -0.3739083534
219 -0.3635146450
228 -0.3608831147
251 -0.3574428255
257 -0.3499049238
266 -0.3445852880
316 -0.3424627555
328 -0.3408428440
334 -0.3381794684
402 -0.3336655808
404 -0.3279675417
443 -0.3201547239
455 -0.3197322176
517 -0.3143040300
569 -0.3100067376
591 -0.3093901554
763 -0.3017109632
928 -0.3009091222
1132 -0.3001681048
1254 -0.2982970856
76938 -0.2981792780
76976 -0.2928200823
100000 -0.3003579840
evaluations raw_y
1 -0.4937711469
5 -0.4920450740
9 -0.4817227449
14 -0.4739099270
21 -0.4736842555
22 -0.4637567021
23 -0.4592428145
26 -0.4525436696
34 -0.4523786255
39 -0.4469523525
43 -0.4449830114
47 -0.4316574575
49 -0.4290689736
51 -0.4259380894
64 -0.4232718061
70 -0.4176423597
79 -0.4112710303
85 -0.4023609107
88 -0.4008393723
99 -0.3944638306
101 -0.3936460927
117 -0.3871208224
122 -0.3810240755
128 -0.3779313684
145 -0.3768092842
152 -0.3741551542
154 -0.3687269665
166 -0.3607305336
177 -0.3572434760
188 -0.3499609935
196 -0.3477558791
231 -0.3435836961
243 -0.3419024184
259 -0.3400313991
261 -0.3389834379
304 -0.3384414593
309 -0.3351912385
310 -0.3333202193
316 -0.3328400992
332 -0.3293605447
424 -0.3270810963
426 -0.3239995604
451 -0.3200710524
461 -0.3177916040
492 -0.3173165806
516 -0.3155452016
529 -0.3149753177
616 -0.3119823360
675 -0.3117053006
759 -0.3113488445
766 -0.3113404594
778 -0.3087783842
1064 -0.3075859541
1075 -0.3053236371
1077 -0.3045826197
1260 -0.3020205445
1379 -0.2994320606
1380 -0.2989519406
1582 -0.2962978106
43358 -0.2928200823
100000 -0.2928200823
evaluations raw_y
1 -0.5019273890
2 -0.4958862717
3 -0.4946254757
10 -0.4943387383
16 -0.4908476520
19 -0.4904996950
20 -0.4892591613
26 -0.4870573426
29 -0.4784301366
41 -0.4778135544
49 -0.4734699631
54 -0.4711905147
58 -0.4641238450
63 -0.4614697150
67 -0.4601961339
75 -0.4513078201
81 -0.4511156387
84 -0.4506355187
85 -0.4491434907
87 -0.4483653992
99 -0.4440410069
101 -0.4423301114
105 -0.4419985374
106 -0.4369292705
114 -0.4214370487
116 -0.4124576293
119 -0.4055164159
120 -0.3968829817
128 -0.3954089871
134 -0.3885328418
135 -0.3867003165
140 -0.3834495414
145 -0.3833248328
155 -0.3786896840
159 -0.3786005300
177 -0.3732413342
184 -0.3584611515
197 -0.3538306694
207 -0.3530896520
208 -0.3527468662
219 -0.3520886117
228 -0.3456369803
273 -0.3412717946
292 -0.3358810122
321 -0.3315592806
373 -0.3270453930
383 -0.3212240682
501 -0.3200316381
543 -0.3194933531
714 -0.3171330230
719 -0.3154221275
792 -0.3131143770
833 -0.3121133367
1837 -0.3085890446
2349 -0.3075126574
2399 -0.3067503597
10521 -0.3021011279
36340 -0.3005125265
36684 -0.3003861210
36788 -0.2950664852
100000 -0.2993637776
evaluations raw_y
1 -0.4961735251
7 -0.4915570620
12 -0.4914191595
13 -0.4865055901
15 -0.4841452600
21 -0.4803548280
29 -0.4751964492
30 -0.4712877847
31 -0.4606915710
36 -0.4566791181
37 -0.4563550799
40 -0.4547480044
48 -0.4529450519
52 -0.4472791184
55 -0.4465381010
60 -0.4450165627
64 -0.4404636836
66 -0.4386307269
71 -0.4371567323
73 -0.4323452009
76 -0.4304266897
89 -0.4296643919
98 -0.4292890161
103 -0.4275300375
106 -0.4259990610
108 -0.4231469038
117 -0.4170585451
118 -0.4146206924
136 -0.4142788633
145 -0.4120209334
155 -0.4118608096
162 -0.4115491347
164 -0.4102457840
168 -0.4102373988
185 -0.4001772940
186 -0.3898822858
189 -0.3872160025
213 -0.3870895970
215 -0.3823691898
234 -0.3798401563
247 -0.3774760461
248 -0.3707335515
253 -0.3668542784
254 -0.3619002898
270 -0.3607078597
272 -0.3524954296
305 -0.3524652780
312 -0.3514186737
314 -0.3465738190
323 -0.3463816376
333 -0.3457151612
358 -0.3451452773
380 -0.3371488443
409 -0.3353458919
422 -0.3336349964
482 -0.3315222455
483 -0.3281949675
495 -0.3271939271
503 -0.3265062615
542 -0.3264982900
555 -0.3252679998
589 -0.3242669594
638 -0.3189473236
712 -0.3189389385
762 -0.3162848084
1371 -0.3161670009
6098 -0.3144922251
6210 -0.3139565336
6384 -0.3126892726
8417 -0.3106290038
11462 -0.3076807466
17167 -0.3075908751
17854 -0.3068948242
34581 -0.3042004802
48388 -0.3023617953
65546 -0.3017329055
87924 -0.3004069076
100000 -0.3238787536
evaluations raw_y
1 -0.4995509006
6 -0.4995217752
8 -0.4873865395
9 -0.4858630408
13 -0.4798219235
17 -0.4768554968
19 -0.4748529320
22 -0.4700795445
27 -0.4581616742
30 -0.4579547646
32 -0.4452172028
34 -0.4448898177
37 -0.4443496066
38 -0.4408868479
41 -0.4382553175
43 -0.4358926966
54 -0.4325897295
57 -0.4228692927
61 -0.4202808088
63 -0.4176266788
71 -0.4117385411
87 -0.4080519824
90 -0.4039790383
93 -0.3898948055
99 -0.3839984251
100 -0.3837915155
103 -0.3799952382
106 -0.3749073500
112 -0.3686552434
119 -0.3609760513
128 -0.3604463086
130 -0.3530197596
153 -0.3496850506
187 -0.3453633190
190 -0.3436524235
210 -0.3433822431
270 -0.3426199453
271 -0.3324428307
318 -0.3318729468
349 -0.3308719064
352 -0.3300938148
487 -0.3283959636
562 -0.3271351676
612 -0.3254820780
627 -0.3254736928
652 -0.3243218274
657 -0.3233207870
723 -0.3185710351
753 -0.3146863546
888 -0.3139453372
937 -0.3133754533
1055 -0.3104310806
1079 -0.3037407662
7910 -0.3031202616
7916 -0.3031118765
42585 -0.3017858785
43444 -0.3004256809
43795 -0.2950664852
100000 -0.3133920432
evaluations raw_y
1 -0.5162563399
2 -0.5003587899
7 -0.4926795977
8 -0.4838451785
9 -0.4797722344
10 -0.4703884371
13 -0.4669611524
15 -0.4608496490
16 -0.4585081936
21 -0.4550286390
24 -0.4493782696
27 -0.4457500279
34 -0.4445920016
38 -0.4425052708
39 -0.4365979112
40 -0.4357354002
56 -0.4343884594
59 -0.4295769280
63 -0.4230435248
65 -0.4217904213
74 -0.4194733755
90 -0.4192916101
92 -0.4037993884
94 -0.4033243651
99 -0.3983711026
111 -0.3941628781
130 -0.3919010914
135 -0.3901901959
154 -0.3895070926
157 -0.3851467766
161 -0.3851279019
167 -0.3841268615
168 -0.3767498442
174 -0.3732723528
176 -0.3729606778
214 -0.3682068869
228 -0.3662992298
230 -0.3606011908
251 -0.3593606572
263 -0.3588456952
