evaluations raw_y
1 2753.0000000000
5 2778.0000000000
14 2813.0000000000
22 2868.0000000000
24 2890.0000000000
25 2900.0000000000
26 2923.0000000000
28 2943.0000000000
34 2971.0000000000
38 3033.0000000000
39 3086.0000000000
42 3181.0000000000
45 3187.0000000000
54 3200.0000000000
59 3216.0000000000
61 3245.0000000000
63 3290.0000000000
64 3326.0000000000
70 3340.0000000000
71 3365.0000000000
86 3451.0000000000
94 3463.0000000000
103 3557.0000000000
121 3604.0000000000
124 3697.0000000000
127 3746.0000000000
133 3795.0000000000
135 3844.0000000000
138 3847.0000000000
139 3853.0000000000
142 3882.0000000000
150 3960.0000000000
169 3989.0000000000
173 4011.0000000000
175 4035.0000000000
181 4070.0000000000
184 4093.0000000000
194 4113.0000000000
200 4146.0000000000
221 4196.0000000000
226 4243.0000000000
230 4271.0000000000
256 4309.0000000000
260 4407.0000000000
303 4423.0000000000
318 4435.0000000000
326 4472.0000000000
353 4497.0000000000
357 4509.0000000000
366 4518.0000000000
374 4550.0000000000
388 4569.0000000000
402 4608.0000000000
422 4611.0000000000
423 4612.0000000000
451 4616.0000000000
501 4669.0000000000
518 4741.0000000000
524 4770.0000000000
537 4772.0000000000
550 4798.0000000000
564 4834.0000000000
601 4851.0000000000
699 4884.0000000000
706 4906.0000000000
727 4929.0000000000
856 4969.0000000000
871 5001.0000000000
995 5007.0000000000
1050 5031.0000000000
1060 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2892.0000000000
2 2930.0000000000
7 3010.0000000000
8 3035.0000000000
12 3078.0000000000
17 3139.0000000000
19 3184.0000000000
31 3226.0000000000
36 3307.0000000000
38 3336.0000000000
41 3376.0000000000
42 3472.0000000000
44 3478.0000000000
45 3528.0000000000
46 3583.0000000000
50 3669.0000000000
54 3705.0000000000
55 3742.0000000000
62 3756.0000000000
69 3759.0000000000
80 3812.0000000000
112 3814.0000000000
114 3854.0000000000
122 3973.0000000000
126 3983.0000000000
142 4034.0000000000
145 4040.0000000000
146 4085.0000000000
147 4174.0000000000
150 4260.0000000000
157 4302.0000000000
162 4346.0000000000
174 4373.0000000000
179 4408.0000000000
190 4409.0000000000
205 4501.0000000000
211 4552.0000000000
213 4647.0000000000
224 4655.0000000000
238 4688.0000000000
240 4706.0000000000
242 4707.0000000000
282 4720.0000000000
283 4804.0000000000
335 4808.0000000000
342 4824.0000000000
350 4852.0000000000
369 4857.0000000000
415 4881.0000000000
435 4903.0000000000
462 4937.0000000000
615 4962.0000000000
844 4965.0000000000
871 4983.0000000000
1056 5050.0000000000
100000 4758.0000000000
evaluations raw_y
1 2602.0000000000
5 2695.0000000000
8 2728.0000000000
11 2754.0000000000
15 2818.0000000000
20 2910.0000000000
27 2945.0000000000
35 3073.0000000000
37 3086.0000000000
40 3092.0000000000
41 3119.0000000000
44 3143.0000000000
45 3240.0000000000
47 3266.0000000000
49 3276.0000000000
52 3343.0000000000
54 3363.0000000000
70 3369.0000000000
71 3420.0000000000
78 3436.0000000000
79 3440.0000000000
81 3489.0000000000
85 3548.0000000000
92 3593.0000000000
102 3668.0000000000
103 3738.0000000000
105 3759.0000000000
126 3784.0000000000
128 3785.0000000000
137 3796.0000000000
150 3835.0000000000
155 3839.0000000000
184 3897.0000000000
189 3929.0000000000
192 4015.0000000000
194 4053.0000000000
200 4113.0000000000
201 4127.0000000000
203 4186.0000000000
206 4191.0000000000
207 4205.0000000000
223 4215.0000000000
225 4252.0000000000
282 4296.0000000000
286 4377.0000000000
310 4405.0000000000
332 4439.0000000000
338 4531.0000000000
346 4538.0000000000
380 4564.0000000000
384 4599.0000000000
391 4655.0000000000
392 4658.0000000000
397 4701.0000000000
401 4751.0000000000
416 4769.0000000000
479 4856.0000000000
649 4897.0000000000
755 4906.0000000000
890 4969.0000000000
911 4996.0000000000
944 5030.0000000000
1293 5050.0000000000
100000 4875.0000000000
evaluations raw_y
1 2610.0000000000
3 2689.0000000000
18 2745.0000000000
20 2765.0000000000
21 2852.0000000000
25 2866.0000000000
27 2965.0000000000
48 2986.0000000000
52 3031.0000000000
53 3079.0000000000
