evaluations raw_y
1 0.9964129135
2 1.0224948875
4 1.3789299504
7 1.6223231668
39 1.8395879323
207 1.9455252918
279 2.1097046414
312 2.1422450728
342 2.2999080037
369 2.3696682464
387 2.3786869648
390 2.5278058645
440 2.6737967914
545 2.7382256298
723 3.2092426187
1015 3.3557046980
1082 3.4770514604
1364 3.6710719530
2382 3.7147102526
2517 3.7257824143
2774 3.7821482602
2990 3.9872408293
100000 3.1928480204
evaluations raw_y
1 0.9373828271
2 1.1076650421
3 1.2506253127
4 1.3192612137
7 1.5441630636
66 1.6015374760
74 1.8395879323
120 1.9425019425
247 2.0781379884
308 2.2301516503
326 2.2747952684
349 2.4295432459
527 2.6014568158
607 2.6968716289
674 2.7027027027
707 2.7685492802
772 2.8768699655
854 3.1055900621
887 3.2594524120
1013 3.2851511170
1020 3.3377837116
1063 3.3829499323
1255 3.5460992908
1428 3.5561877667
1623 3.5663338088
100000 1.8698578908
evaluations raw_y
1 0.9297136482
2 1.0989010989
3 1.2013455070
8 1.2177301510
9 1.2406947891
24 1.2419274714
27 1.4459224986
38 1.4819205691
100 1.6139444803
183 2.0508613618
398 2.0850708924
400 2.1496130696
404 2.1607605877
427 2.3084025854
539 2.3386342376
598 2.3786869648
610 2.4295432459
614 2.4437927664
689 2.4777006938
703 2.5176233635
709 2.5853154085
743 2.6014568158
750 2.7085590466
758 2.7322404372
784 2.9726516052
984 3.2258064516
1166 3.3921302578
1434 3.4770514604
1975 3.5663338088
31222 3.7037037037
31635 3.7147102526
43968 3.7593984962
100000 2.8312570781
evaluations raw_y
1 1.0447137484
2 1.1473152822
3 1.4526438117
43 1.4679976512
119 1.5615240475
177 1.5752993069
193 1.6926201760
252 1.7667844523
257 1.8953752843
304 1.9425019425
402 1.9700551615
408 2.0048115477
466 2.1276595745
521 2.2261798753
574 2.5278058645
632 2.8121484814
678 2.9377203290
774 3.1133250311
998 3.3025099075
1134 3.3467202142
1151 3.3829499323
1164 3.5260930889
1901 3.5765379113
1962 3.8759689922
2324 3.8880248834
25504 4.0387722132
100000 2.6511134677
evaluations raw_y
1 1.0761945760
2 1.3520822066
13 1.3653741125
20 1.7667844523
79 1.9215987702
276 1.9762845850
287 2.0242914980
301 2.0275750203
323 2.2706630336
332 2.2914757104
361 2.4485798237
382 2.7624309392
534 3.1289111389
896 3.1525851198
986 3.2679738562
1201 3.2851511170
1252 3.3467202142
1486 3.4106412005
1563 3.5161744023
1786 3.9123630673
71691 3.9370078740
71927 3.9745627981
100000 3.4770514604
evaluations raw_y
1 0.8443093549
3 1.1876484561
11 1.2083131948
12 1.3789299504
24 1.7111567420
136 1.7494751575
169 1.7642907551
173 1.7972681524
228 1.8050541516
246 1.9305019305
324 1.9334880124
353 2.0746887967
415 2.1349274125
417 2.2104332449
460 2.2143489814
462 2.6068821689
489 2.6455026455
515 2.7502750275
578 2.7563395810
779 2.8702640643
1209 3.0012004802
1319 3.0674846626
1369 3.1446540881
1412 3.2010243278
1482 3.2594524120
1623 3.3647375505
1799 3.5260930889
1828 3.6818851252
1831 3.7037037037
1928 3.7821482602
2510 3.8167938931
2901 3.8284839204
10169 3.9001560062
100000 3.9001560062
evaluations raw_y
1 1.0940919037
3 1.1027790031
7 1.2543903663
20 1.2748597654
23 1.3758943313
25 2.1422450728
252 2.1758050479
274 2.1987686895
288 2.2261798753
307 2.3786869648
328 2.3832221163
392 2.5125628141
436 2.5536261491
527 2.5799793602
543 2.5906735751
626 2.6737967914
833 2.7563395810
900 2.9308323564
1007 3.0156815440
1127 3.1766200762
1197 3.2851511170
1229 3.4578146611
1246 3.5063113604
9539 3.6179450072
9768 3.8520801233
10733 3.8759689922
11976 4.0000000000
100000 2.5176233635
evaluations raw_y
1 0.6806425265
2 0.7398638650
3 1.1753643630
4 1.3262599469
27 1.4889815366
41 1.7325017325
112 1.8839487566
282 1.8953752843
307 1.9888623707
314 2.2502250225
329 2.2624434389
452 2.2747952684
468 2.3342670401
504 2.3651844844
507 2.4295432459
527 2.4437927664
552 2.4875621891
577 2.6343519494
590 2.7085590466
623 2.7995520717
732 2.8571428571
807 2.9655990510
843 3.2679738562
848 3.2938076416
910 3.4578146611
1159 3.6710719530
1328 3.8880248834
40400 3.9619651347
63734 4.2301184433
64574 4.3029259897
65003 4.5045045045
100000 3.0674846626
evaluations raw_y
1 1.3234515617
6 1.3943112103
75 1.5654351910
118 1.6458196182
241 1.9127773527
324 1.9157088123
363 1.9334880124
369 1.9394879752
399 1.9700551615
435 1.9952114924
446 2.0341741253
452 2.1240441801
453 2.2706630336
548 2.3041474654
555 2.4154589372
694 2.5380710660
696 2.5799793602
803 2.9239766082
1019 3.0156815440
1046 3.1685678074
1093 3.3377837116
1108 3.4578146611
1264 3.7147102526
1533 3.7707390649
1543 3.9001560062
1661 4.1186161450
100000 4.1186161450
evaluations raw_y
1 1.4560279557
13 1.5713387806
128 1.6097875080
166 2.2104332449
359 2.3386342376
363 3.0902348578
518 3.0978934325
527 3.3377837116
643 3.5971223022
890 3.6710719530
909 3.7369207773
1453 3.9123630673
1559 4.1322314050
1799 4.2589437819
100000 3.3377837116
