evaluations raw_y
1 6.6000000000
9 8.4000000000
13 9.6000000000
32 10.0000000000
148 10.6000000000
206 11.0000000000
215 11.8000000000
321 12.0000000000
344 12.2000000000
373 13.0000000000
457 13.2000000000
463 13.4000000000
525 13.6000000000
560 13.8000000000
587 14.2000000000
692 14.4000000000
748 14.6000000000
783 14.8000000000
864 15.2000000000
964 15.4000000000
1015 15.6000000000
1107 15.8000000000
1198 16.0000000000
1223 16.2000000000
1261 16.4000000000
1280 16.6000000000
1387 16.8000000000
1874 17.0000000000
100000 16.8000000000
evaluations raw_y
1 7.8000000000
7 8.6000000000
54 10.2000000000
130 10.6000000000
177 11.2000000000
258 11.4000000000
298 11.6000000000
305 12.6000000000
381 13.0000000000
404 13.2000000000
473 13.6000000000
489 13.8000000000
557 14.0000000000
577 14.2000000000
659 14.4000000000
725 14.6000000000
825 14.8000000000
902 15.0000000000
984 15.2000000000
1046 15.4000000000
1411 15.6000000000
1446 15.8000000000
1527 16.0000000000
1648 16.2000000000
1873 16.4000000000
100000 16.0000000000
evaluations raw_y
1 7.2000000000
15 7.8000000000
20 8.2000000000
27 8.6000000000
29 9.0000000000
62 9.2000000000
112 9.8000000000
201 10.0000000000
231 11.2000000000
258 12.0000000000
381 12.2000000000
383 12.6000000000
532 12.8000000000
575 13.0000000000
602 13.2000000000
636 13.4000000000
718 13.6000000000
784 13.8000000000
852 14.0000000000
901 14.2000000000
950 14.4000000000
962 14.6000000000
979 14.8000000000
984 15.0000000000
1075 15.2000000000
1183 15.4000000000
1256 15.6000000000
1381 15.8000000000
1389 16.0000000000
1492 16.2000000000
1530 16.4000000000
1594 16.6000000000
1959 16.8000000000
100000 15.6000000000
evaluations raw_y
1 8.2000000000
5 9.0000000000
35 9.2000000000
87 9.6000000000
124 9.8000000000
128 10.2000000000
161 10.8000000000
226 11.0000000000
282 11.6000000000
320 12.0000000000
368 12.2000000000
373 12.8000000000
448 13.0000000000
455 13.2000000000
476 13.6000000000
525 13.8000000000
643 14.0000000000
699 14.2000000000
701 14.4000000000
715 14.6000000000
759 14.8000000000
776 15.0000000000
853 15.2000000000
890 15.4000000000
1014 15.6000000000
1123 15.8000000000
1323 16.0000000000
1496 16.2000000000
1552 16.4000000000
1595 16.6000000000
1740 16.8000000000
100000 15.8000000000
evaluations raw_y
1 6.4000000000
3 8.4000000000
21 8.6000000000
26 8.8000000000
27 9.0000000000
51 9.8000000000
110 10.0000000000
143 10.4000000000
188 11.2000000000
226 11.4000000000
291 11.6000000000
309 12.4000000000
393 13.0000000000
460 13.4000000000
481 13.8000000000
538 14.2000000000
595 14.4000000000
663 14.6000000000
722 14.8000000000
737 15.0000000000
832 15.2000000000
961 15.4000000000
1060 15.6000000000
1108 15.8000000000
1230 16.0000000000
1276 16.2000000000
1413 16.4000000000
1484 16.6000000000
1990 16.8000000000
100000 16.4000000000
evaluations raw_y
1 8.0000000000
2 9.0000000000
32 9.4000000000
48 9.6000000000
104 10.4000000000
143 10.8000000000
158 11.6000000000
238 12.0000000000
312 12.2000000000
315 12.6000000000
353 13.0000000000
376 13.4000000000
450 13.8000000000
491 14.2000000000
608 14.4000000000
629 15.0000000000
742 15.2000000000
761 15.6000000000
1059 15.8000000000
1149 16.0000000000
1192 16.2000000000
1237 16.4000000000
1475 16.6000000000
1628 16.8000000000
100000 15.6000000000
evaluations raw_y
1 6.6000000000
3 6.8000000000
4 9.2000000000
37 9.8000000000
172 10.2000000000
206 10.8000000000
216 11.2000000000
275 11.4000000000
346 11.6000000000
378 12.0000000000
409 12.2000000000
440 12.4000000000
479 12.6000000000
490 12.8000000000
552 13.0000000000
562 13.2000000000
572 13.4000000000
609 13.6000000000
648 13.8000000000
709 14.0000000000
735 14.4000000000
765 14.6000000000
781 14.8000000000
892 15.0000000000
923 15.2000000000
1097 15.4000000000
1156 15.6000000000
1240 15.8000000000
1310 16.0000000000
1654 16.2000000000
1754 16.4000000000
100000 16.4000000000
evaluations raw_y
1 7.8000000000
4 9.6000000000
67 10.0000000000
147 10.4000000000
193 11.0000000000
224 11.8000000000
238 12.0000000000
335 12.2000000000
342 12.4000000000
346 12.6000000000
423 12.8000000000
445 13.0000000000
461 13.2000000000
516 13.4000000000
522 13.6000000000
572 13.8000000000
656 14.0000000000
703 14.2000000000
751 14.4000000000
784 14.6000000000
835 15.0000000000
955 15.2000000000
1094 15.4000000000
1115 15.6000000000
1179 15.8000000000
1261 16.0000000000
1356 16.2000000000
1468 16.4000000000
1901 16.6000000000
100000 16.4000000000
evaluations raw_y
1 8.2000000000
9 9.6000000000
73 9.8000000000
122 10.2000000000
158 10.6000000000
191 11.0000000000
205 11.4000000000
265 11.6000000000
288 12.2000000000
387 12.6000000000
432 13.0000000000
462 13.2000000000
542 13.4000000000
552 13.6000000000
621 14.0000000000
658 14.2000000000
678 14.4000000000
782 14.6000000000
816 14.8000000000
835 15.0000000000
893 15.2000000000
983 15.4000000000
1011 15.6000000000
1114 15.8000000000
1223 16.0000000000
1580 16.2000000000
1619 16.4000000000
100000 16.4000000000
evaluations raw_y
1 4.8000000000
2 6.6000000000
3 6.8000000000
4 7.4000000000
5 9.0000000000
46 9.4000000000
74 9.6000000000
125 9.8000000000
148 10.6000000000
168 10.8000000000
247 11.6000000000
362 11.8000000000
374 12.4000000000
441 12.8000000000
489 13.0000000000
514 13.2000000000
529 13.4000000000
606 13.6000000000
644 13.8000000000
686 14.0000000000
800 14.2000000000
991 14.4000000000
1035 14.6000000000
1115 14.8000000000
1169 15.0000000000
1271 15.2000000000
1338 15.4000000000
1399 15.6000000000
1514 15.8000000000
1573 16.0000000000
1672 16.2000000000
1759 16.4000000000
100000 16.2000000000
