evaluations raw_y
1 0.9430403621
2 1.1504832029
4 1.3958682300
18 1.5160703457
20 1.5179113540
26 1.5933715743
33 1.6655562958
35 1.9069412662
55 1.9607843137
86 2.0177562550
92 2.0210185934
95 2.0990764064
99 2.1758050479
118 2.2182786158
149 2.2789425706
159 2.3342670401
172 2.3741690408
207 2.3969319271
231 2.4015369837
237 2.4777006938
238 2.4925224327
276 2.5693730730
295 2.6968716289
373 2.7144408252
375 2.8636884307
434 3.1605562579
456 3.3738191633
498 3.4965034965
572 3.6284470247
918 3.8639876352
961 4.1322314050
1134 4.3177892919
1155 4.4563279857
100000 4.4563279857
evaluations raw_y
1 1.8698578908
23 1.8867924528
26 1.9098548510
30 1.9857029388
57 2.0341741253
77 2.1061499579
78 2.1097046414
108 2.1496130696
120 2.3041474654
165 2.3342670401
257 2.4875621891
294 2.6968716289
302 2.7442371021
304 2.8702640643
305 2.9308323564
335 3.0826140567
494 3.2509752926
551 3.3112582781
932 3.3557046980
960 3.4387895461
987 3.5460992908
1001 3.6710719530
1438 3.6818851252
1919 3.9745627981
13992 4.0000000000
14413 4.0128410915
14501 4.3936731107
100000 3.1055900621
evaluations raw_y
1 0.8552856654
2 0.8756567426
4 0.9619084263
6 0.9823182711
7 1.1809163911
15 1.1876484561
17 1.5384615385
23 1.6700066800
35 1.7349063151
47 1.9638648861
62 2.1276595745
153 2.1349274125
156 2.1758050479
185 2.3169601483
231 2.3969319271
238 2.4108003857
270 2.5432349949
303 2.5746652935
306 2.6123301985
333 2.6178010471
350 2.8768699655
496 3.0674846626
538 3.3200531208
1068 3.3288948069
1095 3.3557046980
1097 3.4293552812
1420 3.4965034965
26312 3.5360678925
26389 3.6075036075
26570 3.7037037037
26789 3.7147102526
26884 3.7936267071
27075 4.0257648953
27416 4.0387722132
28152 4.0518638574
100000 4.0518638574
evaluations raw_y
1 0.8588114050
2 1.0060362173
4 1.0902747492
5 1.3404825737
11 1.5197568389
25 1.5595757954
36 1.5654351910
37 1.7397355602
38 2.0016012810
55 2.0920502092
61 2.1168501270
62 2.1204410517
80 2.1720243267
86 2.2461814915
114 2.2583559169
119 2.3741690408
152 2.3923444976
176 2.4437927664
203 2.5075225677
224 2.5227043391
229 2.7262813522
250 2.7932960894
276 2.7995520717
300 2.8835063437
301 2.9308323564
346 2.9515938607
435 2.9726516052
579 3.2258064516
934 3.2341526520
1169 3.2425421530
1300 3.3377837116
1309 3.7257824143
1351 3.8051750381
10491 3.8759689922
10548 3.9370078740
10562 4.1050903120
10598 4.1186161450
10809 4.1876046901
10929 4.2881646655
100000 4.2881646655
evaluations raw_y
1 1.2531328321
3 1.2607160867
9 1.3304949441
13 1.4425851125
16 1.5309246785
26 1.6223231668
31 1.8839487566
48 2.0016012810
64 2.0712510356
92 2.1459227468
94 2.1872265967
110 2.5176233635
134 2.6123301985
152 2.6737967914
173 2.6910656620
178 2.9585798817
221 2.9655990510
366 3.0012004802
367 3.1133250311
521 3.2175032175
561 3.2594524120
773 3.3738191633
835 3.4013605442
846 3.4674063800
904 3.6603221083
1084 3.7593984962
1600 3.7936267071
100000 3.7936267071
evaluations raw_y
1 1.1086474501
2 1.2506253127
15 1.3319126265
23 1.3804527885
24 1.6655562958
49 1.6903313049
53 1.7895490336
57 1.9186492709
61 1.9731649566
73 1.9825535289
76 1.9984012790
92 2.4533856722
276 2.4679170780
280 2.5693730730
284 2.5746652935
285 2.6014568158
304 2.9103608847
340 2.9171528588
479 2.9239766082
579 2.9308323564
581 2.9797377831
637 3.0599755202
704 3.2092426187
721 3.2509752926
862 3.4770514604
100000 3.4770514604
evaluations raw_y
1 1.0836584309
4 1.3262599469
8 1.3819789939
15 1.5441630636
29 1.7229496899
48 1.7998560115
54 1.9731649566
80 2.1240441801
94 2.4015369837
115 2.4248302619
119 2.5641025641
158 2.6511134677
