evaluations raw_y
1 -1303.0000000000
6 -1264.0000000000
7 -1225.0000000000
10 -1186.0000000000
11 -1157.0000000000
15 -1118.0000000000
19 -1079.0000000000
28 -1060.0000000000
34 -1021.0000000000
36 -982.0000000000
39 -953.0000000000
40 -914.0000000000
50 -875.0000000000
52 -836.0000000000
53 -797.0000000000
57 -758.0000000000
66 -719.0000000000
68 -680.0000000000
71 -651.0000000000
75 -622.0000000000
87 -583.0000000000
102 -573.0000000000
118 -544.0000000000
124 -505.0000000000
135 -466.0000000000
144 -427.0000000000
156 -389.0000000000
164 -360.0000000000
182 -331.0000000000
185 -312.0000000000
187 -302.0000000000
188 -283.0000000000
242 -282.0000000000
245 -254.0000000000
246 -225.0000000000
275 -157.0000000000
276 -118.0000000000
298 -99.0000000000
319 -70.0000000000
326 -51.0000000000
352 -42.0000000000
360 -32.0000000000
369 -31.0000000000
383 -22.0000000000
412 -21.0000000000
435 -12.0000000000
479 -2.0000000000
504 7.0000000000
543 8.0000000000
100000 -50.0000000000
evaluations raw_y
1 -1507.0000000000
5 -1390.0000000000
14 -1312.0000000000
23 -1283.0000000000
24 -1244.0000000000
25 -1205.0000000000
29 -1176.0000000000
34 -1137.0000000000
40 -1059.0000000000
47 -1020.0000000000
48 -991.0000000000
49 -952.0000000000
55 -913.0000000000
58 -874.0000000000
65 -845.0000000000
73 -806.0000000000
75 -738.0000000000
83 -709.0000000000
86 -690.0000000000
90 -680.0000000000
99 -641.0000000000
101 -622.0000000000
105 -612.0000000000
111 -573.0000000000
117 -544.0000000000
133 -505.0000000000
155 -466.0000000000
156 -427.0000000000
163 -398.0000000000
173 -359.0000000000
190 -340.0000000000
199 -301.0000000000
216 -282.0000000000
247 -262.0000000000
255 -243.0000000000
268 -204.0000000000
273 -165.0000000000
321 -146.0000000000
344 -136.0000000000
361 -127.0000000000
381 -108.0000000000
406 -89.0000000000
455 -60.0000000000
456 -40.0000000000
564 -21.0000000000
582 -12.0000000000
632 -11.0000000000
698 -2.0000000000
1056 7.0000000000
1400 8.0000000000
100000 -31.0000000000
evaluations raw_y
1 -1761.0000000000
3 -1722.0000000000
4 -1683.0000000000
6 -1644.0000000000
7 -1634.0000000000
11 -1556.0000000000
21 -1488.0000000000
23 -1449.0000000000
25 -1410.0000000000
26 -1342.0000000000
28 -1264.0000000000
31 -1225.0000000000
32 -1186.0000000000
37 -1157.0000000000
