evaluations raw_y
1 0.0000000000
37 1.0000000000
120 3.0000000000
377 5.0000000000
524 6.0000000000
915 7.0000000000
1097 8.0000000000
1378 9.0000000000
1383 11.0000000000
1429 12.0000000000
1435 17.0000000000
1441 18.0000000000
1480 21.0000000000
1659 24.0000000000
2043 25.0000000000
2201 26.0000000000
2332 29.0000000000
2351 33.0000000000
2486 40.0000000000
2616 42.0000000000
2642 47.0000000000
3037 48.0000000000
3109 49.0000000000
3306 50.0000000000
3538 51.0000000000
3620 53.0000000000
3916 54.0000000000
3981 55.0000000000
4001 57.0000000000
4007 59.0000000000
4066 60.0000000000
4156 62.0000000000
4195 67.0000000000
4482 68.0000000000
4499 72.0000000000
4870 73.0000000000
5666 74.0000000000
5670 75.0000000000
5774 76.0000000000
5843 77.0000000000
6183 78.0000000000
6216 80.0000000000
7993 81.0000000000
8234 82.0000000000
9480 83.0000000000
9928 84.0000000000
10396 86.0000000000
10510 87.0000000000
10820 88.0000000000
11329 91.0000000000
11420 92.0000000000
11763 93.0000000000
12029 96.0000000000
12067 98.0000000000
12778 99.0000000000
13037 100.0000000000
100000 15.0000000000
evaluations raw_y
1 0.0000000000
96 1.0000000000
141 2.0000000000
180 3.0000000000
189 4.0000000000
210 5.0000000000
336 6.0000000000
358 7.0000000000
421 9.0000000000
550 11.0000000000
623 13.0000000000
799 14.0000000000
861 15.0000000000
873 18.0000000000
950 21.0000000000
962 22.0000000000
1192 23.0000000000
1421 26.0000000000
1557 27.0000000000
1599 29.0000000000
1612 33.0000000000
1745 34.0000000000
2253 36.0000000000
2529 38.0000000000
2694 39.0000000000
2737 40.0000000000
2771 41.0000000000
2871 42.0000000000
2959 44.0000000000
3021 48.0000000000
3281 50.0000000000
3447 52.0000000000
3531 53.0000000000
3806 56.0000000000
4143 57.0000000000
4286 61.0000000000
4364 62.0000000000
4975 63.0000000000
5019 65.0000000000
5399 66.0000000000
5480 68.0000000000
5819 70.0000000000
6494 71.0000000000
7083 72.0000000000
7123 74.0000000000
7513 78.0000000000
7627 79.0000000000
7642 81.0000000000
7899 83.0000000000
8194 84.0000000000
8488 87.0000000000
8721 88.0000000000
9203 89.0000000000
9288 91.0000000000
9690 92.0000000000
9984 93.0000000000
10189 94.0000000000
10408 95.0000000000
10587 96.0000000000
10681 97.0000000000
11458 98.0000000000
11690 99.0000000000
12545 100.0000000000
100000 84.0000000000
evaluations raw_y
1 0.0000000000
89 1.0000000000
119 2.0000000000
401 3.0000000000
413 4.0000000000
420 5.0000000000
579 8.0000000000
964 9.0000000000
975 13.0000000000
1024 15.0000000000
1233 18.0000000000
1277 20.0000000000
1312 23.0000000000
1350 24.0000000000
1370 26.0000000000
1456 28.0000000000
1469 29.0000000000
1777 30.0000000000
1858 32.0000000000
1881 33.0000000000
1987 36.0000000000
2209 37.0000000000
2355 40.0000000000
2473 44.0000000000
2916 45.0000000000
3035 46.0000000000
3150 48.0000000000
3190 49.0000000000
3239 50.0000000000
3311 51.0000000000
3873 52.0000000000
4170 53.0000000000
4468 54.0000000000
4602 55.0000000000
4839 56.0000000000
4856 58.0000000000
5361 60.0000000000
5463 62.0000000000
5473 67.0000000000
5537 70.0000000000
5637 71.0000000000
5782 72.0000000000
6553 73.0000000000
6675 74.0000000000
6767 75.0000000000
6986 77.0000000000
7264 80.0000000000
7339 81.0000000000
7368 83.0000000000
7664 84.0000000000
7792 85.0000000000
7978 87.0000000000
8125 89.0000000000
8180 90.0000000000
8513 93.0000000000
8861 96.0000000000
8890 99.0000000000
9039 100.0000000000
100000 57.0000000000
evaluations raw_y
1 1.0000000000
384 2.0000000000
515 4.0000000000
936 5.0000000000
1021 6.0000000000
1215 7.0000000000
1218 8.0000000000
1269 10.0000000000
1297 13.0000000000
1343 15.0000000000
1358 16.0000000000
1747 17.0000000000
2020 18.0000000000
2033 20.0000000000
2309 21.0000000000
2334 24.0000000000
2356 25.0000000000
2476 31.0000000000
2578 32.0000000000
2637 39.0000000000
2803 44.0000000000
2814 45.0000000000
3034 47.0000000000
3049 48.0000000000
3096 49.0000000000
3120 51.0000000000
3256 52.0000000000
3333 54.0000000000
3401 55.0000000000
3792 60.0000000000
3985 62.0000000000
4060 63.0000000000
4125 65.0000000000
4197 66.0000000000
4238 67.0000000000
4343 69.0000000000
4397 70.0000000000
4405 72.0000000000
4449 78.0000000000
5111 80.0000000000
5410 82.0000000000
5448 84.0000000000
6387 86.0000000000
6393 88.0000000000
6769 90.0000000000
6791 91.0000000000
6811 93.0000000000
7314 95.0000000000
7613 96.0000000000
7662 100.0000000000
100000 100.0000000000
evaluations raw_y
1 3.0000000000
70 4.0000000000
83 5.0000000000
133 6.0000000000
230 8.0000000000
507 9.0000000000
611 10.0000000000
639 11.0000000000
874 12.0000000000
917 15.0000000000
1005 16.0000000000
1182 17.0000000000
1202 18.0000000000
1342 20.0000000000
1382 22.0000000000
1385 25.0000000000
1531 26.0000000000
1585 27.0000000000
1782 28.0000000000
1883 33.0000000000
1913 38.0000000000
2020 40.0000000000
2054 42.0000000000
2059 43.0000000000
2399 44.0000000000
2557 46.0000000000
2981 48.0000000000
2993 51.0000000000
3271 55.0000000000
3276 57.0000000000
3436 60.0000000000
3602 62.0000000000
3870 63.0000000000
4011 64.0000000000
4531 65.0000000000
5019 73.0000000000
5099 77.0000000000
5389 78.0000000000
5487 80.0000000000
5559 82.0000000000
5736 84.0000000000
6068 85.0000000000
6201 86.0000000000
6711 89.0000000000
6754 91.0000000000
7255 92.0000000000
7558 94.0000000000
7641 100.0000000000
100000 48.0000000000
evaluations raw_y
1 0.0000000000
280 2.0000000000
425 3.0000000000
477 4.0000000000
494 13.0000000000
520 14.0000000000
594 17.0000000000
671 18.0000000000
697 21.0000000000
750 22.0000000000
916 24.0000000000
1207 25.0000000000
1508 27.0000000000
1876 28.0000000000
2067 29.0000000000
2849 36.0000000000
3027 37.0000000000
3311 39.0000000000
3355 42.0000000000
3452 43.0000000000
3453 44.0000000000
3536 45.0000000000
3541 46.0000000000
3566 49.0000000000
3616 52.0000000000
3781 58.0000000000
3801 59.0000000000
3974 64.0000000000
4214 67.0000000000
4317 71.0000000000
4437 73.0000000000
4528 76.0000000000
4841 79.0000000000
5722 80.0000000000
5857 82.0000000000
5876 84.0000000000
5913 85.0000000000
5963 86.0000000000
6206 89.0000000000
6349 91.0000000000
7024 94.0000000000
7433 95.0000000000
7588 96.0000000000
7948 99.0000000000
8380 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
41 3.0000000000
52 4.0000000000
110 5.0000000000
