evaluations raw_y
1 2636.0000000000
2 2656.0000000000
4 2707.0000000000
6 2742.0000000000
7 2782.0000000000
8 2816.0000000000
10 2867.0000000000
14 2880.0000000000
16 2920.0000000000
17 2999.0000000000
18 3000.0000000000
23 3042.0000000000
26 3066.0000000000
27 3138.0000000000
29 3209.0000000000
35 3257.0000000000
36 3286.0000000000
40 3313.0000000000
45 3365.0000000000
58 3391.0000000000
59 3489.0000000000
60 3534.0000000000
63 3605.0000000000
73 3697.0000000000
75 3730.0000000000
88 3752.0000000000
93 3772.0000000000
104 3864.0000000000
105 3917.0000000000
110 4017.0000000000
112 4019.0000000000
117 4112.0000000000
130 4153.0000000000
137 4225.0000000000
153 4263.0000000000
160 4322.0000000000
206 4391.0000000000
221 4410.0000000000
223 4466.0000000000
240 4493.0000000000
249 4503.0000000000
269 4538.0000000000
278 4559.0000000000
295 4642.0000000000
313 4677.0000000000
328 4682.0000000000
342 4700.0000000000
353 4706.0000000000
359 4715.0000000000
388 4759.0000000000
403 4826.0000000000
414 4829.0000000000
438 4837.0000000000
494 4839.0000000000
520 4870.0000000000
562 4877.0000000000
579 4950.0000000000
588 4962.0000000000
636 5003.0000000000
724 5008.0000000000
840 5036.0000000000
918 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2469.0000000000
2 2539.0000000000
3 2553.0000000000
5 2605.0000000000
6 2653.0000000000
10 2726.0000000000
14 2878.0000000000
16 2965.0000000000
19 3065.0000000000
26 3171.0000000000
27 3187.0000000000
32 3285.0000000000
33 3296.0000000000
45 3411.0000000000
46 3433.0000000000
54 3469.0000000000
56 3494.0000000000
57 3519.0000000000
61 3644.0000000000
65 3716.0000000000
69 3805.0000000000
73 3876.0000000000
74 3886.0000000000
76 3903.0000000000
78 3999.0000000000
84 4065.0000000000
85 4096.0000000000
108 4159.0000000000
113 4179.0000000000
118 4220.0000000000
132 4238.0000000000
134 4263.0000000000
151 4307.0000000000
155 4318.0000000000
157 4335.0000000000
170 4441.0000000000
175 4526.0000000000
181 4536.0000000000
216 4544.0000000000
221 4631.0000000000
230 4635.0000000000
256 4689.0000000000
260 4717.0000000000
295 4733.0000000000
341 4737.0000000000
381 4805.0000000000
428 4851.0000000000
449 4873.0000000000
478 4890.0000000000
627 4911.0000000000
650 4916.0000000000
667 4941.0000000000
673 4951.0000000000
695 4963.0000000000
964 4974.0000000000
999 4988.0000000000
1114 5001.0000000000
1194 5011.0000000000
1270 5047.0000000000
1452 5050.0000000000
100000 4943.0000000000
evaluations raw_y
1 2485.0000000000
2 2554.0000000000
8 2583.0000000000
10 2586.0000000000
12 2593.0000000000
16 2670.0000000000
18 2741.0000000000
20 2847.0000000000
21 2873.0000000000
24 2897.0000000000
33 2916.0000000000
35 2920.0000000000
37 2968.0000000000
46 3004.0000000000
50 3167.0000000000
51 3203.0000000000
66 3240.0000000000
70 3298.0000000000
72 3354.0000000000
75 3401.0000000000
76 3489.0000000000
79 3562.0000000000
83 3685.0000000000
84 3783.0000000000
85 3784.0000000000
91 3789.0000000000
94 3881.0000000000
98 3941.0000000000
108 4016.0000000000
109 4034.0000000000
115 4124.0000000000
133 4148.0000000000
148 4215.0000000000
153 4284.0000000000
177 4299.0000000000
180 4386.0000000000
186 4387.0000000000
194 4484.0000000000
208 4499.0000000000
224 4504.0000000000
232 4547.0000000000
235 4645.0000000000
238 4731.0000000000
252 4747.0000000000
292 4766.0000000000
312 4824.0000000000
325 4848.0000000000
333 4929.0000000000
360 4969.0000000000
381 4975.0000000000
382 4996.0000000000
418 5022.0000000000
574 5023.0000000000
844 5026.0000000000
952 5050.0000000000
100000 5023.0000000000
evaluations raw_y
1 2395.0000000000
5 2431.0000000000
6 2546.0000000000
8 2620.0000000000
9 2654.0000000000
10 2712.0000000000
21 2755.0000000000
28 2816.0000000000
29 2893.0000000000
33 2956.0000000000
34 3021.0000000000
35 3069.0000000000
40 3131.0000000000
41 3134.0000000000
45 3155.0000000000
47 3183.0000000000
48 3188.0000000000
51 3282.0000000000
52 3335.0000000000
54 3424.0000000000
55 3484.0000000000
60 3497.0000000000
63 3718.0000000000
64 3742.0000000000
68 3913.0000000000
71 3928.0000000000
72 3937.0000000000
75 3992.0000000000
76 3993.0000000000
77 4026.0000000000
78 4048.0000000000
82 4138.0000000000
90 4192.0000000000
92 4228.0000000000
99 4323.0000000000
110 4416.0000000000
114 4435.0000000000
119 4452.0000000000
125 4457.0000000000
157 4512.0000000000
158 4598.0000000000
164 4645.0000000000
171 4663.0000000000
217 4678.0000000000
226 4702.0000000000
251 4729.0000000000
267 4741.0000000000
318 4743.0000000000
331 4777.0000000000
339 4799.0000000000
355 4800.0000000000
393 4820.0000000000
445 4834.0000000000
472 4851.0000000000
504 4881.0000000000
537 4901.0000000000
564 4980.0000000000
578 5001.0000000000
729 5041.0000000000
799 5050.0000000000
100000 4962.0000000000
evaluations raw_y
1 2589.0000000000
3 2603.0000000000
6 2634.0000000000
9 2714.0000000000
19 2799.0000000000
21 2811.0000000000
22 2846.0000000000
23 2949.0000000000
29 3089.0000000000
33 3104.0000000000
34 3131.0000000000
37 3287.0000000000
38 3310.0000000000
43 3377.0000000000
44 3474.0000000000
56 3521.0000000000
58 3614.0000000000
60 3688.0000000000
72 3697.0000000000
80 3741.0000000000
82 3771.0000000000
88 3819.0000000000
92 3890.0000000000
93 3929.0000000000
105 3935.0000000000
106 3977.0000000000
112 3993.0000000000
128 3995.0000000000
166 4099.0000000000
180 4135.0000000000
181 4164.0000000000
188 4283.0000000000
209 4310.0000000000
213 4362.0000000000
221 4389.0000000000
227 4445.0000000000
233 4453.0000000000
243 4463.0000000000
263 4509.0000000000
283 4543.0000000000
284 4630.0000000000
294 4697.0000000000
319 4779.0000000000
323 4839.0000000000
330 4895.0000000000
350 4947.0000000000
389 4948.0000000000
414 4952.0000000000
463 5050.0000000000
100000 4976.0000000000
evaluations raw_y
1 2756.0000000000
5 2849.0000000000
6 2859.0000000000
8 2981.0000000000
10 3081.0000000000
13 3188.0000000000
24 3260.0000000000
25 3325.0000000000
27 3452.0000000000
33 3501.0000000000
43 3564.0000000000
47 3700.0000000000
56 3713.0000000000
58 3720.0000000000
60 3740.0000000000
61 3748.0000000000
62 3751.0000000000
69 3927.0000000000
70 3990.0000000000
71 4058.0000000000
83 4080.0000000000
101 4128.0000000000
104 4183.0000000000
110 4215.0000000000
129 4229.0000000000
134 4285.0000000000
167 4309.0000000000
182 4396.0000000000
198 4416.0000000000
201 4454.0000000000
204 4465.0000000000
215 4486.0000000000
240 4496.0000000000
247 4537.0000000000
265 4560.0000000000
266 4598.0000000000
279 4600.0000000000
283 4603.0000000000
291 4648.0000000000
330 4655.0000000000
359 4700.0000000000
418 4708.0000000000
426 4734.0000000000
440 4736.0000000000
447 4786.0000000000
465 4846.0000000000
499 4874.0000000000
575 4896.0000000000
623 4902.0000000000
630 4946.0000000000
730 4947.0000000000
739 5019.0000000000
840 5026.0000000000
892 5040.0000000000
1218 5050.0000000000
100000 5040.0000000000
evaluations raw_y
1 2901.0000000000
4 2982.0000000000
5 3076.0000000000
6 3095.0000000000
7 3157.0000000000
16 3222.0000000000
18 3274.0000000000
19 3320.0000000000
20 3420.0000000000
30 3434.0000000000
38 3444.0000000000
46 3460.0000000000
47 3541.0000000000
48 3576.0000000000
49 3621.0000000000
54 3655.0000000000
55 3694.0000000000
56 3707.0000000000
65 3800.0000000000
71 3823.0000000000
76 3824.0000000000
83 3872.0000000000
91 3938.0000000000
98 3940.0000000000
117 3946.0000000000
124 4025.0000000000
151 4063.0000000000
153 4109.0000000000
156 4182.0000000000
172 4190.0000000000
173 4264.0000000000
193 4318.0000000000
197 4388.0000000000
203 4417.0000000000
204 4446.0000000000
209 4464.0000000000
212 4472.0000000000
213 4473.0000000000
214 4478.0000000000
230 4493.0000000000
232 4511.0000000000
250 4520.0000000000
254 4541.0000000000
272 4544.0000000000
284 4577.0000000000
290 4649.0000000000
292 4654.0000000000
294 4732.0000000000
312 4755.0000000000
318 4792.0000000000
331 4840.0000000000
339 4878.0000000000
433 4913.0000000000
440 4919.0000000000
489 4930.0000000000
490 4972.0000000000
526 4994.0000000000
531 5003.0000000000
562 5050.0000000000
100000 5024.0000000000
evaluations raw_y
1 2689.0000000000
3 2773.0000000000
12 2843.0000000000
16 2851.0000000000
28 2874.0000000000
31 3036.0000000000
33 3187.0000000000
35 3208.0000000000
40 3334.0000000000
48 3380.0000000000
50 3478.0000000000
56 3529.0000000000
61 3616.0000000000
68 3689.0000000000
70 3701.0000000000
80 3771.0000000000
84 3859.0000000000
91 3909.0000000000
96 3953.0000000000
97 3974.0000000000
111 3978.0000000000
118 4027.0000000000
133 4066.0000000000
141 4150.0000000000
142 4166.0000000000
154 4225.0000000000
161 4237.0000000000
162 4310.0000000000
176 4331.0000000000
177 4388.0000000000
187 4454.0000000000
240 4474.0000000000
245 4542.0000000000
284 4579.0000000000
288 4588.0000000000
305 4625.0000000000
347 4641.0000000000
348 4643.0000000000
360 4691.0000000000
424 4692.0000000000
427 4710.0000000000
464 4772.0000000000
466 4794.0000000000
526 4820.0000000000
532 4835.0000000000
545 4874.0000000000
564 4881.0000000000
582 4926.0000000000
614 4952.0000000000
682 4962.0000000000
753 5004.0000000000
1045 5018.0000000000
1106 5033.0000000000
1511 5047.0000000000
1552 5050.0000000000
100000 5007.0000000000
evaluations raw_y
1 2114.0000000000
3 2185.0000000000
5 2300.0000000000
6 2339.0000000000
11 2399.0000000000
12 2473.0000000000
13 2527.0000000000
14 2557.0000000000
19 2710.0000000000
20 2814.0000000000
24 2817.0000000000
32 2830.0000000000
34 2965.0000000000
39 3043.0000000000
40 3122.0000000000
44 3137.0000000000
47 3146.0000000000
48 3201.0000000000
57 3257.0000000000
65 3295.0000000000
70 3311.0000000000
75 3312.0000000000
79 3472.0000000000
86 3537.0000000000
92 3677.0000000000
98 3702.0000000000
107 3734.0000000000
119 3742.0000000000
120 3760.0000000000
123 3779.0000000000
125 3894.0000000000
133 3905.0000000000
136 3948.0000000000
139 3995.0000000000
141 4023.0000000000
142 4045.0000000000
148 4093.0000000000
150 4146.0000000000
152 4152.0000000000
163 4232.0000000000
169 4252.0000000000
177 4314.0000000000
186 4381.0000000000
227 4393.0000000000
245 4423.0000000000
252 4450.0000000000
256 4526.0000000000
