evaluations raw_y
1 5.8000000000
2 6.0000000000
3 6.6000000000
4 7.4000000000
8 8.2000000000
34 8.8000000000
72 9.4000000000
115 9.6000000000
167 10.0000000000
170 10.2000000000
193 10.6000000000
198 11.8000000000
234 12.2000000000
296 12.6000000000
342 12.8000000000
395 13.0000000000
422 13.2000000000
461 13.4000000000
495 13.6000000000
533 13.8000000000
606 14.2000000000
695 14.4000000000
756 14.6000000000
785 14.8000000000
802 15.0000000000
974 15.2000000000
1123 15.4000000000
1206 15.6000000000
1246 15.8000000000
1328 16.0000000000
1438 16.2000000000
1560 16.4000000000
1916 16.6000000000
100000 16.2000000000
evaluations raw_y
1 7.8000000000
9 8.0000000000
19 8.8000000000
44 9.4000000000
118 9.6000000000
149 11.0000000000
193 11.6000000000
248 11.8000000000
285 12.0000000000
291 12.2000000000
324 13.0000000000
409 13.2000000000
419 13.6000000000
430 14.2000000000
479 14.4000000000
513 14.6000000000
569 15.0000000000
680 15.2000000000
726 15.4000000000
795 15.6000000000
827 15.8000000000
929 16.0000000000
1154 16.2000000000
1195 16.4000000000
1354 16.6000000000
2002 16.8000000000
100000 16.6000000000
evaluations raw_y
1 5.8000000000
3 6.2000000000
4 7.6000000000
8 8.2000000000
32 8.6000000000
46 9.2000000000
73 9.8000000000
172 10.2000000000
232 10.6000000000
240 11.0000000000
248 11.2000000000
279 11.4000000000
338 11.8000000000
375 12.2000000000
443 12.4000000000
494 12.6000000000
506 12.8000000000
558 13.0000000000
603 13.2000000000
722 13.6000000000
777 13.8000000000
965 14.0000000000
966 14.2000000000
1137 14.4000000000
1167 14.6000000000
1352 14.8000000000
1430 15.0000000000
1487 15.2000000000
1554 15.4000000000
1589 15.6000000000
1685 15.8000000000
1697 16.0000000000
2010 16.2000000000
2045 16.4000000000
2355 16.6000000000
100000 16.6000000000
evaluations raw_y
1 7.6000000000
2 8.0000000000
4 8.2000000000
9 8.4000000000
14 8.6000000000
46 10.0000000000
76 11.0000000000
86 11.2000000000
159 11.4000000000
