evaluations raw_y
1 2355.0000000000
3 2591.0000000000
4 2728.0000000000
11 2939.0000000000
17 3266.0000000000
79 3332.0000000000
97 3382.0000000000
113 3520.0000000000
142 3734.0000000000
187 3901.0000000000
253 4044.0000000000
280 4099.0000000000
306 4114.0000000000
308 4194.0000000000
363 4233.0000000000
408 4284.0000000000
419 4299.0000000000
431 4304.0000000000
452 4353.0000000000
473 4362.0000000000
475 4397.0000000000
476 4434.0000000000
483 4509.0000000000
541 4545.0000000000
575 4586.0000000000
603 4587.0000000000
617 4696.0000000000
644 4744.0000000000
721 4745.0000000000
741 4753.0000000000
748 4780.0000000000
792 4792.0000000000
801 4815.0000000000
874 4866.0000000000
960 4885.0000000000
997 4891.0000000000
1002 4897.0000000000
1020 4907.0000000000
1073 4910.0000000000
1088 4925.0000000000
1160 4928.0000000000
1176 4950.0000000000
1248 4957.0000000000
1260 4960.0000000000
1285 4985.0000000000
1297 5009.0000000000
1349 5026.0000000000
1468 5037.0000000000
1763 5040.0000000000
1780 5044.0000000000
1933 5045.0000000000
1959 5047.0000000000
1970 5048.0000000000
2191 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2254.0000000000
2 2385.0000000000
3 2794.0000000000
8 3015.0000000000
22 3021.0000000000
25 3209.0000000000
76 3266.0000000000
86 3354.0000000000
90 3374.0000000000
111 3520.0000000000
125 3692.0000000000
133 3773.0000000000
210 3926.0000000000
260 4044.0000000000
262 4093.0000000000
311 4187.0000000000
347 4200.0000000000
349 4230.0000000000
368 4321.0000000000
390 4330.0000000000
402 4343.0000000000
405 4363.0000000000
417 4422.0000000000
444 4433.0000000000
453 4492.0000000000
481 4510.0000000000
490 4538.0000000000
551 4544.0000000000
553 4613.0000000000
651 4643.0000000000
668 4700.0000000000
700 4703.0000000000
708 4712.0000000000
735 4722.0000000000
793 4767.0000000000
902 4773.0000000000
921 4778.0000000000
931 4812.0000000000
945 4814.0000000000
962 4845.0000000000
1068 4854.0000000000
1083 4881.0000000000
1137 4887.0000000000
1283 4917.0000000000
1376 4919.0000000000
1388 4956.0000000000
1452 4982.0000000000
1611 5004.0000000000
1667 5025.0000000000
1710 5047.0000000000
1771 5049.0000000000
2225 5050.0000000000
100000 4893.0000000000
evaluations raw_y
1 2347.0000000000
2 2889.0000000000
4 2918.0000000000
16 3266.0000000000
33 3480.0000000000
47 3488.0000000000
62 3506.0000000000
67 3637.0000000000
99 3736.0000000000
178 3870.0000000000
179 3922.0000000000
212 3982.0000000000
215 4045.0000000000
273 4176.0000000000
319 4192.0000000000
327 4244.0000000000
344 4385.0000000000
406 4395.0000000000
411 4412.0000000000
441 4466.0000000000
476 4487.0000000000
516 4491.0000000000
538 4519.0000000000
585 4541.0000000000
587 4559.0000000000
646 4576.0000000000
663 4683.0000000000
778 4688.0000000000
827 4692.0000000000
863 4719.0000000000
868 4732.0000000000
876 4735.0000000000
885 4751.0000000000
910 4753.0000000000
932 4755.0000000000
941 4763.0000000000
962 4764.0000000000
983 4767.0000000000
995 4797.0000000000
1040 4813.0000000000
1052 4818.0000000000
1116 4840.0000000000
1163 4841.0000000000
1209 4852.0000000000
1258 4857.0000000000
1319 4866.0000000000
