evaluations raw_y
1 -1614.0000000000
2 -1585.0000000000
3 -1556.0000000000
4 -1527.0000000000
6 -1488.0000000000
8 -1449.0000000000
10 -1420.0000000000
11 -1401.0000000000
14 -1362.0000000000
16 -1323.0000000000
17 -1284.0000000000
18 -1245.0000000000
19 -1206.0000000000
20 -1177.0000000000
23 -1148.0000000000
25 -1109.0000000000
28 -1070.0000000000
29 -1041.0000000000
31 -1022.0000000000
35 -983.0000000000
38 -954.0000000000
41 -935.0000000000
42 -906.0000000000
43 -867.0000000000
44 -828.0000000000
47 -799.0000000000
52 -770.0000000000
55 -731.0000000000
57 -692.0000000000
58 -653.0000000000
61 -634.0000000000
62 -615.0000000000
63 -586.0000000000
64 -557.0000000000
65 -518.0000000000
66 -489.0000000000
68 -450.0000000000
69 -411.0000000000
70 -382.0000000000
74 -343.0000000000
76 -314.0000000000
78 -275.0000000000
79 -236.0000000000
80 -197.0000000000
81 -178.0000000000
83 -159.0000000000
84 -130.0000000000
86 -91.0000000000
89 -72.0000000000
90 -53.0000000000
91 -44.0000000000
93 -35.0000000000
95 -26.0000000000
96 -17.0000000000
97 -8.0000000000
98 1.0000000000
197 2.0000000000
2114 3.0000000000
7157 4.0000000000
7559 5.0000000000
10990 6.0000000000
11195 7.0000000000
16460 8.0000000000
18756 9.0000000000
100000 -168.0000000000
evaluations raw_y
1 -1254.0000000000
3 -1215.0000000000
4 -1186.0000000000
5 -1157.0000000000
6 -1118.0000000000
10 -1099.0000000000
12 -1070.0000000000
15 -1031.0000000000
16 -1002.0000000000
17 -963.0000000000
18 -924.0000000000
19 -895.0000000000
20 -876.0000000000
35 -837.0000000000
37 -798.0000000000
39 -769.0000000000
40 -740.0000000000
42 -711.0000000000
44 -672.0000000000
45 -633.0000000000
49 -594.0000000000
51 -575.0000000000
53 -536.0000000000
54 -497.0000000000
55 -468.0000000000
56 -439.0000000000
57 -400.0000000000
58 -381.0000000000
62 -352.0000000000
63 -323.0000000000
67 -284.0000000000
71 -265.0000000000
72 -256.0000000000
76 -227.0000000000
80 -188.0000000000
81 -169.0000000000
84 -140.0000000000
86 -111.0000000000
