evaluations raw_y
1 0.0000000000
2 2.0000000000
4 3.0000000000
5 6.0000000000
8 8.0000000000
10 9.0000000000
11 13.0000000000
15 18.0000000000
20 19.0000000000
21 20.0000000000
22 23.0000000000
25 24.0000000000
26 25.0000000000
27 26.0000000000
28 31.0000000000
33 32.0000000000
34 33.0000000000
35 34.0000000000
36 36.0000000000
38 41.0000000000
43 42.0000000000
44 45.0000000000
47 47.0000000000
49 49.0000000000
51 52.0000000000
54 55.0000000000
57 56.0000000000
58 57.0000000000
59 60.0000000000
62 61.0000000000
63 65.0000000000
67 66.0000000000
68 67.0000000000
69 72.0000000000
74 74.0000000000
76 75.0000000000
77 76.0000000000
78 78.0000000000
80 80.0000000000
82 82.0000000000
84 86.0000000000
88 87.0000000000
89 88.0000000000
90 89.0000000000
91 90.0000000000
92 91.0000000000
93 93.0000000000
95 94.0000000000
96 97.0000000000
99 99.0000000000
101 100.0000000000
100000 8.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
4 5.0000000000
7 6.0000000000
8 8.0000000000
10 9.0000000000
11 13.0000000000
15 16.0000000000
18 21.0000000000
23 22.0000000000
24 23.0000000000
25 25.0000000000
27 26.0000000000
28 27.0000000000
29 28.0000000000
30 30.0000000000
32 31.0000000000
33 32.0000000000
34 33.0000000000
35 34.0000000000
36 38.0000000000
40 39.0000000000
41 42.0000000000
44 46.0000000000
48 47.0000000000
49 48.0000000000
50 49.0000000000
51 50.0000000000
52 52.0000000000
54 55.0000000000
57 56.0000000000
58 59.0000000000
61 60.0000000000
62 61.0000000000
63 62.0000000000
64 65.0000000000
67 66.0000000000
68 67.0000000000
69 69.0000000000
71 70.0000000000
72 75.0000000000
77 78.0000000000
80 85.0000000000
87 88.0000000000
90 89.0000000000
91 90.0000000000
92 91.0000000000
93 94.0000000000
96 95.0000000000
97 98.0000000000
100 100.0000000000
100000 10.0000000000
evaluations raw_y
1 1.0000000000
3 6.0000000000
8 9.0000000000
11 10.0000000000
12 12.0000000000
14 14.0000000000
16 15.0000000000
17 17.0000000000
19 19.0000000000
21 20.0000000000
22 22.0000000000
24 25.0000000000
27 35.0000000000
37 37.0000000000
39 38.0000000000
40 40.0000000000
42 41.0000000000
43 43.0000000000
45 44.0000000000
46 46.0000000000
48 47.0000000000
49 48.0000000000
50 49.0000000000
51 52.0000000000
54 53.0000000000
55 57.0000000000
59 58.0000000000
60 59.0000000000
61 60.0000000000
62 65.0000000000
67 66.0000000000
68 67.0000000000
69 69.0000000000
71 71.0000000000
73 74.0000000000
76 80.0000000000
82 82.0000000000
84 84.0000000000
86 85.0000000000
87 88.0000000000
90 90.0000000000
92 91.0000000000
93 93.0000000000
95 94.0000000000
96 95.0000000000
97 100.0000000000
100000 14.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
4 3.0000000000
5 4.0000000000
6 7.0000000000
9 8.0000000000
10 12.0000000000
14 16.0000000000
18 18.0000000000
20 20.0000000000
22 22.0000000000
24 23.0000000000
25 24.0000000000
26 26.0000000000
28 28.0000000000
30 29.0000000000
31 30.0000000000
32 33.0000000000
35 34.0000000000
36 35.0000000000
37 37.0000000000
39 38.0000000000
40 39.0000000000
41 41.0000000000
43 46.0000000000
48 50.0000000000
52 51.0000000000
53 52.0000000000
54 53.0000000000
55 55.0000000000
57 57.0000000000
59 58.0000000000
60 59.0000000000
61 61.0000000000
63 62.0000000000
64 69.0000000000
71 71.0000000000
73 75.0000000000
77 76.0000000000
78 79.0000000000
81 80.0000000000
82 81.0000000000
83 82.0000000000
84 83.0000000000
85 85.0000000000
87 86.0000000000
88 89.0000000000
91 90.0000000000
92 94.0000000000
96 96.0000000000
98 100.0000000000
100000 8.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
4 6.0000000000
8 8.0000000000
10 10.0000000000
12 11.0000000000
13 12.0000000000
14 16.0000000000
18 17.0000000000
19 18.0000000000
20 19.0000000000
21 20.0000000000
22 22.0000000000
24 25.0000000000
27 28.0000000000
30 30.0000000000
32 31.0000000000
33 35.0000000000
37 36.0000000000
38 38.0000000000
40 40.0000000000
42 41.0000000000
43 42.0000000000
44 43.0000000000
45 46.0000000000
48 47.0000000000
49 48.0000000000
50 52.0000000000
54 54.0000000000
56 55.0000000000
57 58.0000000000
60 59.0000000000
61 60.0000000000
62 61.0000000000
63 62.0000000000
64 63.0000000000
65 64.0000000000
66 66.0000000000
68 68.0000000000
70 69.0000000000
71 71.0000000000
73 73.0000000000
75 74.0000000000
76 76.0000000000
78 77.0000000000
79 78.0000000000
80 79.0000000000
81 80.0000000000
82 81.0000000000
83 82.0000000000
84 90.0000000000
92 91.0000000000
93 96.0000000000
98 97.0000000000
99 100.0000000000
100000 8.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
4 6.0000000000
8 9.0000000000
11 12.0000000000
14 15.0000000000
17 16.0000000000
18 18.0000000000
20 19.0000000000
21 21.0000000000
23 22.0000000000
24 28.0000000000
30 29.0000000000
31 30.0000000000
32 31.0000000000
33 34.0000000000
36 36.0000000000
38 38.0000000000
40 39.0000000000
41 42.0000000000
44 43.0000000000
45 44.0000000000
46 45.0000000000
47 46.0000000000
48 47.0000000000
49 50.0000000000
52 51.0000000000
53 52.0000000000
54 53.0000000000
55 55.0000000000
57 57.0000000000
59 59.0000000000
61 60.0000000000
62 61.0000000000
63 63.0000000000
65 64.0000000000
66 65.0000000000
67 67.0000000000
69 68.0000000000
70 70.0000000000
72 75.0000000000
77 77.0000000000
79 78.0000000000
80 79.0000000000
81 80.0000000000
