evaluations raw_y
1 -280452.1000000000
2 -272295.1000000000
4 -262954.1000000000
14 -254712.1000000000
29 -241965.1000000000
64 -237058.1000000000
101 -229588.1000000000
140 -229357.1000000000
143 -224264.1000000000
154 -223077.1000000000
183 -222756.1000000000
191 -222455.1000000000
196 -221540.1000000000
199 -220317.1000000000
206 -213947.1000000000
231 -213137.1000000000
233 -213074.1000000000
268 -213016.1000000000
277 -207040.1000000000
302 -205936.1000000000
336 -203475.1000000000
357 -201536.1000000000
382 -200794.1000000000
386 -197785.1000000000
436 -197590.1000000000
454 -197055.1000000000
455 -195619.1000000000
460 -195415.1000000000
485 -194316.1000000000
508 -192147.1000000000
512 -191998.1000000000
535 -190277.1000000000
542 -189052.1000000000
556 -188319.1000000000
584 -186574.1000000000
592 -184655.1000000000
627 -183161.1000000000
659 -182979.1000000000
661 -181690.1000000000
665 -179005.1000000000
741 -178762.1000000000
746 -177386.1000000000
749 -175296.1000000000
785 -174372.1000000000
825 -174322.1000000000
830 -171098.1000000000
898 -170422.1000000000
902 -169216.1000000000
921 -168339.1000000000
974 -168239.1000000000
986 -166860.1000000000
995 -166721.1000000000
1052 -166110.1000000000
1065 -165481.1000000000
1100 -164615.1000000000
1184 -164038.1000000000
1229 -163839.1000000000
1232 -163524.1000000000
1247 -162242.1000000000
1288 -162209.1000000000
1297 -161413.1000000000
1301 -161343.1000000000
1302 -161248.1000000000
1310 -160570.1000000000
1345 -160204.1000000000
1361 28340.1936580747
1527 28471.3473771856
1655 28537.9114282097
1661 28592.6973587857
1692 28732.9893857424
1840 28762.6742773664
2003 28810.9491266009
2066 28894.8292608222
2078 29271.2273906625
2212 29374.3132685833
2327 29498.6963080875
2336 29507.3561466076
2399 29597.1544079232
2476 29619.7249872650
2710 29756.2720088911
3252 29956.9258081551
3546 30057.2505572181
4133 30223.7928614168
4185 30249.7400782249
4234 30545.3227916931
4321 30682.9305942548
5441 30755.2807857083
5466 31065.9840688400
5590 31203.8325315842
5784 31261.1897367782
5859 31375.4018935423
7554 31389.8618594837
8213 31539.0203418367
8323 31589.1622550809
8355 31750.3765713036
8366 31830.8501820350
8474 31915.3006446874
8514 31975.3838326662
9058 32089.8694999584
10020 32089.8694999584
evaluations raw_y
1 -277131.1000000000
2 -267282.1000000000
3 -262831.1000000000
17 -259881.1000000000
23 -256805.1000000000
26 -254329.1000000000
43 -251151.1000000000
62 -247208.1000000000
83 -243450.1000000000
102 -242438.1000000000
103 -242007.1000000000
105 -241940.1000000000
108 -241770.1000000000
110 -232540.1000000000
131 -230244.1000000000
137 -230182.1000000000
141 -224002.1000000000
186 -223755.1000000000
191 -221573.1000000000
205 -221318.1000000000
220 -220843.1000000000
231 -218594.1000000000
254 -217503.1000000000
270 -209076.1000000000
272 -208346.1000000000
302 -206095.1000000000
328 -204665.1000000000
334 -203848.1000000000
349 -197668.1000000000
385 -194018.1000000000
461 -193523.1000000000
467 -191647.1000000000
478 -189013.1000000000
501 -187165.1000000000
548 -186186.1000000000
550 -185665.1000000000
572 -185355.1000000000
583 -183792.1000000000
629 -182766.1000000000
642 -182620.1000000000
663 -182466.1000000000
666 -182046.1000000000
670 -181449.1000000000
676 -180722.1000000000
702 -180599.1000000000
709 -180162.1000000000
718 -179249.1000000000
753 -179169.1000000000
764 -178193.1000000000
770 -177736.1000000000
783 -177657.1000000000
793 -176924.1000000000
800 -175282.1000000000
833 -175151.1000000000
879 -174781.1000000000
883 -174130.1000000000
892 -173459.1000000000
908 -173434.1000000000
920 -172602.1000000000
928 -172078.1000000000
940 -169023.1000000000
972 -168245.1000000000
987 -167495.1000000000
1000 -167405.1000000000
1059 -166068.1000000000
1064 -165960.1000000000
1080 -165783.1000000000
1102 -164376.1000000000
1177 -163215.1000000000
1190 -163127.1000000000
1197 -162659.1000000000
1222 -162167.1000000000
1236 -161926.1000000000
1251 -161823.1000000000
1265 -161398.1000000000
1266 -161169.1000000000
1281 -160277.1000000000
1321 26107.1739917166
1329 27527.7215635857
1355 27781.8882388783
1605 27825.0031355988
1616 28182.7792457198
1747 28226.0861907642
1843 28566.5979084368
2329 28569.9732862663
2395 28602.1877142455
2467 28788.7090858034
2552 28877.3578217714
2728 28977.5916071918
3137 29213.2108649120
3242 29322.7228048085
3661 29369.0607901873
3735 29512.0937554688
3796 29642.5657632300
3899 29674.0515281239
3955 29739.7595604226
3999 29771.3544260278
4389 29879.6043357331
4447 30100.7954093624
4526 30184.8865724466
4640 30291.4341973518
4677 30327.8776621884
4688 30449.6693381559
4841 30649.3145354557
4892 30659.9245742569
5031 30883.7113731647
5473 30938.4859241505
5804 31088.9536304732
5815 31235.9100693706
6077 31401.3298469960
6082 31472.4767621719
7134 31635.5778965739
7344 31736.0811630847
7435 31832.3451726385
7480 31872.4359928175
7509 31944.5700227058
7541 31984.6769735511
10020 31984.6769735511
evaluations raw_y
1 -285142.1000000000
2 -271304.1000000000
3 -267276.1000000000
7 -250692.1000000000
10 -245103.1000000000
29 -240409.1000000000
95 -239810.1000000000
97 -238565.1000000000
104 -235368.1000000000
109 -234581.1000000000
111 -233022.1000000000
138 -229127.1000000000
148 -228266.1000000000
154 -225359.1000000000
174 -225120.1000000000
181 -218736.1000000000
232 -218440.1000000000
245 -216472.1000000000
252 -215616.1000000000
258 -211956.1000000000
272 -210990.1000000000
302 -209513.1000000000
304 -205781.1000000000
306 -203622.1000000000
348 -203060.1000000000
370 -202912.1000000000
385 -201002.1000000000
391 -200510.1000000000
423 -199865.1000000000
427 -199679.1000000000
440 -199537.1000000000
443 -199343.1000000000
449 -199007.1000000000
469 -194981.1000000000
531 -194745.1000000000
541 -194164.1000000000
546 -192243.1000000000
556 -192227.1000000000
581 -192085.1000000000
584 -189612.1000000000
616 -189259.1000000000
633 -189120.1000000000
662 -187827.1000000000
676 -186894.1000000000
685 -186607.1000000000
707 -184357.1000000000
749 -184311.1000000000
752 -184113.1000000000
772 -183622.1000000000
786 -183615.1000000000
790 -183076.1000000000
798 -182836.1000000000
805 -182405.1000000000
827 -182203.1000000000
830 -181427.1000000000
836 -181284.1000000000
846 -180758.1000000000
863 -180479.1000000000
867 -178672.1000000000
916 -177627.1000000000
949 -176911.1000000000
972 -176468.1000000000
988 -175357.1000000000
1024 -175083.1000000000
1032 -174177.1000000000
1038 -173880.1000000000
1061 -171907.1000000000
1103 -171334.1000000000
1133 -170086.1000000000
1146 -168935.1000000000
1158 -168415.1000000000
1189 -167653.1000000000
1222 -166832.1000000000
1223 -165455.1000000000
1228 -165122.1000000000
1261 -164925.1000000000
1267 -163800.1000000000
1284 -163770.1000000000
1303 -162198.1000000000
1308 -162166.1000000000
1353 -161936.1000000000
1382 -161762.1000000000
1391 -161494.1000000000
1399 -160366.1000000000
1457 -160298.1000000000
1468 28467.4622681126
1550 28625.4555880725
1578 28634.5525090241
1604 28720.7006274437
1626 28801.6824140888
1698 29201.0202036385
1744 29432.2297041934
1873 29517.2322523908
2035 29615.8944159795
2058 29637.4823198560
2098 29660.5605684979
2148 29816.6639479400
2169 29838.2423025884
3423 29894.2217199871
3640 30056.1414307091
3659 30070.3782795424
3709 30226.7960695288
3731 30228.2876238779
4192 30247.6938783972
4557 30295.6773136003
4617 30296.1845445169
4684 30560.0440576408
4775 30874.9752475905
5058 30975.4118315310
5301 31090.3094818155
5846 31112.6330445617
5971 31274.3220730689
6414 31391.2485250299
6516 31428.3085596499
6565 31612.4536091209
6580 31765.5234231272
8022 32023.0603887421
8140 32217.4025448394
8797 32429.8948348962
8850 32579.9266920092
10020 -161161.1000000000
evaluations raw_y
1 -277320.1000000000
4 -271399.1000000000
5 -262871.1000000000
23 -261314.1000000000
25 -254291.1000000000
64 -251514.1000000000
66 -235805.1000000000
143 -227934.1000000000
166 -227837.1000000000
179 -221290.1000000000
186 -218917.1000000000
224 -216481.1000000000
274 -215104.1000000000
306 -208559.1000000000
362 -208430.1000000000
384 -205279.1000000000
393 -205053.1000000000
424 -204915.1000000000
428 -202894.1000000000
465 -202590.1000000000
468 -202514.1000000000
473 -201850.1000000000
484 -201720.1000000000
490 -200589.1000000000
501 -199122.1000000000
505 -196817.1000000000
559 -196584.1000000000
582 -191422.1000000000
649 -190616.1000000000
662 -190164.1000000000
668 -187014.1000000000
702 -186897.1000000000
712 -185856.1000000000
724 -185411.1000000000
744 -184412.1000000000
749 -184115.1000000000
777 -183259.1000000000
792 -182336.1000000000
812 -181779.1000000000
821 -181456.1000000000
830 -180434.1000000000
840 -180182.1000000000
856 -179720.1000000000
872 -177915.1000000000
901 -176446.1000000000
964 -174829.1000000000
1006 -174648.1000000000
1013 -174095.1000000000
1023 -173884.1000000000
1030 -172834.1000000000
1070 -172357.1000000000
1079 -170729.1000000000
1118 -169650.1000000000
1164 -169168.1000000000
1185 -169005.1000000000
1191 -168265.1000000000
1233 -168194.1000000000
1251 -167903.1000000000
1254 -165783.1000000000
1279 -165543.1000000000
1330 -164209.1000000000
1335 -161973.1000000000
1385 -161036.1000000000
1387 -160683.1000000000
1429 -160316.1000000000
1444 26039.4470734771
1463 26246.1868499598
1471 26276.8968107686
1493 26288.2669501349
1522 26308.1149645238
1523 26533.3861182999
1594 26686.7007210205
1851 26823.6934681452
2233 26949.8675593374
2290 27254.1813440988
2310 27283.8452135249
2387 27504.8520964151
2411 27748.6452723957
2460 28294.3687796380
2577 28404.8201095914
2611 28460.6690471366
2724 28599.9017872721
2805 28711.5186644042
2872 28820.9687560125
