evaluations raw_y
1 0.0000000000
2 137.0000000000
3 238.0000000000
5 243.0000000000
7 269.0000000000
8 304.0000000000
12 308.0000000000
13 355.0000000000
17 396.0000000000
22 398.0000000000
72 405.0000000000
126 408.0000000000
140 412.0000000000
144 420.0000000000
243 423.0000000000
506 425.0000000000
526 426.0000000000
1174 427.0000000000
1261 429.0000000000
1282 430.0000000000
1508 431.0000000000
1670 432.0000000000
2468 434.0000000000
3539 435.0000000000
4030 436.0000000000
4306 437.0000000000
5876 439.0000000000
8049 442.0000000000
10000 235.0000000000
