evaluations raw_y
1 0.0000000000
2 142.0000000000
3 354.0000000000
6 469.0000000000
8 512.0000000000
9 563.0000000000
12 627.0000000000
79 633.0000000000
131 644.0000000000
133 651.0000000000
175 658.0000000000
265 660.0000000000
275 664.0000000000
418 676.0000000000
499 679.0000000000
1479 685.0000000000
1512 686.0000000000
1545 694.0000000000
2174 697.0000000000
2379 698.0000000000
2404 700.0000000000
2620 701.0000000000
2742 702.0000000000
2790 704.0000000000
2936 705.0000000000
4327 706.0000000000
4618 714.0000000000
10000 -1.0000000000
