evaluations raw_y
1 0.0000000000
2 19.9200000000
4 29.2800000000
6 48.0300000000
7 59.8900000000
17 74.0300000000
24 77.0200000000
32 82.4100000000
62 100.9800000000
63 108.2200000000
70 125.8200000000
136 138.3600000000
162 145.3200000000
183 146.0400000000
208 157.5500000000
228 188.1100000000
230 203.8500000000
235 204.5200000000
237 209.0800000000
238 237.6300000000
248 247.2400000000
249 259.3800000000
254 264.9600000000
260 272.3100000000
283 284.4600000000
380 290.7100000000
520 290.9400000000
567 296.8000000000
604 298.1600000000
617 300.2900000000
690 310.1200000000
841 322.4700000000
1010 339.7000000000
1259 341.5000000000
1390 347.7100000000
1444 359.9800000000
2096 375.1600000000
2099 399.0200000000
2119 400.3400000000
2132 410.8100000000
2143 413.7000000000
2169 414.9000000000
2185 420.2200000000
2192 449.8900000000
2286 451.9700000000
2366 463.9500000000
2389 585.6800000000
9093 515.6300000000
