evaluations raw_y
1 0.0000000000
2 3.6300000000
3 18.9100000000
4 19.6200000000
6 29.0800000000
7 41.6100000000
10 52.9700000000
15 60.3500000000
20 61.2800000000
21 68.5400000000
22 78.8400000000
27 83.1600000000
37 90.8100000000
50 95.4100000000
52 101.1700000000
132 103.9000000000
148 108.1500000000
156 117.9100000000
175 127.1000000000
178 133.6600000000
244 138.2500000000
245 141.7400000000
297 203.3700000000
299 218.5900000000
301 222.0400000000
302 230.4900000000
312 245.1700000000
314 259.8600000000
345 262.2400000000
349 269.2100000000
352 273.6300000000
394 289.1500000000
501 295.4300000000
535 301.3200000000
555 304.4200000000
579 316.7200000000
601 321.1200000000
603 327.3300000000
627 381.8500000000
634 383.4900000000
636 408.0500000000
698 415.7400000000
732 417.6800000000
861 427.8000000000
1668 500.9600000000
1766 505.9100000000
1817 508.5600000000
1889 511.6500000000
2163 524.0600000000
2176 524.7600000000
3555 528.8200000000
3749 542.0700000000
9314 543.9800000000
9327 554.1000000000
9842 555.3700000000
10000 -1.0000000000
