evaluations raw_y
1 0.0000000000
2 8.9000000000
3 14.3800000000
6 23.4500000000
7 33.6100000000
12 37.7600000000
15 90.9800000000
20 117.5100000000
93 121.5100000000
99 132.2300000000
101 135.6400000000
113 142.2900000000
124 170.3500000000
129 195.4100000000
142 205.1200000000
160 228.5600000000
219 234.8700000000
232 240.4900000000
247 249.3300000000
272 270.3300000000
299 277.9700000000
337 302.7800000000
391 306.3900000000
444 306.9100000000
455 311.4800000000
496 316.4700000000
523 316.6900000000
532 326.6400000000
585 328.3700000000
617 349.2800000000
653 358.8800000000
821 363.3100000000
845 374.6800000000
862 377.4100000000
893 381.9000000000
913 397.5000000000
930 419.9400000000
1091 427.5000000000
1107 443.5700000000
1127 445.1300000000
1168 482.7200000000
2131 489.5100000000
2234 492.9600000000
2252 533.8900000000
2286 539.2500000000
2346 551.9400000000
2378 556.3400000000
2405 559.6100000000
2413 568.6900000000
2419 582.3900000000
2442 593.4600000000
2602 611.5100000000
2611 633.5200000000
2915 648.3100000000
3355 655.0800000000
3357 656.0100000000
3415 678.8600000000
3482 700.8800000000
4165 702.9600000000
4168 715.7300000000
4220 720.3400000000
4256 724.6500000000
4361 727.1000000000
4398 730.2100000000
5675 733.0700000000
5688 746.4800000000
5749 753.1300000000
5766 753.8200000000
5789 754.9100000000
5830 756.9400000000
5856 761.7800000000
5927 777.1300000000
5929 777.4500000000
5937 781.6400000000
5968 785.1800000000
6085 797.7200000000
6499 800.7500000000
6524 802.0000000000
6553 805.2900000000
6557 819.9300000000
6577 825.9100000000
6777 832.6400000000
6779 844.2500000000
6802 846.5500000000
7140 847.6700000000
7172 864.4400000000
7798 870.4600000000
7809 897.0600000000
7863 897.2200000000
7881 915.4400000000
8421 920.2500000000
8762 923.4900000000
8876 936.4100000000
9997 939.1200000000
10231 946.2600000000
11533 950.6200000000
11761 952.4200000000
11801 959.0900000000
11805 982.6300000000
11960 988.3100000000
14787 988.5800000000
14819 1000.3500000000
15074 1002.5900000000
15077 1008.4700000000
15141 1014.4600000000
15170 1025.1900000000
15553 1026.7900000000
15678 1030.7100000000
15684 1032.1600000000
15838 1038.1800000000
17076 1050.2200000000
17615 1053.3900000000
17825 1054.6700000000
18867 1062.9600000000
19035 1063.0500000000
19686 1064.0200000000
20204 1064.7300000000
20235 1065.4700000000
20346 1074.2100000000
21601 1074.5900000000
22132 1075.5000000000
22240 1078.2300000000
22258 1078.2700000000
22335 1079.9800000000
22440 1080.4900000000
22505 1082.2400000000
22520 1085.8500000000
23861 1087.5400000000
25388 1090.7100000000
25674 1092.5600000000
26008 1095.0500000000
26172 1098.6700000000
26463 1102.4700000000
26940 1105.4000000000
27040 1112.3000000000
27835 1119.4800000000
30280 1121.5500000000
35268 1121.9700000000
35909 1122.0400000000
36229 1128.7300000000
36246 1140.0600000000
36543 1140.2600000000
36549 1142.2000000000
36577 1145.3500000000
36896 1148.9200000000
37758 1151.9700000000
37787 1160.3700000000
37870 1161.7300000000
37877 1163.8100000000
37937 1172.0100000000
38715 1185.6600000000
40876 1191.6800000000
43770 1202.0000000000
43820 1202.3100000000
44384 1204.3000000000
46095 1204.9600000000
46281 1210.8600000000
46346 1212.1700000000
46417 1213.1400000000
46973 1216.8400000000
47250 1219.5600000000
47339 1221.8600000000
47378 1224.2500000000
47543 1224.7900000000
48351 1229.2900000000
51629 1231.8000000000
57290 1231.9600000000
58917 1232.6000000000
65425 1232.6700000000
67780 1236.4700000000
70599 1239.3600000000
76021 1243.8000000000
76831 1258.2700000000
89281 1261.5200000000
100000 1178.8100000000
evaluations raw_y
1 0.0000000000
2 2.2600000000
3 2.9300000000
4 16.4200000000
5 20.0500000000
7 20.5000000000
8 41.8300000000
10 60.7100000000
15 78.7300000000
16 90.4100000000
20 103.7400000000
22 105.3000000000
50 111.8800000000
52 121.4600000000
54 126.3200000000
67 143.9700000000
68 144.8500000000
79 182.4100000000
