evaluations raw_y
1 0.0000000000
2 70.0000000000
3 148.0000000000
6 173.0000000000
7 237.0000000000
10 322.0000000000
15 323.0000000000
16 364.0000000000
18 373.0000000000
19 419.0000000000
26 437.0000000000
27 483.0000000000
31 492.0000000000
37 497.0000000000
44 501.0000000000
91 515.0000000000
103 519.0000000000
159 525.0000000000
230 533.0000000000
290 537.0000000000
297 539.0000000000
893 540.0000000000
1248 541.0000000000
1295 549.0000000000
1943 551.0000000000
1981 552.0000000000
2255 554.0000000000
2846 556.0000000000
3006 558.0000000000
3657 560.0000000000
5680 562.0000000000
19592 563.0000000000
30803 564.0000000000
33762 565.0000000000
100000 185.0000000000
evaluations raw_y
1 0.0000000000
2 120.0000000000
4 194.0000000000
7 263.0000000000
8 414.0000000000
14 437.0000000000
18 458.0000000000
26 477.0000000000
30 503.0000000000
38 511.0000000000
52 530.0000000000
162 531.0000000000
318 533.0000000000
382 536.0000000000
492 539.0000000000
700 541.0000000000
717 546.0000000000
841 547.0000000000
1506 550.0000000000
1528 552.0000000000
1615 553.0000000000
1759 555.0000000000
1819 556.0000000000
2213 557.0000000000
3484 558.0000000000
4849 560.0000000000
5505 562.0000000000
7600 567.0000000000
38459 568.0000000000
49417 569.0000000000
66426 570.0000000000
100000 215.0000000000
evaluations raw_y
1 0.0000000000
2 108.0000000000
3 179.0000000000
4 259.0000000000
6 464.0000000000
10 487.0000000000
16 499.0000000000
30 515.0000000000
94 523.0000000000
124 525.0000000000
146 526.0000000000
180 538.0000000000
214 543.0000000000
1089 546.0000000000
2004 548.0000000000
2808 551.0000000000
3054 552.0000000000
3968 554.0000000000
4212 555.0000000000
6377 556.0000000000
6894 560.0000000000
12100 561.0000000000
13599 562.0000000000
13940 563.0000000000
15251 565.0000000000
28211 567.0000000000
47831 569.0000000000
55936 570.0000000000
100000 359.0000000000
evaluations raw_y
1 0.0000000000
2 100.0000000000
3 116.0000000000
4 173.0000000000
5 250.0000000000
6 363.0000000000
18 365.0000000000
20 391.0000000000
23 406.0000000000
26 443.0000000000
29 477.0000000000
35 489.0000000000
53 508.0000000000
80 515.0000000000
105 528.0000000000
230 533.0000000000
345 534.0000000000
348 540.0000000000
652 544.0000000000
901 548.0000000000
962 549.0000000000
996 550.0000000000
1091 554.0000000000
5149 559.0000000000
6083 560.0000000000
6329 561.0000000000
10036 563.0000000000
11571 564.0000000000
17362 566.0000000000
67259 567.0000000000
100000 520.0000000000
evaluations raw_y
1 0.0000000000
2 63.0000000000
