evaluations,raw_y
1.0,0.0
2.0,99.0
3.0,189.0
4.0,309.0
5.0,408.0
10.0,516.0
13.0,554.0
19.0,581.0
42.0,606.0
66.0,626.0
82.0,627.0
110.0,628.0
126.0,634.0
167.0,641.0
235.0,646.0
271.0,657.0
283.0,659.0
319.0,661.0
462.0,669.0
648.0,678.0
731.0,680.0
749.0,685.0
1013.0,687.0
1121.0,689.0
1906.0,690.0
1910.0,691.0
1912.0,693.0
2694.0,694.0
3655.0,698.0
3734.0,700.0
3934.0,702.0
4668.0,705.0
5998.0,708.0
6053.0,709.0
8149.0,712.0
11597.0,713.0
20161.0,715.0
27696.0,716.0
32347.0,717.0
35553.0,718.0
42116.0,720.0
51761.0,721.0
63307.0,723.0
100000.0,246.0
