evaluations,raw_y
1.0,0.0
2.0,23.56
3.0,31.02
6.0,41.39
7.0,43.48
11.0,51.12
14.0,51.51
15.0,51.54
18.0,59.16
19.0,79.12
23.0,89.56
24.0,121.91
36.0,131.73
37.0,137.37
40.0,150.16
43.0,166.27
46.0,167.81
48.0,172.47
49.0,207.86
58.0,223.95
82.0,226.83
85.0,244.55
108.0,247.57
111.0,247.87
133.0,259.89
166.0,269.22
209.0,287.02
226.0,319.58
272.0,324.67
288.0,327.61
306.0,346.51
437.0,354.64
624.0,354.88
645.0,380.78
694.0,394.77
889.0,408.07
953.0,427.99
977.0,489.68
1017.0,499.72
1025.0,508.79
1077.0,511.6
1134.0,542.83
1231.0,553.7
1235.0,553.72
1244.0,558.79
1261.0,587.81
1315.0,609.42
1360.0,613.99
1399.0,615.38
1416.0,632.45
1498.0,636.98
1515.0,644.46
1529.0,652.0
1554.0,665.74
1738.0,669.52
1893.0,675.4
2182.0,689.4
2204.0,710.36
2819.0,712.31
2865.0,715.22
2920.0,720.19
2923.0,722.94
3306.0,726.4
3617.0,727.22
3730.0,727.42
3774.0,728.85
3836.0,733.54
3874.0,741.04
3895.0,770.08
4081.0,773.63
4282.0,775.66
4350.0,778.9
4677.0,788.15
5576.0,794.57
5634.0,795.96
5779.0,800.88
5802.0,825.23
7198.0,833.01
7200.0,846.2
7392.0,851.2
7564.0,860.6
8292.0,868.78
8346.0,869.91
8447.0,887.31
8483.0,908.44
8835.0,916.22
9139.0,927.04
9174.0,929.23
9234.0,931.85
9320.0,935.94
9423.0,963.88
9528.0,969.76
9844.0,977.26
9960.0,1001.75
10000.0,447.62
