evaluations raw_y
1 18.0000000000
2 24.0000000000
4 27.0000000000
6 32.0000000000
90 33.0000000000
100 34.0000000000
579 35.0000000000
956 36.0000000000
1896 38.0000000000
17580 39.0000000000
112575 40.0000000000
125000 23.0000000000
evaluations raw_y
1 23.0000000000
2 24.0000000000
4 26.0000000000
5 27.0000000000
6 28.0000000000
14 29.0000000000
23 30.0000000000
26 33.0000000000
54 34.0000000000
816 35.0000000000
2941 36.0000000000
3617 38.0000000000
52451 39.0000000000
125000 21.0000000000
evaluations raw_y
1 24.0000000000
5 25.0000000000
9 35.0000000000
242 36.0000000000
1767 37.0000000000
12264 40.0000000000
125000 29.0000000000
evaluations raw_y
1 27.0000000000
5 30.0000000000
41 33.0000000000
222 35.0000000000
236 36.0000000000
6374 39.0000000000
125000 25.0000000000
evaluations raw_y
1 27.0000000000
7 28.0000000000
10 29.0000000000
11 30.0000000000
30 31.0000000000
48 32.0000000000
198 33.0000000000
357 35.0000000000
804 36.0000000000
1089 38.0000000000
17744 40.0000000000
53499 41.0000000000
125000 24.0000000000
evaluations raw_y
1 21.0000000000
3 23.0000000000
4 30.0000000000
7 34.0000000000
174 35.0000000000
1376 36.0000000000
4484 40.0000000000
125000 25.0000000000
evaluations raw_y
1 26.0000000000
7 27.0000000000
18 29.0000000000
22 30.0000000000
120 35.0000000000
1869 36.0000000000
4850 38.0000000000
72468 40.0000000000
109969 41.0000000000
125000 26.0000000000
evaluations raw_y
1 20.0000000000
2 30.0000000000
7 31.0000000000
58 32.0000000000
84 35.0000000000
4326 37.0000000000
28958 39.0000000000
38710 41.0000000000
125000 25.0000000000
evaluations raw_y
1 26.0000000000
4 29.0000000000
6 31.0000000000
13 32.0000000000
74 33.0000000000
109 35.0000000000
800 37.0000000000
6261 39.0000000000
43939 40.0000000000
125000 22.0000000000
evaluations raw_y
1 20.0000000000
2 28.0000000000
8 29.0000000000
13 32.0000000000
137 33.0000000000
261 34.0000000000
389 36.0000000000
2672 37.0000000000
19067 39.0000000000
61611 40.0000000000
125000 24.0000000000
