evaluations raw_y
1 689782.1128258151
4 701054.3757262371
6 711129.2980870295
28 725717.3015713277
81 733712.8096928931
106 734990.5396542288
112 740257.4118105418
142 743237.5933712131
154 744710.2563201791
158 745200.1324878003
165 746179.7006529586
172 747319.9013507913
192 748993.2312294109
193 750111.5126138770
215 759046.5900458921
262 772018.2172304253
296 773348.8361083661
307 776650.1135142945
330 777020.6543295496
337 781006.4689522759
347 782545.8187264450
367 784935.9158549669
384 786749.2850766907
385 787990.2316877705
410 791182.3231648948
424 791238.3057802673
428 795391.1658715297
434 799672.3435972000
466 799856.7480269190
493 803369.8630259683
510 811197.1633839258
542 811846.3531679903
567 812366.7770464848
581 817134.5966417220
622 820926.5945924161
625 822988.3870106951
674 823778.8056700280
678 825770.6583419070
717 826823.3494162386
725 826909.4297758673
731 827309.1400277345
742 828362.4911833464
747 828504.2600017142
771 829157.6738820066
778 831180.5059246453
795 833575.6558037685
799 834707.9301141694
823 836571.9352371050
829 836694.2285147856
848 837680.0225887203
877 837682.2148261390
901 837888.0527946964
903 839317.9507140369
913 839460.5876472471
924 840081.2430193793
946 840104.8704644961
949 840807.4073362281
953 843587.5375355450
1004 844268.1897212781
1022 844926.2867958288
1043 845046.2859162587
1062 846301.3082638321
1082 846485.5992303611
1102 847494.8695428935
1108 847661.7235044399
1126 848065.0920633007
1127 848178.8525881462
1135 848305.4752178089
1141 848844.3516716858
1149 849494.5145730673
1173 850073.2301651974
1187 850233.7471878409
1215 851312.0929666765
1232 852646.9191142485
1262 853347.1562690523
1286 854470.3170750857
1305 855025.2312925364
1342 855566.7758615669
1349 855841.6580613781
1361 857170.4726643716
1388 858044.6677058054
1390 859039.8228380973
1426 859057.0157887276
1429 859248.8431483682
1461 860250.8300970250
1467 860695.9408081732
1485 860744.2333704504
1493 861770.6720112907
1513 862969.9073438309
1545 863732.6237144743
1548 864026.4279462777
1576 864208.3967867397
1585 864461.7175459563
1590 864888.3359801921
1600 864974.7681746802
1608 866037.8312783750
1637 866704.8634084789
1662 867682.7917284640
1678 868036.9786530823
1701 868761.4735452002
1708 869145.5574778933
1733 869194.3274640999
1744 869391.3644838246
1748 869930.2696638030
1763 870008.1323104801
1781 872027.6643219719
1824 874140.5411527262
1865 875516.4154739466
1895 875752.6815771816
1901 875890.8896928090
1903 875977.6930010404
1910 876420.4165683866
1939 877167.8809900221
1959 877976.9790099922
2000 878536.5171577234
2015 879301.5165823611
2021 879407.1469596371
2030 879462.6085301150
2038 880803.8951968580
2084 881484.6014386255
2110 881717.5160990981
2114 881740.7274773789
2133 882485.6786722702
2137 882678.8969047380
2142 882987.9733243875
2164 883794.5517728234
2175 883830.9367566715
2190 884832.5886419873
2201 884858.0627390748
2221 884999.6300331759
2223 885062.3700268080
2228 886208.8507261391
2232 886969.4270164977
2273 887077.8709763510
2275 888271.9449593698
2282 888642.4904236230
2305 888978.1847608639
2344 889090.0353651316
2358 891444.5712440631
2388 893482.0582612496
2461 893921.9672669779
2463 894011.4654293281
2475 895426.2256824522
2503 895532.9998576777
2506 897351.7183679113
2544 897748.9675499378
2546 898267.7592648707
2592 898269.2347027051
2593 898823.5550891743
2622 899377.5172902752
2626 899796.3451644861
2644 900258.8623525174
2665 902777.7316504981
2719 902855.7150279608
2747 903213.7361667585
2758 903489.3058813929
2763 903696.6534102150
2775 904012.6172525825
2779 905142.3747685082
2793 905794.4120119618
2819 906554.3461510839
2830 906711.6587419574
2838 907152.1661087617
2863 910496.5136556306
2915 912453.6130008268
2946 913641.6619808160
2974 913756.7113471300
2983 915053.9367702544
3030 915437.8549520011
3047 916118.5153847812
3070 916254.6994817291
3072 916428.7629393092
3081 916656.8795760297
3104 916751.2382119749
3117 917280.7345303183
3128 917431.5636040241
3130 918074.7670850653
3141 918494.9542263836
3148 919014.4386696845
3171 919034.9378575869
3181 919251.5708795887
3184 921200.9365983200
3199 921677.6496776259
3221 921681.3409854433
3225 922717.6649220820
3242 922745.0603599048
3257 923746.2473092880
3291 924742.9837148382
3304 926000.2572885251
3340 928115.4031880622
3386 929162.0429672867
3401 930236.5437280536
3424 930524.4446139127
3428 930740.7900664615
3432 931713.3219469159
3472 932098.4633720261
3475 933274.2595428837
3493 933959.4231136261
3511 934640.2234201296
3529 934927.7339697204
3546 934934.9515399791
3555 935459.4227656496
3582 936804.7893677795
3616 937683.0012683739
3622 937928.0803709020
3623 939028.6841722478
3634 939062.3320027369
3662 941160.6121194984
3701 942434.9650516321
3712 942927.7554800159
3749 943157.3946858071
3782 944094.3190688690
3793 944639.9000809920
3821 944713.4231031238
3828 945236.4243952530
3831 945523.3943675221
3833 945805.3946250873
3855 945844.4314576817
3863 946681.4072592683
3879 947451.6653962381
3907 948289.6241472521
3912 948765.1765814134
3944 948840.4255727067
3947 948861.2478045076
3952 948881.0490600361
3954 949581.9343137114
3972 949786.9138521709
3981 950588.3392772435
3995 951351.7529401815
4022 951505.1002791346
4035 952043.7215690189
4044 952163.4942047806
4067 953518.2308130431
4101 955550.3958135342
4147 955725.6116595335
4153 956167.2581496072
4169 956903.9173961456
4182 957645.2438959129
4230 957791.8079584303
4232 958963.9146858003
4264 959038.3925805688
4276 960111.1461425140
4318 960411.9992246075
4324 961838.2817533384
4365 962077.3761257115
4382 962273.6273069638
4384 962396.0640616685
4400 962475.1618280209
4408 963489.1186179327
4424 963786.9156038685
4453 964030.8588949086
4462 965248.8364122642
4512 965423.4876964695
4519 965769.9331351382
4534 967442.2106297857
4565 968214.0914922525
4610 969037.8814037438
4624 969710.9236123606
4628 971050.7750253049
4683 971672.2323841538
4688 971741.8183840011
4702 974077.9085895317
4777 975019.8577842565
4808 976461.0485629563
4827 976710.4846588159
4862 977263.9082304968
4867 978553.3866669799
4869 979108.6502592269
4901 979717.3936297274
4944 979880.3388319630
4946 979883.1997199884
4948 980717.6905340650
4966 980954.0980074856
4978 981164.8971498471
5001 981231.0178287460
5012 981990.9646734218
5025 982201.5252289431
5028 982236.9832903621
5029 982307.6760438143
5034 982413.4736518404
5055 982971.7896396645
5057 983051.0583693495
5062 984041.5349491842
5068 984201.0505579181
5116 984615.6495438534
5118 984918.8175266564
5124 985307.8331125091
5146 986399.8052298526
5182 988353.6037199470
5197 988532.1201890770
5209 989650.2274005880
5225 990003.6817856386
5234 990222.5879043920
5263 991022.1233608288
5277 991884.7971403435
5302 992061.7332163271
5311 992803.6577370357
5335 992845.1455146649
5342 993238.5623464662
5343 993253.1817292764
5346 993875.8923678497
5348 994194.7757670790
5369 994318.2416268116
5382 994740.8659110325
5383 994915.3058633406
5410 995160.7217691701
5423 995274.4050198038
5428 995539.9523706795
5430 995820.1075000257
5460 996759.9329722004
5471 998718.3933866110
5525 998871.9300757776
5547 998967.4214412267
5549 999058.1831035959
5553 999587.2479176949
5584 1000170.5369556247
5622 1000492.3601067384
5626 1000829.0456776089
5664 1002127.8443371805
5704 1002288.4408713582
5716 1002490.8615417130
5722 1002801.8421153070
5743 1003501.1448807489
5754 1003517.1301892723
5789 1004054.6243835713
5811 1004222.0804601912
5815 1005016.8626191100
5826 1005416.6384770825
5861 1005440.5962409684
5864 1005741.3679986679
5870 1005808.7083295071
5872 1006031.0034676761
5883 1006172.9242005572
5887 1007027.0450663854
5897 1007166.7724271379
5901 1007360.2292298811
5911 1008935.5628560415
5943 1008945.6507911358
5947 1009685.0383197231
5968 1010068.8492489046
5987 1011237.0101120558
5997 1012198.1674752407
6035 1012616.4319427097
6066 1013697.8672482350
6103 1014123.5949931240
6108 1014364.1687299304
6143 1015365.2514309529
6160 1016007.9653656243
6186 1017525.6947043304
6224 1019879.9820307476
6265 1020891.3408448090
6302 1020928.2811565992
6316 1021527.9728518350
6341 1021752.6009634313
6346 1021867.0033797831
6353 1022191.7163312013
6382 1022254.8011315661
6403 1022455.9149441310
6406 1022857.1695674524
6432 1023180.7092208938
6433 1023584.9881140161
6440 1023592.8099627389
6442 1023978.9939702116
6462 1025490.8546548921
6504 1025845.7101049798
6512 1025899.6846671626
6516 1025901.2170352901
6523 1026166.5038259933
6542 1026442.8416434996
6544 1026623.5926795087
6548 1026808.6349443876
6561 1027295.2044006906
6584 1028413.6514185995
6595 1028692.0891193313
6622 1028778.3794445207
6627 1028898.1420444766
6633 1029088.0538114246
6650 1029766.0480461322
6661 1029908.2541040984
6665 1030635.1112016775
6700 1031069.6568394215
6707 1032270.8533712935
6721 1032712.2509858593
6747 1033343.6677195720
6764 1033763.2819897847
6767 1033939.4913946132
6783 1034239.8153789366
6798 1034357.1279190825
6808 1034962.4996883000
6823 1035913.6852195696
6829 1035916.4697071855
6842 1036048.6725972049
6861 1037915.1683599054
6909 1038862.5494513442
6927 1039121.0122070101
6942 1039397.5610764748
6950 1039910.3573912744
6983 1040611.1629189745
7008 1040945.8906836957
7022 1042948.2814939622
7069 1043036.4982680373
7089 1043046.2870850837
7106 1043856.4069254212
7123 1044319.5831750321
7125 1044563.4986460803
7143 1044679.1103068079
7153 1045666.1788649260
7180 1045722.8156145164
7181 1046715.2000837070
7215 1047092.3897436893
7224 1047398.7644823693
7258 1047651.9190024277
7265 1047995.5130802365
7271 1048234.5682231255
7307 1049328.8289415685
7339 1049372.1871141423
7341 1049846.5613181959
7352 1049855.7142382700
7360 1050541.5115235839
7366 1051029.0427963678
7418 1051212.5440731242
7422 1052287.2904508258
7466 1052673.4382578244
7468 1053331.9173731902
7480 1053347.2047353222
7497 1053520.3269062107
7503 1053535.3782609559
7507 1053711.9793801350
7519 1053972.5576601285
7521 1054085.7544809645
7528 1054504.7022128196
7542 1054636.2015205054
