evaluations raw_y
1 1.0660980810
4 1.2036591237
8 1.2083131948
11 1.2787723785
19 1.6972165648
80 2.1385799829
6624 2.1496130696
16016 2.1834061135
22164 2.1949078139
23262 2.2261798753
80927 2.2999080037
84585 2.3518344309
100000 0.8570449092
evaluations raw_y
1 1.0092854259
2 1.0535187526
3 1.1887779363
5 1.3276686139
18 1.4611338399
71 1.5346838551
96 1.7349063151
454 1.7895490336
1061 1.9364833462
5293 1.9857029388
11370 2.0610057708
32295 2.0850708924
46941 2.1312872975
60203 2.1987686895
100000 0.9345794393
evaluations raw_y
1 1.2130033964
4 1.4801657786
10 1.9157088123
239 1.9794140934
853 2.0308692120
5520 2.1204410517
12899 2.2143489814
87290 2.4727992087
100000 1.3319126265
evaluations raw_y
1 1.1410314925
2 1.2787723785
5 1.3819789939
17 1.3881177124
24 1.4889815366
63 1.5556938395
86 1.6181229773
102 1.6744809109
264 1.7182130584
445 1.7998560115
1153 1.9394879752
2153 1.9700551615
2844 1.9794140934
9120 2.0542317173
13242 2.1496130696
15193 2.1682567216
22938 2.2143489814
46319 2.3342670401
100000 0.9582215408
evaluations raw_y
1 1.6655562958
70 1.7111567420
619 1.7972681524
959 1.8234865062
994 1.8754688672
1106 1.9546520719
1221 1.9700551615
2440 1.9762845850
4488 2.0341741253
7546 2.0746887967
31872 2.5075225677
100000 0.6475006475
evaluations raw_y
1 1.2632642749
5 1.3789299504
7 1.4801657786
8 1.6307893020
60 1.6722408027
374 1.9762845850
3013 2.0112630732
4774 2.1168501270
27507 2.2381378693
100000 1.1568718186
evaluations raw_y
1 1.0199918401
2 1.2973533991
27 1.5954052329
337 1.7793594306
1562 1.9425019425
1607 2.4679170780
100000 1.2189176012
evaluations raw_y
1 0.9402030839
2 1.2671059301
4 1.3319126265
20 1.4560279557
33 1.4889815366
70 1.7064846416
113 1.8504811251
1069 1.9516003123
3931 1.9577133908
4309 2.0542317173
24402 2.2831050228
31322 2.6680896478
100000 0.9324878777
evaluations raw_y
1 1.0499790004
3 1.4100394811
27 1.5537600994
66 1.5933715743
108 1.6035920462
182 1.8953752843
567 2.0408163265
7407 2.3212627669
100000 1.2177301510
evaluations raw_y
1 1.5673981191
107 1.8341892883
422 1.8422991894
1543 2.4630541872
100000 0.6862475981
