evaluations raw_y
1 0.0000000000
2 2.0000000000
11 4.0000000000
18 7.0000000000
416 8.0000000000
2388 9.0000000000
3153 11.0000000000
7023 12.0000000000
9244 14.0000000000
46525 17.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
3 3.0000000000
8 4.0000000000
38 7.0000000000
186 8.0000000000
275 10.0000000000
881 12.0000000000
1760 15.0000000000
63698 16.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
4 3.0000000000
107 5.0000000000
135 8.0000000000
495 10.0000000000
780 11.0000000000
1654 12.0000000000
2168 14.0000000000
79357 16.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
3 6.0000000000
36 7.0000000000
534 9.0000000000
2926 11.0000000000
12478 12.0000000000
14176 15.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
8 2.0000000000
24 5.0000000000
138 6.0000000000
340 10.0000000000
346 14.0000000000
12670 15.0000000000
100000 2.0000000000
evaluations raw_y
1 1.0000000000
3 3.0000000000
16 4.0000000000
51 6.0000000000
94 7.0000000000
116 9.0000000000
1499 10.0000000000
2276 11.0000000000
4925 12.0000000000
13851 13.0000000000
14099 14.0000000000
38997 15.0000000000
67008 17.0000000000
100000 2.0000000000
evaluations raw_y
1 3.0000000000
18 6.0000000000
258 7.0000000000
489 9.0000000000
1838 10.0000000000
9295 12.0000000000
11397 13.0000000000
73514 16.0000000000
94749 17.0000000000
100000 4.0000000000
evaluations raw_y
1 4.0000000000
3 5.0000000000
30 6.0000000000
121 7.0000000000
917 10.0000000000
2410 13.0000000000
18804 19.0000000000
100000 0.0000000000
evaluations raw_y
1 4.0000000000
78 5.0000000000
123 6.0000000000
490 8.0000000000
1878 11.0000000000
3247 13.0000000000
33526 15.0000000000
50438 17.0000000000
100000 2.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
8 5.0000000000
16 6.0000000000
118 7.0000000000
317 8.0000000000
440 11.0000000000
1934 12.0000000000
3428 15.0000000000
77378 19.0000000000
100000 2.0000000000
