evaluations raw_y
1 1.0158472166
3 1.0266940452
4 1.1057054401
5 1.2813941568
6 1.3041210224
7 1.3304949441
9 1.3758943313
12 1.4577259475
16 1.4766686356
17 1.6035920462
21 1.7743080199
25 1.7869907076
27 1.9334880124
28 2.1422450728
31 2.1987686895
32 2.2421524664
44 2.3474178404
46 2.3969319271
48 2.4582104228
53 2.6068821689
63 2.7502750275
72 2.8058361392
87 2.9868578256
101 3.1605562579
118 3.1685678074
177 3.2092426187
190 3.2175032175
227 3.2258064516
233 3.4482758621
100000 2.7685492802
evaluations raw_y
1 0.9869719700
2 1.0133765707
4 1.1195700851
5 1.1536686664
6 1.2130033964
7 1.2973533991
10 1.3068478829
20 1.3448090371
21 1.6611295681
23 1.6677785190
28 1.7301038062
30 1.7768301350
31 1.8587360595
37 1.9069412662
39 2.1026072330
59 2.2831050228
62 2.3212627669
66 2.9655990510
102 3.0303030303
111 3.0376670717
112 3.0450669915
247 3.0826140567
253 3.1210986267
278 3.1605562579
288 3.1847133758
316 3.2092426187
375 3.2341526520
432 3.3647375505
455 3.3921302578
465 3.4578146611
522 3.7593984962
530 3.7707390649
544 4.0257648953
100000 3.1289111389
evaluations raw_y
1 1.3506212858
2 1.3912075682
8 1.4148273911
9 1.4662756598
10 1.4819205691
11 1.6700066800
17 1.7325017325
18 1.8102824041
19 1.8896447468
22 2.0080321285
23 2.2026431718
27 2.4201355276
40 2.5746652935
47 2.6123301985
61 2.8184892897
69 2.8376844495
103 2.8571428571
146 2.9726516052
163 3.0826140567
165 3.0902348578
226 3.2594524120
227 3.5868005739
269 3.9370078740
360 3.9745627981
100000 3.3112582781
evaluations raw_y
1 1.3000520021
3 1.3041210224
9 1.4245014245
10 1.4560279557
11 1.5142337977
13 1.5654351910
28 1.7972681524
30 1.8155410312
36 2.0242914980
45 2.0341741253
59 2.0508613618
68 2.0542317173
72 2.1949078139
75 2.3562676720
86 2.4437927664
88 2.4875621891
103 2.5125628141
123 2.5278058645
131 2.5853154085
145 2.6680896478
154 2.7322404372
223 2.7624309392
227 2.7685492802
233 2.8506271380
263 2.8968713789
267 2.9308323564
394 2.9940119760
458 3.0750307503
481 3.0978934325
507 3.2341526520
566 3.2594524120
610 3.3377837116
638 3.9123630673
845 3.9246467818
1085 3.9619651347
1288 4.0518638574
100000 3.7481259370
evaluations raw_y
1 1.2456402591
2 1.4526438117
5 1.7135023989
15 1.7642907551
16 1.9011406844
30 1.9157088123
32 1.9245573518
37 2.0341741253
39 2.1570319241
48 2.2381378693
50 2.5329280648
55 2.6014568158
60 2.6399155227
61 2.7262813522
83 2.8571428571
106 2.9446407538
124 2.9797377831
125 3.0156815440
137 3.1605562579
420 3.2341526520
100000 2.9377203290
evaluations raw_y
1 1.2671059301
4 1.3137151865
6 1.3491635186
7 1.3653741125
8 1.5124016939
11 1.5792798484
13 1.6393442623
16 1.7568517217
18 1.7946877243
20 1.8450184502
22 1.9888623707
23 2.0177562550
30 2.0955574183
64 2.4727992087
76 2.5693730730
91 2.8441410694
105 2.9446407538
118 3.0978934325
128 3.2679738562
137 3.3288948069
143 3.3738191633
153 3.4013605442
166 3.4482758621
100000 2.9940119760
evaluations raw_y
1 1.0508617066
5 1.1547344111
6 1.3248542660
7 1.3943112103
8 1.4052838673
14 1.5051173992
15 1.5479876161
17 1.6265452180
21 1.6458196182
24 1.7253278123
29 1.8896447468
31 1.9334880124
38 2.0712510356
41 2.1987686895
47 2.2831050228
48 2.3474178404
65 2.4826216485
84 2.5380710660
97 2.6068821689
121 2.6343519494
126 2.7685492802
147 2.9868578256
263 3.0826140567
279 3.2175032175
283 3.3467202142
292 3.3738191633
310 3.4199726402
320 3.5063113604
322 3.7936267071
373 3.8520801233
414 3.8880248834
100000 3.3377837116
evaluations raw_y
1 0.7491759065
4 0.7814942169
6 0.8364001338
12 0.8380824673
14 0.8799718409
15 1.0020040080
16 1.1018069634
17 1.1047282369
19 1.1655011655
20 1.2025012025
23 1.2960082945
24 1.4052838673
25 1.4100394811
27 1.4645577036
33 1.4662756598
37 1.5403573629
38 1.7593244194
44 1.8341892883
46 1.9455252918
50 1.9794140934
53 2.1459227468
54 2.1720243267
65 2.2065313327
88 2.2747952684
94 2.4108003857
99 2.5125628141
102 2.5799793602
104 2.7085590466
117 2.7624309392
135 2.8058361392
173 2.9726516052
198 3.0674846626
225 3.2010243278
233 3.3112582781
287 3.5063113604
292 3.5561877667
315 3.6710719530
335 3.7037037037
100000 2.7262813522
evaluations raw_y
1 0.9900990099
3 1.0473397570
11 1.1296882061
14 1.1307100859
19 1.1990407674
20 1.3054830287
21 1.3347570742
22 1.4679976512
23 1.4979029359
24 1.5832805573
26 1.6611295681
28 1.7717930546
30 1.7946877243
33 1.8450184502
36 2.0408163265
39 2.1949078139
48 2.1987686895
67 2.2104332449
69 2.2222222222
76 2.2747952684
95 2.2789425706
114 2.2999080037
120 2.3041474654
122 2.4925224327
152 2.5380710660
153 2.5641025641
184 2.7027027027
190 2.7685492802
235 2.7746947836
261 2.8702640643
274 3.3738191633
100000 3.1289111389
evaluations raw_y
1 1.2013455070
2 1.2071463061
3 1.2201073694
4 1.3109596224
5 1.4164305949
6 1.4343086632
10 1.5051173992
11 1.5792798484
17 1.6350555919
22 1.6633399867
26 1.7349063151
28 1.8341892883
29 1.9334880124
32 2.0576131687
38 2.5588536336
41 2.5746652935
42 2.6343519494
47 2.6511134677
60 2.9446407538
135 2.9515938607
139 3.3025099075
156 3.6179450072
184 3.6284470247
207 3.7037037037
100000 2.6455026455
