evaluations raw_y
1 -0.4996770533
2 -0.4989876366
3 -0.4944250587
5 -0.4932326285
8 -0.4886064338
18 -0.4840070145
21 -0.4810140328
28 -0.4805743036
31 -0.4791945105
32 -0.4690173959
37 -0.4663632659
38 -0.4614317673
40 -0.4554395585
43 -0.4457191217
44 -0.4420495249
45 -0.4397885909
46 -0.4394570169
48 -0.4387609661
49 -0.4313322294
52 -0.4275417975
59 -0.4271409834
64 -0.4259004498
71 -0.4122808242
83 -0.4087937667
84 -0.4081771844
85 -0.4026514723
86 -0.4026430872
88 -0.3976890986
112 -0.3936238337
124 -0.3901442792
127 -0.3845989499
130 -0.3740759514
141 -0.3735060674
145 -0.3728744304
164 -0.3721334130
173 -0.3615595749
177 -0.3605585345
182 -0.3562143140
202 -0.3527740248
212 -0.3454915423
220 -0.3389581392
236 -0.3328630919
260 -0.3256426455
269 -0.3230805703
297 -0.3163902559
298 -0.3159101359
794 -0.3157032264
873 -0.3118185458
100000 -0.3156089778
evaluations raw_y
1 -0.5003045833
5 -0.4941658387
7 -0.4935122736
9 -0.4924656694
12 -0.4861769709
13 -0.4821238898
14 -0.4761961678
15 -0.4727558786
16 -0.4722261359
19 -0.4674146044
27 -0.4630928729
28 -0.4625229889
29 -0.4620428689
30 -0.4567339929
31 -0.4520390654
32 -0.4490601365
33 -0.4410637036
35 -0.4397431410
39 -0.4380322455
40 -0.4370312051
41 -0.4328248605
45 -0.4327677977
47 -0.4315753676
49 -0.4303081067
50 -0.4277589202
54 -0.4239933783
55 -0.4210269516
56 -0.4202488600
61 -0.4171561529
66 -0.4148767045
68 -0.4148683194
70 -0.4106947996
80 -0.4083678221
83 -0.4001184420
90 -0.3953450545
101 -0.3915254971
103 -0.3853608354
118 -0.3841000394
128 -0.3818382527
143 -0.3741590606
148 -0.3642407621
154 -0.3620188816
177 -0.3599061307
189 -0.3530623237
194 -0.3486971380
201 -0.3483730997
220 -0.3438287673
241 -0.3428197554
280 -0.3415894653
285 -0.3370755777
324 -0.3281963833
334 -0.3274340855
360 -0.3251263351
363 -0.3227622477
386 -0.3221456655
512 -0.3206716709
100000 -0.3233258009
evaluations raw_y
1 -0.5259707903
2 -0.5204798836
4 -0.5117251491
7 -0.5070946670
13 -0.5059022369
14 -0.4988718582
15 -0.4965304027
16 -0.4942034252
17 -0.4866824516
19 -0.4786599050
22 -0.4719348679
23 -0.4717675405
27 -0.4701568429
31 -0.4670460536
34 -0.4577163259
37 -0.4570202751
39 -0.4464240614
40 -0.4305314571
44 -0.4256178877
45 -0.4242709469
49 -0.4232619351
53 -0.4205956517
54 -0.4080055159
60 -0.4077155775
62 -0.4020175384
65 -0.3982212611
67 -0.3969681575
73 -0.3924542699
75 -0.3918843860
76 -0.3905638234
83 -0.3819366175
85 -0.3762189802
88 -0.3757388602
95 -0.3707848716
100 -0.3693108771
104 -0.3671688955
105 -0.3665523132
115 -0.3608498290
124 -0.3601088117
126 -0.3544635329
128 -0.3526605805
137 -0.3455427246
140 -0.3375633891
163 -0.3372318151
170 -0.3359603068
173 -0.3347300166
174 -0.3267335837
182 -0.3226805026
191 -0.3204753882
349 -0.3151161924
465 -0.3051978939
100000 -0.3097117815
evaluations raw_y
1 -0.5362455523
3 -0.5295471890
4 -0.5280731945
7 -0.5242934474
9 -0.5193401849
11 -0.5096269279
12 -0.5065792630
18 -0.4980652406
20 -0.4917765421
26 -0.4892144669
27 -0.4857517082
29 -0.4845111746
35 -0.4710403953
40 -0.4705602753
42 -0.4679197493
48 -0.4668440418
52 -0.4653225034
53 -0.4612572385
55 -0.4562456110
56 -0.4553831000
57 -0.4490054567
59 -0.4441939252
60 -0.4376686550
62 -0.4363217142
66 -0.4298700828
67 -0.4272533503
71 -0.4184051238
76 -0.4064275187
85 -0.4026634257
87 -0.4005214441
93 -0.3836720454
98 -0.3782438578
102 -0.3770514276
108 -0.3708472689
115 -0.3622138347
120 -0.3581306152
122 -0.3554643319
123 -0.3518860386
138 -0.3470110323
141 -0.3463944500
151 -0.3408687380
158 -0.3396156344
159 -0.3373078840
170 -0.3311432222
274 -0.3248551699
432 -0.3222010399
100000 -0.3288076846
evaluations raw_y
1 -0.5265796214
3 -0.5228581578
4 -0.5193478200
5 -0.5167162896
7 -0.5150557976
9 -0.5057260699
11 -0.5050678153
13 -0.4943250394
15 -0.4886822410
17 -0.4806790956
21 -0.4677090214
22 -0.4619913842
24 -0.4594421978
25 -0.4557286516
29 -0.4550326007
34 -0.4543661243
37 -0.4441890097
38 -0.4394546172
39 -0.4389938185
43 -0.4384239345
49 -0.4350892255
53 -0.4332650853
56 -0.4230282928
57 -0.4207013153
61 -0.4142496840
62 -0.4076043587
80 -0.4073528199
85 -0.4049887326
87 -0.4009234677
90 -0.3999224273
91 -0.3989134155
97 -0.3935502660
101 -0.3922971625
103 -0.3865991234
105 -0.3843940090
113 -0.3765563462
114 -0.3753260560
116 -0.3738045176
118 -0.3638862191
124 -0.3537870905
126 -0.3484022118
131 -0.3482758063
136 -0.3434642749
138 -0.3397001819
139 -0.3389591646
144 -0.3341857770
163 -0.3288661412
174 -0.3282495589
192 -0.3249444526
215 -0.3245298072
222 -0.3195185833
325 -0.3134235361
337 -0.3056107182
423 -0.3051305982
490 -0.3051222131
100000 -0.3073273275
evaluations raw_y
1 -0.5173817626
4 -0.5151238327
6 -0.5120761677
9 -0.5066479801
10 -0.4897035608
11 -0.4843046189
16 -0.4776143045
18 -0.4639946789
21 -0.4572963157
23 -0.4566068990
24 -0.4533566782
25 -0.4461362317
26 -0.4460791689
27 -0.4457730421
28 -0.4390305475
35 -0.4369675146
36 -0.4303152893
40 -0.4289947268
41 -0.4266869763
52 -0.4166572601
68 -0.4132169709
75 -0.4070128122
83 -0.3984987897
84 -0.3880101076
88 -0.3847072270
89 -0.3774574181
91 -0.3761966221
93 -0.3664761852
94 -0.3654914683
101 -0.3568642623
108 -0.3528111813
119 -0.3497184741
123 -0.3448176380
125 -0.3425381896
135 -0.3372185538
147 -0.3354156014
150 -0.3319528427
165 -0.3301814637
204 -0.3271976642
212 -0.3233129836
214 -0.3167795805
218 -0.3079003861
229 -0.3071593687
238 -0.3062313738
260 -0.3062229887
318 -0.3040810071
322 -0.3022099878
369 -0.3015934056
100000 -0.3023952466
evaluations raw_y
1 -0.4595346325
3 -0.4492978400
4 -0.4443663414
6 -0.4424209502
9 -0.4401415018
11 -0.4389009682
14 -0.4334838468
15 -0.4316808944
17 -0.4281026011
20 -0.4220614838
25 -0.4213654330
26 -0.4118810763
29 -0.4092269463
31 -0.3987039477
33 -0.3939695551
36 -0.3875179238
37 -0.3840308662
39 -0.3840224811
40 -0.3816583937
41 -0.3794532793
42 -0.3756030555
45 -0.3749864732
48 -0.3737149649
54 -0.3687617024
70 -0.3669375622
74 -0.3607729005
94 -0.3595056395
95 -0.3533014808
107 -0.3454638180
118 -0.3447228007
126 -0.3443809716
156 -0.3386784874
196 -0.3382638420
260 -0.3344997490
263 -0.3327283700
274 -0.3294030126
444 -0.3248891250
499 -0.3200141187
532 -0.3184925803
541 -0.3178261039
584 -0.3168170920
627 -0.3101267777
666 -0.3094732126
707 -0.3082429224
100000 -0.3101189609
evaluations raw_y
1 -0.5139871305
4 -0.5099141865
5 -0.5095901482
10 -0.5029448230
16 -0.4920693509
20 -0.4885897964
25 -0.4880199124
30 -0.4862974818
31 -0.4853755942
33 -0.4801676659
38 -0.4745248676
39 -0.4740498442
43 -0.4714613603
50 -0.4702310702
54 -0.4695416535
59 -0.4647301220
61 -0.4622224791
64 -0.4535952732
69 -0.4472176299
71 -0.4468696728
