evaluations raw_y
1 2529.0000000000
2 2546.0000000000
3 2605.0000000000
4 2667.0000000000
5 2688.0000000000
6 2745.0000000000
10 2775.0000000000
12 2855.0000000000
14 2873.0000000000
16 2951.0000000000
19 3030.0000000000
27 3064.0000000000
33 3065.0000000000
34 3153.0000000000
37 3209.0000000000
40 3262.0000000000
42 3287.0000000000
45 3357.0000000000
48 3379.0000000000
50 3452.0000000000
52 3461.0000000000
53 3533.0000000000
70 3582.0000000000
79 3682.0000000000
83 3765.0000000000
85 3811.0000000000
89 3895.0000000000
105 3910.0000000000
121 3942.0000000000
129 4033.0000000000
135 4088.0000000000
137 4125.0000000000
139 4139.0000000000
144 4197.0000000000
147 4262.0000000000
150 4288.0000000000
151 4319.0000000000
157 4406.0000000000
158 4504.0000000000
161 4600.0000000000
180 4686.0000000000
195 4702.0000000000
201 4768.0000000000
232 4822.0000000000
235 4834.0000000000
238 4874.0000000000
239 4969.0000000000
252 5050.0000000000
100000 4981.0000000000
evaluations raw_y
1 2706.0000000000
2 2736.0000000000
4 2754.0000000000
6 2835.0000000000
7 2912.0000000000
8 2962.0000000000
9 3018.0000000000
10 3101.0000000000
13 3187.0000000000
15 3269.0000000000
17 3308.0000000000
18 3359.0000000000
19 3433.0000000000
24 3517.0000000000
28 3557.0000000000
32 3578.0000000000
33 3648.0000000000
38 3654.0000000000
41 3750.0000000000
46 3773.0000000000
49 3789.0000000000
52 3824.0000000000
56 3869.0000000000
63 3897.0000000000
65 3900.0000000000
80 3914.0000000000
82 3976.0000000000
84 4037.0000000000
89 4089.0000000000
90 4099.0000000000
93 4177.0000000000
95 4243.0000000000
96 4256.0000000000
97 4299.0000000000
98 4333.0000000000
104 4408.0000000000
112 4505.0000000000
125 4553.0000000000
136 4561.0000000000
139 4618.0000000000
149 4718.0000000000
222 4735.0000000000
233 4767.0000000000
247 4866.0000000000
263 4870.0000000000
290 4894.0000000000
352 4979.0000000000
423 5050.0000000000
100000 4979.0000000000
evaluations raw_y
1 2554.0000000000
2 2577.0000000000
3 2616.0000000000
4 2699.0000000000
9 2777.0000000000
10 2822.0000000000
11 2886.0000000000
14 2981.0000000000
16 3051.0000000000
17 3112.0000000000
20 3142.0000000000
21 3232.0000000000
26 3319.0000000000
28 3410.0000000000
31 3417.0000000000
32 3499.0000000000
42 3540.0000000000
45 3611.0000000000
46 3630.0000000000
50 3682.0000000000
51 3733.0000000000
53 3814.0000000000
54 3912.0000000000
58 3984.0000000000
64 4078.0000000000
67 4083.0000000000
69 4120.0000000000
72 4134.0000000000
76 4230.0000000000
85 4231.0000000000
90 4291.0000000000
99 4297.0000000000
106 4318.0000000000
108 4350.0000000000
111 4418.0000000000
126 4517.0000000000
133 4596.0000000000
141 4685.0000000000
146 4711.0000000000
148 4769.0000000000
153 4780.0000000000
173 4866.0000000000
214 4893.0000000000
258 4908.0000000000
280 4924.0000000000
287 4944.0000000000
423 4975.0000000000
604 5050.0000000000
100000 5027.0000000000
evaluations raw_y
1 2846.0000000000
2 2856.0000000000
3 2948.0000000000
7 3032.0000000000
8 3039.0000000000
11 3079.0000000000
16 3137.0000000000
20 3180.0000000000
21 3194.0000000000
24 3235.0000000000
26 3253.0000000000
27 3344.0000000000
33 3394.0000000000
37 3398.0000000000
41 3447.0000000000
43 3516.0000000000
46 3527.0000000000
47 3587.0000000000
56 3633.0000000000
63 3659.0000000000
64 3678.0000000000
65 3680.0000000000
66 3718.0000000000
71 3783.0000000000
76 3827.0000000000
79 3905.0000000000
83 3936.0000000000
85 4032.0000000000
86 4084.0000000000
91 4167.0000000000
92 4231.0000000000
94 4265.0000000000
95 4295.0000000000
108 4380.0000000000
111 4439.0000000000
115 4462.0000000000
132 4559.0000000000
141 4568.0000000000
147 4613.0000000000
152 4701.0000000000
155 4758.0000000000
156 4785.0000000000
157 4827.0000000000
289 4889.0000000000
371 4901.0000000000
391 4973.0000000000
510 5021.0000000000
531 5050.0000000000
100000 4976.0000000000
evaluations raw_y
1 2741.0000000000
2 2751.0000000000
4 2848.0000000000
5 2937.0000000000
6 3020.0000000000
8 3088.0000000000
10 3186.0000000000
13 3270.0000000000
15 3342.0000000000
17 3380.0000000000
19 3455.0000000000
21 3498.0000000000
24 3591.0000000000
26 3613.0000000000
28 3662.0000000000
29 3710.0000000000
30 3730.0000000000
33 3801.0000000000
34 3830.0000000000
40 3916.0000000000
42 3925.0000000000
45 4007.0000000000
46 4041.0000000000
55 4056.0000000000
59 4109.0000000000
62 4140.0000000000
84 4180.0000000000
91 4193.0000000000
98 4266.0000000000
104 4280.0000000000
106 4326.0000000000
120 4342.0000000000
124 4378.0000000000
132 4430.0000000000
141 4497.0000000000
151 4542.0000000000
169 4605.0000000000
179 4686.0000000000
243 4714.0000000000
284 4794.0000000000
286 4856.0000000000
321 4912.0000000000
327 4929.0000000000
351 4999.0000000000
492 5018.0000000000
541 5050.0000000000
100000 5037.0000000000
evaluations raw_y
1 2324.0000000000
2 2415.0000000000
3 2439.0000000000
5 2449.0000000000
8 2450.0000000000
10 2524.0000000000
12 2576.0000000000
13 2589.0000000000
14 2640.0000000000
16 2709.0000000000
17 2749.0000000000
18 2798.0000000000
20 2898.0000000000
23 2907.0000000000
27 2968.0000000000
28 2999.0000000000
30 3043.0000000000
31 3128.0000000000
34 3210.0000000000
36 3252.0000000000
37 3268.0000000000
38 3321.0000000000
39 3323.0000000000
47 3351.0000000000
50 3430.0000000000
54 3441.0000000000
55 3458.0000000000
57 3553.0000000000
58 3636.0000000000
59 3654.0000000000
62 3686.0000000000
64 3690.0000000000
66 3736.0000000000
67 3808.0000000000
68 3835.0000000000
70 3860.0000000000
77 3894.0000000000
82 3988.0000000000
89 4063.0000000000
94 4136.0000000000
99 4206.0000000000
101 4211.0000000000
120 4282.0000000000
127 4317.0000000000
131 4398.0000000000
135 4413.0000000000
140 4434.0000000000
145 4482.0000000000
146 4538.0000000000
149 4601.0000000000
157 4621.0000000000
158 4666.0000000000
176 4688.0000000000
180 4707.0000000000
188 4771.0000000000
288 4868.0000000000
318 4958.0000000000
415 5050.0000000000
100000 4984.0000000000
evaluations raw_y
1 3108.0000000000
6 3113.0000000000
12 3180.0000000000
13 3253.0000000000
14 3285.0000000000
15 3306.0000000000
16 3357.0000000000
20 3409.0000000000
23 3415.0000000000
24 3504.0000000000
26 3547.0000000000
29 3629.0000000000
32 3692.0000000000
34 3739.0000000000
37 3754.0000000000
38 3782.0000000000
41 3791.0000000000
43 3802.0000000000
44 3896.0000000000
45 3919.0000000000
47 4002.0000000000
48 4006.0000000000
61 4054.0000000000
62 4111.0000000000
78 4148.0000000000
79 4248.0000000000
83 4266.0000000000
90 4302.0000000000
94 4364.0000000000
101 4429.0000000000
106 4521.0000000000
111 4592.0000000000
112 4619.0000000000
118 4626.0000000000
133 4724.0000000000
139 4741.0000000000
146 4742.0000000000
151 4819.0000000000
157 4888.0000000000
167 4948.0000000000
201 5027.0000000000
280 5035.0000000000
351 5037.0000000000
382 5040.0000000000
431 5050.0000000000
100000 4980.0000000000
evaluations raw_y
1 1899.0000000000
3 1969.0000000000
8 2016.0000000000
9 2085.0000000000
10 2103.0000000000
12 2181.0000000000
13 2270.0000000000
14 2368.0000000000
17 2378.0000000000
18 2463.0000000000
19 2490.0000000000
20 2567.0000000000
22 2622.0000000000
24 2685.0000000000
27 2706.0000000000
36 2713.0000000000
37 2757.0000000000
40 2840.0000000000
41 2933.0000000000
42 2998.0000000000
43 3048.0000000000
44 3061.0000000000
45 3125.0000000000
47 3165.0000000000
50 3204.0000000000
52 3253.0000000000
57 3326.0000000000
58 3341.0000000000
59 3383.0000000000
63 3395.0000000000
65 3421.0000000000
67 3515.0000000000
68 3535.0000000000
74 3622.0000000000
78 3684.0000000000
87 3700.0000000000
88 3735.0000000000
91 3819.0000000000
94 3833.0000000000
96 3869.0000000000
97 3936.0000000000
99 4028.0000000000
100 4099.0000000000
101 4116.0000000000
102 4118.0000000000
109 4193.0000000000
111 4261.0000000000
115 4302.0000000000
128 4310.0000000000
135 4384.0000000000
145 4414.0000000000
154 4468.0000000000
155 4501.0000000000
168 4561.0000000000
200 4607.0000000000
207 4663.0000000000
211 4715.0000000000
230 4806.0000000000
247 4892.0000000000
257 4972.0000000000
263 5030.0000000000
409 5041.0000000000
444 5050.0000000000
100000 5030.0000000000
evaluations raw_y
1 2291.0000000000
2 2308.0000000000
3 2339.0000000000
4 2415.0000000000
9 2477.0000000000
12 2566.0000000000
13 2660.0000000000
15 2727.0000000000
18 2777.0000000000
22 2857.0000000000
24 2956.0000000000
26 2990.0000000000
27 3083.0000000000
28 3179.0000000000
30 3197.0000000000
31 3272.0000000000
35 3354.0000000000
37 3414.0000000000
41 3462.0000000000
43 3560.0000000000
46 3625.0000000000
47 3662.0000000000
48 3663.0000000000
53 3726.0000000000
54 3729.0000000000
55 3741.0000000000
59 3755.0000000000
61 3776.0000000000
71 3784.0000000000
74 3835.0000000000
83 3908.0000000000
85 3966.0000000000
92 3998.0000000000
94 4084.0000000000
96 4130.0000000000
99 4187.0000000000
104 4228.0000000000
111 4319.0000000000
113 4400.0000000000
115 4479.0000000000
136 4484.0000000000
143 4556.0000000000
158 4560.0000000000
165 4586.0000000000
180 4639.0000000000
194 4703.0000000000
195 4732.0000000000
199 4739.0000000000
215 4786.0000000000
246 4838.0000000000
258 4906.0000000000
273 4916.0000000000
296 4943.0000000000
368 4971.0000000000
445 5011.0000000000
1033 5050.0000000000
100000 5043.0000000000
evaluations raw_y
1 2602.0000000000
2 2646.0000000000
6 2649.0000000000
7 2724.0000000000
8 2797.0000000000
9 2876.0000000000
13 2952.0000000000
16 3009.0000000000
17 3022.0000000000
24 3108.0000000000
27 3110.0000000000
29 3139.0000000000
31 3233.0000000000
35 3289.0000000000
36 3306.0000000000
39 3360.0000000000
40 3405.0000000000
43 3476.0000000000
44 3480.0000000000
45 3533.0000000000
48 3543.0000000000
50 3608.0000000000
51 3622.0000000000
57 3718.0000000000
58 3801.0000000000
64 3861.0000000000
68 3927.0000000000
73 3959.0000000000
74 3987.0000000000
89 3992.0000000000
91 4079.0000000000
96 4121.0000000000
100 4171.0000000000
101 4214.0000000000
104 4232.0000000000
114 4322.0000000000
134 4390.0000000000
136 4487.0000000000
144 4507.0000000000
152 4562.0000000000
160 4585.0000000000
166 4680.0000000000
179 4780.0000000000
182 4814.0000000000
234 4833.0000000000
236 4881.0000000000
270 4914.0000000000
286 4921.0000000000
298 4943.0000000000
377 4989.0000000000
