evaluations raw_y
1 -2851.0000000000
2 -1871.8278010644
3 -1322.5559613334
6 -628.5762587959
8 143.5842228294
18 1718.2262462461
23 2755.5418858026
31 3265.7389625928
33 3887.5524848329
43 4012.9835107239
44 4361.4169947570
47 5040.1076498900
49 6716.7495881211
52 6940.2624584810
53 9710.5071434695
61 10531.0858947247
63 11413.2540882377
64 11841.8622389887
73 12112.6568093309
86 12977.3350683126
96 13892.4412255772
104 14057.4945374796
122 14346.4221036801
123 14895.5999784557
164 14970.8158319821
165 15388.6943574903
166 15856.6252155528
170 15964.5312196913
179 16156.6188233215
191 16251.0646117562
203 16339.2407717012
218 17023.1146209623
242 17165.2441195912
246 18610.1988414790
250 19214.6356723797
261 20885.1652799021
265 20991.9266276043
286 21972.5269708392
294 22343.9451826334
359 22736.8402481929
378 23535.8906813075
383 23914.2571723227
420 24328.7457932251
422 25074.2408893834
424 25770.2994709597
551 27656.6906713727
556 28186.9620562267
560 28408.9164609235
567 29020.3682054784
568 29640.3378846456
578 30303.8864669124
592 31130.0771693878
598 31701.6703315197
643 32802.7313333602
715 33624.7639138654
786 33691.1284289189
833 33870.0713818366
834 34031.4936053418
844 35607.7374336712
879 35671.0780389088
935 36552.4523354907
955 36892.7388582523
999 37672.3465950870
1099 38592.7242541530
1131 38863.5672111625
1143 39121.3854120741
1189 39363.8813674059
1199 39739.3724162348
1208 40529.8295007295
1249 40682.0158611937
1279 41371.5134167170
1351 41535.2335378519
1366 42251.5836308734
1419 42591.2983906789
1442 42915.3955407187
1476 43144.3239396202
1532 43463.4871969708
1547 44151.8019423750
1576 47389.6425005102
1709 47398.5060080897
1733 47473.9634802223
1759 48147.0680650129
1764 48285.1626777962
1944 49050.6526733588
1970 49163.8577834715
2021 50858.6949022899
2037 51451.9124085697
2049 52012.1150723238
2075 52092.6522420511
2076 52098.2638628004
2079 52566.0171532744
2124 53903.3442639481
2142 54252.2912917587
2146 54755.4687634242
2202 56483.2780266418
2270 57389.6957017798
2278 57604.9281315217
2282 58299.3625601364
2291 58437.7414380571
2294 59750.0945199320
2438 59895.3581760897
2454 60229.7164901830
2474 60819.7066982142
2494 61075.5265381873
2600 61920.0315450520
2626 62230.9597937454
2766 63098.7152213235
2811 63874.0482883966
2833 64624.0278315120
2937 65142.3269609222
3044 65208.9248258487
3076 65760.4462702242
3184 65877.6237250043
3198 66481.0339850411
3204 67421.2965715235
3220 68283.8858027967
3390 68976.2893673226
3432 70977.5927369202
3462 71820.9153815359
3487 71948.1876143707
3714 71949.7008136175
3773 73298.8675906078
3801 73747.3568467029
3802 74130.1686993625
3907 74351.7591860781
3938 75311.8129266554
4078 76985.7793144357
4190 77331.8068977507
4200 78137.8750494394
4233 78703.9336367029
4254 79135.3374279942
4292 79252.5185591963
4349 80071.7608384744
4443 81295.5560988091
4620 81617.6622636981
4787 82087.9709571725
4929 82553.6519854530
5073 82936.3279119980
5084 83186.0385146285
5085 83709.9529771145
5121 83789.5130293973
5175 83912.3612611445
5271 84218.9725875510
5406 85349.2682092784
5644 87340.5185324318
6021 88829.1117484788
6079 89484.3553989611
6130 89708.9667511788
6238 91341.3073837165
6325 92871.3220726787
6349 94142.7784799969
6439 94298.1070182660
6493 94842.6079083015
6525 95121.5531065697
6563 96408.0314929274
6698 97134.8361699496
6751 97955.1515847585
6844 99915.1974863070
6948 100350.4501325289
7466 101611.8268284455
7553 102602.7645516842
7589 103319.9555250644
7649 103484.0850199813
7785 103548.4988045568
7834 104177.6018655359
7859 104941.3723899411
7938 106626.6644462288
8171 106653.0212146543
8468 107202.7200307085
8525 107492.2113768003
8529 108174.4059953505
8693 109243.0733450297
8785 109564.9184950190
8848 111165.2066056879
8912 111322.7471458403
8994 112111.8448752025
9003 113299.0967447064
9008 113704.3790622905
9021 115055.4737343896
9329 116037.4908667271
9383 116135.0991500007
9391 116618.5079731704
9479 117402.2911497100
9628 118288.6029467645
9669 118391.1766265494
9826 118536.0075120940
9831 119131.9994610164
9885 119387.3615884157
9910 120306.6349986127
9972 121608.7876526488
9984 123087.9628441220
10000 40697.9178084828
evaluations raw_y
1 -2851.0000000000
2 -1249.1319824369
3 332.5804056035
7 1570.8652617839
9 1654.4470437787
10 1825.9584995874
14 2532.0062456150
20 2712.5063558028
22 2878.3506740607
28 2899.8654177800
30 3904.9630925540
34 4045.4921650269
37 4880.2397683716
38 6003.9125829682
41 7377.6141041014
52 7632.4660072342
74 9085.6058812249
87 9383.2627299594
96 10654.3315637649
106 12930.4145116295
113 15150.6435163872
193 15469.6851199582
221 16686.8300263014
243 16896.6003394829
245 18219.6448019573
246 18600.4692057503
267 20354.2313930945
269 20790.3139078470
276 21572.8934527019
281 21701.5250752927
285 23235.9021376889
305 23426.2268852947
400 24295.2540475770
410 24574.8960185208
422 25670.1352095738
424 26445.7655695048
453 27068.2176588799
471 27920.6914098434
479 28850.7023324613
509 29847.9492309940
524 30866.6772932286
561 31528.1221505926
641 31736.8771787133
645 31743.5701262644
691 31819.1564198482
705 32909.7275392105
755 33608.5337328575
789 34413.2053978873
817 34485.1453686024
827 34841.3437019364
832 35313.6109953534
906 35379.9481079516
927 35685.8301562471
940 36797.3077686080
980 36825.0601449499
1015 37404.0877297442
1067 37701.7658634469
1174 38342.4935615892
1193 38904.0994374233
1258 39589.9723992583
1388 39995.1329693964
1445 40666.3835302515
1530 40810.4049809389
1540 40864.9484209346
1542 41917.5737014751
1667 42440.5247324527
1734 43809.2593071908
1743 44185.6978591944
1758 44742.8340211785
1797 44949.7046496321
1868 45463.8023213389
1893 45513.5343743674
1903 46855.0487487965
1966 47130.1592743885
1991 47651.6631139534
2070 47762.1550219472
2114 48507.0119691049
2127 50053.1806299935
2212 50186.9479682939
2224 51206.9842556472
2236 51298.7024616007
2296 52157.8096170095
2430 52221.0555749030
2449 52984.6696811632
2565 53133.4306864887
2566 53800.2731230704
2677 54427.6237593298
2721 55080.7151537144
2842 55558.2503240889
2867 56128.8539793771
2919 56559.1349976287
2967 57759.2414263449
3021 57796.7971928709
3040 58768.5992340623
3072 59194.1796389321
3169 59808.0704851015
3279 60108.7782717933
3282 62275.3026960567
3420 62538.7786742606
3457 62656.3637059679
3547 63246.5615702420
3571 64832.0943918585
3619 64903.5770548894
3620 66233.9205747439
3633 67644.7952549914
3673 68171.0610969535
3693 69733.9040710987
3791 70216.6484275865
3844 70541.2052604987
3894 71404.5193924951
3905 72807.6226357657
3980 74683.5517175157
4135 75431.9312493567
4171 76296.0876733656
4331 77167.6514325329
4384 77713.0656937610
4434 78302.9833343116
4440 79227.0166370581
4530 79946.3879379153
4580 80563.1334315835
4670 81000.3108586536
4674 81492.0813042829
4765 82170.0473970723
4781 82523.4029355915
4790 82993.4931268691
4873 84753.7699545237
5001 85049.6512545358
5082 85552.7074427839
5125 85863.3810223491
5130 86610.4477419690
5346 86628.1145027289
5353 86939.5014299730
5374 87705.3829493869
5455 88006.1275306450
5476 88068.7018572936
5568 89186.5332313323
5661 89840.5591830285
5865 90218.3466902258
5882 90368.4825002607
5911 90386.1957354539
5925 90681.8738571402
6045 90721.9185128516
6308 91308.5959104607
6319 91856.4369471719
6398 93042.8888274953
6533 93078.5661921430
6539 93122.5207006192
6874 94004.6217487314
6897 94736.0146621650
6919 94803.1828650089
6989 95201.3569997842
7102 95983.6330974418
7109 96919.5774294012
7114 97351.4375366299
7369 97744.0261238448
7555 97843.9501939614
7580 97895.0974499313
