evals,median,q25,q75
40,269.05794238412636,262.05793596885314,276.89489220521625
120,238.8251416243598,227.07882925662437,248.6532706462593
200,210.53513771360042,197.6337695678817,220.55759269813288
280,181.77506186636793,166.00775869557754,192.0520551071042
360,172.60040813133492,156.50832351978465,177.185586120099
440,159.5385512176512,141.13300879908297,167.53189700615724
520,151.79354847331382,135.60346986226762,156.62179370968795
600,140.1260843532106,123.93295059844296,149.034727619524
680,132.53804609851497,118.79739492434683,141.81054781015223
760,124.73925374979663,117.41381740743446,134.75325541709378
840,116.47162793482639,109.71841043678577,127.25953079102702
920,111.07433149442647,106.9981568003019,114.62646167270103
1000,105.08749549389786,95.5693789681442,106.80788447886901
1080,92.9483596974346,87.7626355487274,102.06428875548538
1160,89.01240387385931,79.15555788646624,94.47733958438202
1240,88.49193822281701,79.15555788646624,91.37945738968983
1320,85.90257643837528,75.89213820518155,89.07961344857894
1400,77.40024263107975,67.6760987296264,84.20489618154369
1480,76.73599877462985,67.1227256530009,79.70551558962008
1560,70.42855339401169,60.74011145718346,74.16104455242433
1640,67.64477259479511,58.603162875824545,72.5691808628225
1720,61.799622548728536,58.603162875824545,70.528041165066
1800,60.83433119194922,56.84077943946406,62.868821398062536
1880,58.79216834941711,51.758101267303495,62.868821398062536
1960,53.6796859160883,50.26482107905366,61.02623202077047
2040,51.50926498967192,49.787965995986795,60.50377850030276
2120,51.50926498967192,48.80075534075841,56.971851667190634
2200,46.80196264533325,43.62701674344614,56.92474919117012
2280,46.17921325748303,41.24039707731283,51.5737534559897
2360,44.054794611498465,40.725207666877765,50.26036502782105
2440,44.054794611498465,37.432767714230664,47.77725427379835
2520,42.16153334934157,37.251708811631715,46.00141256905046
2600,41.28304855347585,35.390536815056734,44.794203618829314
2680,38.2016357246691,33.40362036418206,43.92675460418877
2760,36.99849361714239,32.976440204276074,43.60911729855045
2840,36.21464266645842,28.72043357960588,42.48432729998818
2920,33.376683842982544,28.72043357960588,42.18127914156457
3000,32.33142999050662,28.002931937170715,37.34591916815288
3080,32.24113689220718,26.57166719794253,35.23187446623594
3160,28.981080256089555,25.94509758525662,34.821654332755465
3240,28.929157858737852,25.360852425153723,32.71409521659796
3320,28.32227001474108,24.72878412201449,32.27937745278205
3400,26.80101705342635,24.460478340803753,31.896957821884364
3480,26.346762321152568,23.986643755827807,29.4546179571183
3560,24.92771707481181,21.92304789747086,27.365507198946617
