evaluations raw_y
1 0.9184423218
2 1.2388503469
11 1.5006002401
24 1.6087516088
29 1.6425755585
36 1.6778523490
42 1.7730496454
146 1.9025875190
213 2.2935779817
307 2.3629489603
313 2.3992322457
346 2.4366471735
419 2.4752475248
433 2.7352297593
488 2.9976019185
4461 3.7091988131
125020 2.2935779817
evaluations raw_y
1 0.5518763797
2 1.0548523207
3 1.0993843448
7 1.6960651289
9 1.7146776406
12 1.7337031900
30 2.1367521368
56 2.1968365554
112 2.5150905433
235 2.6427061311
321 2.8868360277
352 2.9976019185
395 3.2467532468
570 3.5410764873
726 3.9936102236
125020 3.9936102236
evaluations raw_y
1 1.0008006405
2 1.3455328310
5 1.4060742407
19 1.4863258026
20 1.6600265604
23 2.3992322457
189 2.5987525988
331 2.7352297593
520 2.9976019185
541 4.2087542088
125020 2.8344671202
evaluations raw_y
1 0.6507027590
2 1.3007284079
3 1.4318442153
4 1.5151515152
8 1.6600265604
10 2.1079258010
85 2.1968365554
133 2.2281639929
153 2.4366471735
178 2.4752475248
193 2.5562372188
252 3.3156498674
1703 3.4626038781
3901 3.5410764873
4067 3.7091988131
4961 3.7993920973
5120 3.9936102236
8535 4.0983606557
8800 4.2087542088
9923 4.3252595156
125020 4.3252595156
evaluations raw_y
1 1.3935340022
23 1.6960651289
29 1.7531556802
66 1.8796992481
142 1.9747235387
189 2.0259319287
199 2.1079258010
207 2.2935779817
235 2.3277467412
281 3.1806615776
387 3.3156498674
1064 3.3875338753
54319 3.4626038781
55484 3.5410764873
68683 3.8940809969
125020 3.8940809969
evaluations raw_y
1 1.0548523207
2 1.2100677638
3 1.3340448239
13 1.3455328310
15 1.4585764294
24 1.7531556802
25 1.8355359765
84 1.8573551263
104 2.3992322457
120 2.4366471735
166 2.5150905433
181 2.7839643653
195 3.2467532468
637 3.3875338753
789 3.9936102236
845 4.5787545788
35883 4.8638132296
36500 5.0200803213
125020 5.0200803213
evaluations raw_y
1 1.2291052114
2 1.7934002869
21 1.8142235123
56 2.1079258010
62 2.4752475248
160 2.5150905433
277 2.7839643653
291 2.8868360277
292 2.9411764706
317 3.0562347188
489 3.8940809969
18384 3.9936102236
125020 2.0259319287
evaluations raw_y
1 1.1825922422
7 1.2195121951
10 1.5605493134
41 1.9747235387
143 2.0259319287
154 2.1968365554
188 2.4366471735
252 2.4752475248
313 2.5987525988
336 2.7352297593
511 2.9411764706
636 2.9976019185
706 3.3156498674
765 3.6231884058
903 3.7091988131
125020 3.7091988131
evaluations raw_y
1 0.8771929825
2 1.0407993339
3 1.5151515152
4 1.6254876463
8 1.9025875190
46 2.0259319287
75 2.0525451560
180 2.2603978300
291 2.4366471735
456 2.5150905433
641 2.6881720430
686 2.8868360277
823 2.9411764706
900 3.0562347188
905 3.1172069825
983 3.3875338753
1471 3.5410764873
1682 3.7091988131
1913 3.7993920973
11442 3.8940809969
125020 2.1968365554
evaluations raw_y
1 1.1230907457
4 1.2588116818
7 1.3935340022
12 1.7934002869
72 1.8142235123
105 1.9025875190
156 2.1968365554
235 2.4366471735
402 2.4752475248
444 3.0562347188
611 3.1172069825
25410 3.2467532468
26067 3.3875338753
26393 3.6231884058
26460 3.7993920973
28804 4.4483985765
28882 5.5555555556
125020 2.3629489603
